date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,19157,-602,100321,23379,1.03,,20112,4222.0,-4912,6214,2013年01月01日至2013年03月31日,101128,124507,97550,120604,26930,94310,353714,397547,43833,43833,16903,,,1.03,10689,101128,121240,,,,497,3578,3903
2013-08-05,2,2013,,-20873,84180,3771,-20873,0.9,,32019,0.0,-2431,4659,2013年04月01日至2013年06月30日,86995,66122,85205,64905,33853,85161,324104,373127,49023,49023,15170,,,0.9,10511,86995,119014,,,,359,1790,1217
2013-11-04,3,2013,,14970,14734,7428,14970,0.24,,4394,0.0,-1872,6364,2013年07月01日至2013年09月30日,22931,37901,22470,37025,7217,20108,273754,297879,24125,24125,16908,,,0.24,10544,22931,27325,,,,182,461,876
2014-03-17,4,2013,,33221,189559,23436,40567,2.36,,58595,0.0,1733,19956,2013年01月01日至2013年12月31日,229879,270446,223658,263845,74802,213672,1298994,1434719,135725,135725,60923,,8851.0,2.36,40967,229879,288474,,1505.0,,1056,6221,6601
2014-05-05,1,2014,,-5366,29138,3277,-5366,0.37,,27650,,-4537,6826,2014年01月01日至2014年03月31日,35680,30314,35303,29857,35454,27876,400624,456493,55869,55869,20415,,,0.37,13589,35680,63330,,,,2,377,457
2014-08-04,2,2014,,-377,9613,1898,-377,0.69,,14331,,-4384,5880,2014年第2季,65582,65205,65425,65004,72860,7053,313770,404276,90506,90506,17646,,,0.69,11766,65582,79913,,,,74,157,201
2014-11-10,3,2014,,4079,-1176,5548,4079,0.13,,3815,,-2324,8310,2014年第3季,13670,17749,13289,17129,15516,1969,294501,331013,36512,36512,20996,,,0.13,12686,13670,17485,,,,79,381,620
2015-03-23,4,2014,,9768,60794,13994,14041,1.57,,53214,,-7414,23480,2014年度,162682,176723,160761,174333,148699,67197,1357707,1577204,219497,219497,70798,,5148.0,1.57,47318,162682,215896,,875.0,,177,1921,2390
2015-05-11,1,2015,,5635,5752,6057,5635,0.39,5635.0,13054,,-1303,6998,2015年01月01日至2015年03月31日,39779,45414,39848,45363,42329,10504,331233,395580,64347,64347,22018,,,0.39,15020,39779,52833,,,0.0,2,-69,51
2015-08-10,2,2015,,-9636,19439,2198,-9636,0.69,-9636.0,14492,,-1130,5968,2015年第2季,70731,61095,70635,61256,64717,20506,250898,341806,90908,90908,26191,,,0.69,20223,70731,85223,,,0.0,1,96,-161
2015-11-09,3,2015,,52893,-1815,8660,52893,0.12,52893.0,6551,,-1829,6669,2015年第3季,11849,64742,12076,64172,13385,5015,213746,247769,34023,34023,20638,,,0.12,13969,11849,18400,,,0.0,1,-227,570
2016-03-21,4,2015,-6891.0,56292,38355,21958,49401,1.58,56292.0,40124,,5802,21172,2015年度,161982,211383,161754,210416,136064,66042,1040595,1262426,221831,221831,85767,-8302.0,,1.58,64595,161982,202106,-1411.0,,,73,228,967
2016-05-09,1,2016,,-73443,88414,616,-73443,0.91,-73443.0,11494,,-644,7949,2016年01月01日至2016年03月31日,93973,20530,92540,20182,17098,88369,287019,328137,41118,41118,24020,,,0.9,16071,93973,105467,,,,17,1433,348
2016-08-08,2,2016,,-11981,-390,1773,-11981,0.39,-11981.0,5530,,-486,6244,2016年第2季,39894,27913,40217,28420,44535,889,198531,266336,67805,67805,23270,,,0.39,17026,39894,45424,,,,8,-323,-507
2016-11-07,3,2016,,8375,-655,7532,8375,0.16,8375.0,1638,,-282,6041,2016年第3季,15929,24304,16060,24247,10995,6572,199159,229620,30461,30461,19466,,,0.16,13425,15929,17567,,,,23,-131,57
