date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,-206.0,5697,10440,15075,13733,8036,0.7,0.7,,25263,,113807,2013年01月01日至2013年03月31日,119333,133066,117461,131194,122816,21986,436600,783616,347016,347016,224200,47895,,,0.7,0.7,62498,119539,144802,,,3529,1872,1872
2013-08-07,2,2013,,0.0,47908,5189,44164,51902,3994,0.54,0.54,,15911,-551.0,130498,2013年04月01日至2013年06月30日,93110,145012,91045,142947,62741,46280,432624,757523,324899,324899,262158,51115,,,0.54,0.54,80545,93110,109021,,,2522,2065,2065
2013-11-08,3,2013,,0.0,-4257,1814,16020,-7543,-3286,0.32,0.32,,16244,5801.0,115990,2013年07月01日至2013年09月30日,59618,52075,55894,48351,54174,21688,432602,730283,297681,297681,243507,55670,,,0.32,0.32,71847,59618,75862,,,1947,3724,3724
2014-03-19,4,2013,,-206.0,44966,16780,93388,96062,12587,1.73,1.73,,63570,3149.0,510667,2013年01月01日至2013年12月31日,305143,401205,298386,394448,265191,103728,1756385,3053983,1297598,1297598,1032407,226429,,46714.0,1.71,1.71,295311,305349,368919,,8205.0,9589,6757,6757
2014-05-06,1,2014,,0.0,18086,6060,5367,18056,-30,0.54,0.54,,19866,1450.0,125021,2014年01月01日至2014年03月31日,92860,110916,96072,114128,100924,11802,447562,798179,350617,350617,249693,56573,,,0.54,0.54,68099,92860,112726,,,1075,-3212,-3212
2014-08-08,2,2014,,0.0,35715,-4843,17534,31216,-4499,0.6,0.6,,15385,-1479.0,118859,2014年第2季,111874,143090,106481,137697,117703,9556,452295,813631,361336,361336,243633,58843,,,0.6,0.6,65931,111874,127259,,,1656,5393,5393
2014-11-07,3,2014,,0.0,-31960,11074,30771,-25488,6472,0.55,0.55,,20718,-5722.0,123896,2014年第3季,101317,75829,97878,72390,87691,34344,460348,808815,348467,348467,260776,66009,,,0.55,0.55,70871,101317,122035,,,1779,3439,3439
2015-03-25,4,2014,,0.0,71159,25130,67654,77238,10655,2.09,2.09,,74864,-5161.0,539385,2014年度,383730,460968,374235,447521,377324,81270,1847958,3295656,1447698,1447698,1070374,242770,,-5850.0,2.09,2.09,288219,383730,458594,,-1274.0,6353,9495,13447
2015-05-05,1,2015,,,7165,-8046,30884,3891,-3274,0.58,0.58,3891.0,25752,-4840.0,159862,2015年01月01日至2015年03月31日,107150,111041,102909,106417,115740,17162,419641,806574,386933,386933,271193,52664,,,0.58,0.58,58667,107150,132902,,,836,4241,4624
2015-08-07,2,2015,,,-8914,-5133,34100,-13772,-4858,0.42,0.42,-13772.0,43899,-4388.0,140022,2015年第2季,81168,67396,74245,60438,101612,23455,431880,784594,352714,352714,251102,53033,,,0.42,0.42,58047,81168,125067,,,1124,6923,6958
2015-11-06,3,2015,,,2354,23107,20783,13938,11584,0.53,0.53,13938.0,24082,-11335.0,148875,2015年第3季,99855,113793,94226,108270,92427,31510,449262,813827,364565,364565,272138,53555,,,0.53,0.53,69708,99855,123937,,,1045,5629,5523
2016-03-25,4,2015,33274.0,,38242,4761,112987,71497,-19,1.95,1.95,38223.0,95803,-33472.0,619271,2015年度,367899,439396,347894,417878,383485,80217,1826285,3321366,1495081,1495081,1111596,238982,40089.0,,1.95,1.95,253343,367899,463702,6815.0,,4059,20005,21518
2016-05-06,1,2016,,,26009,-6709,15561,22112,-3897,0.45,0.45,22112.0,17666,-1732.0,159634,2016年01月01日至2016年03月31日,84920,107032,80325,101636,96124,6462,489915,859024,369109,369109,272985,51424,,,0.45,0.45,61927,84920,102586,,,658,4595,5396
2016-08-05,2,2016,,,27607,240,13009,22986,-4621,0.4,0.4,22986.0,40363,2175.0,170160,2016年第2季,80150,103136,71576,93709,105999,14514,532125,940238,408113,408113,302114,62178,,,0.4,0.4,69776,80150,120513,,,910,8574,9427
2016-11-04,3,2016,,,-2881,-17659,50497,-10047,-7166,0.61,0.61,-10047.0,24092,-3630.0,163823,2016年第3季,118565,108518,109491,100013,114257,28400,516446,919663,403217,403217,288960,56690,,,0.61,0.61,68447,118565,142657,,,808,9074,8505
