date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-64,,33088,19543,,22102,22102,0.37,,,11085,171738,2013年01月01日至2013年03月31日,67368,89470,64567,80367,29670,48847,1089462,1475117,385655,385655,355985,96151,,,0.31,,88096,67432,78517,,3784,1475117.0,2801,9103
2013-08-12,2,2013,,-12498,,7832,12486,,42766,42766,0.21,0.21,,21190,179910,2013年04月01日至2013年06月30日,35130,77896,36022,44324,53602,15216,1075311,1492901,417590,417590,363988,99257,,,0.19,0.19,84821,47628,68818,,5102,,-892,33572
2013-11-06,3,2013,,-139,,602,13803,,-55962,-55962,0.11,0.11,,12659,154552,2013年07月01日至2013年09月30日,19675,-36287,21167,10111,21659,10814,1096503,1460798,364295,364295,342636,106456,,,0.11,0.11,81628,19814,32473,,3591,,-1492,-46398
2014-03-24,4,2013,,-13471,,52389,69028,86.0,11072,14210,0.75,,,109230,719332,2013年01月01日至2013年12月31日,135667,146739,141878,158145,152845,105523,4266605,5857793,1591188,1591188,1438343,414471,,-3224.0,0.68,,304540,149138,258368,,15894,,-6211,-11406
2014-04-25,1,2014,,-38,,50163,16298,,9659,9659,0.28,,,18832,193237,2014年01月01日至2014年03月31日,60883,70542,52657,58456,16420,63333,1137356,1538945,401589,401589,385169,105720,,,0.24,,86212,60921,79753,,3128,,8226,12086
2014-08-06,2,2014,,-2195,,-43625,15210,,-14434,-14434,0.06,,,105,177103,2014年第2季,26982,12548,11715,-337,60853,-31571,1175849,1605284,429435,429435,368582,106740,,,0.06,,84739,29177,29282,,3156,,15267,12885
2014-10-27,3,2014,,-7,,-25912,8872,,11304,11304,0.19,,,20843,174537,2014年第3季,39327,50631,37652,45524,80044,-19867,1126093,1564423,438330,438330,358286,105054,,,0.19,,78695,39334,60177,,2827,,1675,5107
2015-03-06,4,2014,,-8759,113.0,53725,53124,781.0,20297,27127,0.66,,,71739,737398,2014年度,147642,167939,128147,141452,140858,87282,4505880,6135741,1629861,1629861,1489003,417026,,-7724.0,0.6,,334579,156401,228140,,19567,,19495,26487
2015-08-10,2,2015,,4,-3299.0,-37138,7865,,-11705,-8406,0.11,,-11705.0,5282,159905,2015年第2季,31943,20238,21741,12456,70554,-33333,1105307,1493871,388564,388564,318010,97405,,,0.1,,60700,31939,37221,,4060,,10202,7782
2015-11-06,3,2015,,24,3466.0,95778,19857,,37175,33709,0.46,,37175.0,38473,161482,2015年第3季,103648,140823,90236,121364,29852,112245,931417,1290995,359578,359578,329726,96711,,,0.41,,71533,103624,142097,,3390,,13412,19459
2016-03-15,4,2015,-3844.0,9182,-113.0,9269,45163,,7495,10754,0.77,,11339.0,58218,648213,2015年度,139696,147191,150531,152270,146976,41756,4065305,5513650,1448345,1448345,1301369,383594,-3844.0,,0.7,,269562,130514,188732,-698.0,12676,,-10835,-5079
2016-05-05,1,2016,,0,0.0,-16302,14669,,-6028,-6028,0.08,,-6028.0,5720,156634,2016年01月01日至2016年03月31日,6942,914,14487,9927,21420,-8758,878458,1215439,336981,336981,315561,100012,,,0.08,,58915,6942,12662,,7125,,-7545,-9013
2016-08-03,2,2016,,0,0.0,41252,22363,,-5737,-5737,0.35,0.35,-5737.0,11604,166405,2016年第2季,64410,58673,63024,57724,21119,54895,954617,1305747,351130,351130,330011,103888,,,0.31,0.31,59718,64410,76014,,8720,,1386,949
2016-11-04,3,2016,,0,0.0,-46513,31656,,-19828,-19828,-0.13,-0.13,-19828.0,1012,168424,2016年第3季,-19204,-39032,-23006,-39285,5237,-23429,876966,1235957,358991,358991,353754,112319,,,-0.1,-0.1,73011,-19204,-18192,,8572,,3802,253
