date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,113442,,25799,8192,123048,8192,11654,0.53,,30695,260521,2013年01月01日至2013年03月31日,155982,279030,168726,246560,158240,28437,2852843,3314541,461698,461698,303458,42937,,,0.52,155982,186677,2048.0,,5554,,3314541,-12744.0,32470
2013-08-08,2,2013,,117820,-12082.0,35769,11413,119696,11413,2112,0.53,,53725,280694,2013年04月01日至2013年06月30日,158126,277822,170208,238183,169943,41908,3333282,3837625,504343,504343,334400,53706,,,0.52,158126,211851,236.0,,5274,,3837625,,39639
2013-11-08,3,2013,,-53949,-16031.0,14106,12067,-65074,12067,-13506,0.73,,43807,269539,2013年07月01日至2013年09月30日,206456,141382,222487,182760,230552,19711,3924657,4479253,554596,554596,324044,54505,,,0.72,206456,250263,-2381.0,,6462,,4479253,,-41378
2014-03-18,4,2013,,235795,,118672,44085,241181,44085,3161,2.44,,174539,1077945,2013年01月01日至2013年12月31日,627746,868927,695665,836822,664463,137822,13924661,15898687,1974026,1974026,1309563,231618,,2271.0,2.39,627746,802285,46.0,,24935,,15898687,-67919.0,32105
2014-05-06,1,2014,,-1201,,2180,10826,6047,10826,23431,0.79,,30906,248642,2014年01月01日至2014年03月31日,170371,176418,176485,183096,196153,5124,3358760,3848430,489670,489670,293517,44875,,,0.77,170371,201277,16183.0,,7882,,3848430,-6114.0,-6678
2014-08-08,2,2014,,-79925,-35527.0,238606,11915,-99526,11915,-25713,1.76,,29412,327737,2014年第2季,356969,257443,392496,323884,143459,242922,3939376,4457123,517747,517747,374288,46551,,,1.71,356969,386381,-6112.0,,7599,,4457123,,-66441
2014-11-05,3,2014,,-115358,-32790.0,28456,9831,-135041,9831,-20430,1.1,,47649,273717,2014年第3季,213396,78355,246186,190773,227640,33405,3488167,4067562,579395,579395,351755,78038,,,1.08,213396,261045,-747.0,,4882,,4067562,,-112418
2015-03-18,4,2014,,-188097,,236492,41675,-144412,41675,58202,4.05,,157806,1131675,2014年度,795204,650792,904408,828511,702685,250325,13980574,16024893,2044319,2044319,1341634,209959,,1764.0,3.93,795204,953010,16281.0,,27842,,16024893,-109204.0,-177719
2015-05-08,1,2015,,41185,,17494,6872,26362,6872,-16462,0.86,26362.0,36749,258161,2015年01月01日至2015年03月31日,161884,188246,192927,204861,178376,20257,2754119,3237371,483252,483252,304876,46715,,,0.84,161884,198633,,-1639.0,4109,,3237371,-31043.0,-16615
2015-08-07,2,2015,,26962,-39406.0,7087,6369,9273,6369,-22928,0.83,9273.0,42656,281232,2015年第2季,146996,156269,186402,179794,179910,9742,3033310,3549466,516156,516156,336246,55014,,,0.82,146996,189652,,-5239.0,3714,,3549466,,-23525
2015-11-06,3,2015,,-145309,-22620.0,19072,5954,-71934,5954,81997,0.82,-71934.0,35890,270852,2015年第3季,160163,88229,182783,167902,175026,21027,2993069,3511201,518132,518132,343106,72254,,,0.8,160163,196053,,8622.0,3999,,3511201,,-79673
2016-03-15,4,2015,-1911.0,-83558,,-28341,24344,-60474,24344,27819,2.67,-58563.0,142852,1091260,2015年度,471786,411312,598178,566976,634494,-19856,11629937,13595819,1965882,1965882,1331388,240128,-1911.0,,2.61,471786,614638,,2824.0,15859,11629937.0,13595819,-126392.0,-155664
2016-05-04,1,2016,,20624,,-176,5250,4728,5250,-15481,0.69,4728.0,31895,252066,2016年01月01日至2016年03月31日,102795,107523,154496,150544,132573,2117,2497598,2958720,461122,461122,328549,76483,,,0.68,102795,134690,,415.0,2957,,2958720,-51701.0,-43021
2016-08-10,2,2016,,-26035,-37303.0,25451,5019,-23762,5019,2384,0.53,-23762.0,33371,306139,2016年第2季,80622,56860,117925,105035,86789,27204,2762952,3216823,453871,453871,367082,60943,,,0.52,80622,113993,,111.0,3266,,3216823,,-48175
2016-11-09,3,2016,,-2730,-31558.0,11178,3361,-41196,3361,-37885,0.58,-41196.0,28440,306816,2016年第3季,98520,57324,130078,92531,116643,10317,3036539,3543028,506489,506489,389846,83030,,,0.58,98520,126960,,581.0,4222,,3543028,,-35207
