date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,9393,6366,48162,55173,0.13,0.13,,6548,,72406,2013年01月01日至2013年03月31日,23300,71462,25629,59998,27028,2820,901573,1067334,165761,165761,138733,14119,,,0.13,0.13,52208,23300,29848,,7011.0,,12939,-2329,11464
2013-08-13,2,2013,,934,8000,28936,33165,-0.03,-0.03,,14516,,77822,2013年04月01日至2013年06月30日,-17637,11299,-5299,15346,3056,-6177,878883,1034400,155517,155517,152461,16510,,,-0.03,-0.03,58129,-17637,-3121,,4229.0,,15111,-12338,-4047
2013-11-11,3,2013,,-1539,13631,-19190,-21995,-0.03,-0.03,,-5816,,84920,2013年07月01日至2013年09月30日,-26717,-45907,-6981,-20673,-31554,-979,1009408,1139587,130179,130179,161733,16016,,,-0.03,-0.03,60797,-26717,-32533,,-2805.0,,13071,-19736,-25234
2014-03-11,4,2013,,14658,40960,87432,99589,0.16,0.16,,18006,,332121,2013年01月01日至2013年12月31日,-18460,68972,31847,94382,-6394,5940,3826469,4433243,606774,606774,613168,55801,,623.0,0.16,0.16,225246,-18460,-454,,12780.0,,49678,-50307,-25410
2014-05-13,1,2014,,865,4477,-6400,-7335,0.08,0.08,,-11859,-964.0,86318,2014年01月01日至2014年03月31日,1733,-4667,16038,11472,-895,-9231,1021667,1173161,151494,151494,152389,9881,,,0.08,0.08,56190,1733,-10126,,-935.0,,13609,-14305,-16139
2014-08-12,2,2014,,-12447,10719,-34586,-37456,0.02,0.02,,623,-464.0,83887,2014年第2季,-9654,-44240,3763,-23362,6563,-15594,932567,1095649,163082,163082,156519,15452,,,0.02,0.02,57180,-9654,-9031,,-2870.0,,13402,-13417,-20878
2014-11-12,3,2014,,11404,6250,51104,56541,0.07,0.07,,-10333,-138.0,85108,2014年第3季,-3058,48046,14511,54173,-17783,4392,944598,1088036,143438,143438,161221,15719,,,0.07,0.07,60394,-3058,-13391,,5437.0,,13124,-17569,-6127
2015-03-18,4,2014,,27424,28104,52944,59753,0.3,0.3,,-31175,-2381.0,345473,2014年度,-4795,48149,59574,99458,-36325,355,3776106,4360950,584844,584844,621169,49094,,1360.0,0.3,0.3,226602,-4795,-35970,,8169.0,,52792,-64369,-51309
2015-05-12,1,2015,,-8897,17565,-26730,-26656,0.03,0.03,-26730.0,-3886,-115.0,87074,2015年01月01日至2015年03月31日,-8239,-34969,5507,-14653,-6909,-5216,905090,1053539,148449,148449,155358,11994,,,0.03,0.03,56290,-8239,-12125,,,74.0,13769,-13746,-20316
2015-08-11,2,2015,,-10856,6597,-25929,-30244,0.07,0.07,-25929.0,3972,-173.0,88157,2015年第2季,2675,-23254,13779,-7291,25046,-18399,979918,1160592,180674,180674,155628,11988,,,0.07,0.07,55483,2675,6647,,,-4315.0,13967,-11104,-15963
2015-11-10,3,2015,,24377,6819,63267,73808,0.03,0.03,63267.0,-1312,56.0,74798,2015年第3季,-11766,51501,5901,57367,-29061,15983,958484,1065868,107384,107384,136445,7923,,,0.03,0.03,53724,-11766,-13078,,,10541.0,15269,-17667,-5866
2016-02-25,4,2015,-7042.0,-6084,34375,-31094,-23532,0.21,0.21,-24052.0,-922,-569.0,341961,2015年度,-12621,-43715,41403,16374,15483,-29026,3853347,4475154,621807,621807,606324,42260,-8484.0,,0.21,0.21,222103,-12621,-13543,-1442.0,,520.0,56748,-54024,-60089
2016-05-10,1,2016,,-2614,5714,-22780,-26579,-0.03,-0.03,-22780.0,-950,-302.0,82799,2016年01月01日至2016年03月31日,-14654,-37434,-6084,-24635,-7610,-7994,929095,1070797,141702,141702,149312,10067,,,-0.03,-0.03,56446,-14654,-15604,,,-3799.0,10792,-8570,-12799
2016-08-09,2,2016,,-5569,18470,-33541,-39135,0.12,0.12,-33541.0,2452,-176.0,74219,2016年第2季,19727,-13814,24239,-3070,19750,2429,838070,994236,156166,156166,136416,8049,,,0.12,0.12,54148,19727,22179,,,-5594.0,10296,-4512,-10744
2016-11-10,3,2016,,-12063,4434,-39219,-45755,0.04,0.04,-39219.0,555,-1514.0,83001,2016年第3季,2176,-37043,6694,-25217,21981,-19250,878292,1045184,166892,166892,144911,10767,,,0.04,0.04,51143,2176,2731,,,-6536.0,10107,-4518,-11826
