date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他營業收入淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-08-01,2,2013,,,0,3083,1507,3796,145,145,0.00,,,467,,,19931,2013年01月01日至2013年06月30日,152,297,,152,297,-3112,3731,62388,113896,51508,51508,54620,16994,,,0.00,,17695,152,619,,,859,,,110100,0,0
2014-03-18,4,2013,,,,4907,3750,6672,333,431,0.04,,,831,,,38772,2013年01月01日至2013年12月31日,2584,2917,,2584,2917,-3559,6974,125738,232947,107209,107209,110768,32415,,-98,0.04,,39581,2584,3415,,,1683,,125738,226275,,
2014-05-02,1,2014,,,,1440,1440,1392,33,33,0.04,,,342,,,11510,2014年01月01日至2014年03月31日,2464,2497,,2464,2497,338,2468,32423,61057,28634,28634,28296,6470,,,0.03,,10316,2464,2806,,,412,,32423,59665,,
2014-08-05,2,2014,,,,-63,1720,525,-81,-81,-0.03,-0.03,,-263,,,12202,2014年第2季,-1858,-1939,,-1858,-1939,-3365,1244,41306,67386,26080,26080,29445,6210,,,-0.03,-0.03,11033,-1858,-2121,,,413,,41306,66861,,
2014-10-29,3,2014,,,0,1480,1508,3017,82,82,-0.02,,,-35,,,10519,2014年第3季,-1173,-1091,,-1173,-1091,-3787,2579,36869,63074,26205,26205,29992,9233,,,-0.02,,10240,-1173,-1208,,,409,,36869,60057,0,0
2015-03-23,4,2014,,,,5180,6162,6021,-247,140,-0.27,,,144,,,49170,2014年度,-19041,-19288,,-19041,-19288,-28603,9706,149616,245686,96070,96070,124673,32799,,-387,-0.27,,42704,-19041,-18897,,,1636,,149616,239665,,
2015-05-05,1,2015,,,,-939,1279,432,-171,-171,-0.18,,-171,218,,,11025,2015年01月01日至2015年03月31日,-12865,-13036,,-12865,-13036,-12593,-54,33960,55738,21778,21778,34371,11432,,,-0.18,,11914,-12865,-12647,,,394,,33960,55306,,
2015-08-11,2,2015,0,0,,463,1047,496,-15,-15,-0.22,-0.22,-15,214,0,0,16203,2015年第2季,-15672,-15687,0,-15672,-15687,-16581,1123,47631,74112,26481,26481,43062,12978,0,,-0.22,-0.22,13881,-15672,-15458,0,0,387,0,47631,73616,,
2015-11-06,3,2015,0,0,0,-798,1009,296,160,160,-0.08,,160,137,0,0,10673,2015年第3季,-6018,-5858,0,-6018,-5858,-5713,-168,39895,67117,27222,27222,32935,10254,0,,-0.08,,12008,-6018,-5881,0,0,379,0,39895,66821,0,0
2016-03-22,4,2015,,-404,,-3227,3951,886,-449,-45,-0.89,,-45,896,,,51383,2015年度,-62959,-63408,,-62959,-63408,-60524,-1539,169938,261469,91531,91531,152055,48744,-404,,-0.89,,51928,-62959,-62063,,,2263,,169938,260583,,
2016-05-03,1,2016,,,,-848,535,639,-868,-868,-0.16,,-868,173,,,11973,2016年01月01日至2016年03月31日,-11172,-12040,,-11172,-12040,-9398,-1601,37022,63340,26318,26318,35716,11000,,,-0.16,,12743,-11172,-10999,,,1288,,37022,62701,,
2016-08-05,2,2016,0,0,,-1567,819,11743,-547,-547,-0.05,-0.05,-547,48,0,0,11081,2016年第2季,-3208,-3755,0,-3208,-3755,-1142,-2018,46069,80567,34498,34498,35640,9210,0,,-0.05,-0.05,15349,-3208,-3160,0,0,1270,0,46069,68824,,
2016-11-08,3,2016,0,0,0,112,1820,8977,-702,-702,-0.02,,-702,11,0,0,11356,2016年第3季,-1331,-2033,0,-1331,-2033,-2026,706,51945,88098,36153,36153,38179,9085,0,,-0.02,,17738,-1331,-1320,0,0,1226,0,51945,79121,0,0
