date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅
2013-04-25,1,2013,,,13553,14986,10228,10228,2.1,2.1,,,55074,,,132280,2013年01月01日至2013年03月31日,,198004,208232,198004,208232,224539,28539,101185,633951,532766,532766,308227,138358,,,2.07,2.07,37589,198004,253078,,
2013-07-25,2,2013,,,7661,16789,-492,-492,1.63,1.63,,,67531,,,137193,2013年04月01日至2013年06月30日,,154246,153754,154246,153754,197327,24450,114518,628183,513665,513665,316338,136573,,,1.63,1.63,42572,154246,221777,,
2013-10-28,3,2013,,,-18918,17721,-8566,-8566,1.64,1.64,,,61210,,,132110,2013年07月01日至2013年09月30日,,163608,155042,163608,155042,226015,-1197,115856,658094,542238,542238,316223,132541,,,1.62,1.62,51572,163608,224818,,
2014-02-12,4,2013,,,24327,69400,-1805,-301,7.07,7.07,,,283905,,,542924,2013年01月01日至2013年12月31日,,707950,706145,707950,706145,898128,93727,413218,2580196,2166978,2166978,1268850,544114,,-4760.0,6.94,6.94,181812,707950,991855,,-3256.0
2014-04-24,1,2014,,,36981,22702,18842,18842,1.72,1.72,,,36947,,,133500,2014年01月01日至2014年03月31日,,172190,191032,172190,191032,149454,59683,82646,545557,462911,462911,313457,135686,,,1.69,1.69,44271,172190,209137,,
2014-07-24,2,2014,,,-47275,27387,-13390,-13390,1.32,1.32,,,34806,,,132482,2014年第2季,,132181,118791,132181,118791,186875,-19888,76580,570798,494218,494218,307343,115973,,0.0,1.31,1.31,58888,132181,166987,,0.0
2014-10-27,3,2014,,,47883,25335,-2005,-2005,1.83,1.83,,,51866,,,130214,2014年第3季,,183694,181689,183694,181689,162342,73218,77185,539304,462119,462119,299777,123782,,0.0,1.82,1.82,45781,183694,235560,,0.0
2015-02-11,4,2014,,,108891,98885,10225,15512,7.06,7.06,,,176635,,,545129,2014年度,,706977,717202,706977,717202,675836,207776,310352,2222549,1912197,1912197,1236361,500967,,-6370.0,6.93,6.93,190265,706977,883612,,-1083.0
2015-04-29,1,2015,,,-27252,23181,-16408,-16408,1.07,1.07,,-16408,18513,,,136138,2015年01月01日至2015年03月31日,,107669,91261,107669,91261,130253,-4071,69708,485208,415500,415500,285247,114438,,,1.06,1.06,34671,107669,126182,,
2015-07-29,2,2015,,,-21116,54629,-23060,-15363,1.25,1.25,,-23060.0,27485,-12259.0,-7697.0,129591,2015年第2季,,125805,102745,125805,102745,132036,21254,64400,462523,398123,398123,266087,102996,,,1.24,1.24,33500,125805,153290,,
2015-10-28,3,2015,,,104431,28789,77032,60730,1.66,1.66,,77032.0,41339,-57800.0,16302.0,113115,2015年第3季,14332.0,165526,242558,165526,242558,131445,75420,70355,457954,387599,373267,241822,95678,,,1.64,1.64,33029,165526,206865,,
2016-02-22,4,2015,16934.0,38954.0,51169,144576,89635,26674,5.6,5.6,,72701.0,135663,-134595.0,7073.0,504397,2015年度,13138.0,556640,646275,556640,646275,631153,61150,278308,1976411,1698103,1684965,1053812,405712,20403.0,,5.49,5.49,143703,556640,692303,3469.0,
2016-04-22,1,2016,,887.0,-51220,32116,-4096,-2581,0.93,0.93,,-4096.0,24249,-84046.0,-2402.0,106567,2016年01月01日至2016年03月31日,413.0,90439,86343,90439,86343,217838,-103150,68042,507115,439073,438660,220822,84417,,,0.91,0.91,29838,90439,114688,,
2016-07-27,2,2016,,18789.0,-16287,26811,39455,20026,0.65,0.65,1195.0,39455.0,46416,-71234.0,640.0,107230,2016年第2季,,62993,102448,62993,102448,170119,-60710,68591,463972,395381,396576,226457,84122,,,0.64,0.64,35105,62993,109409,,
2016-10-26,3,2016,,3476.0,-45127,31651,-22319,-22592,0.33,0.33,1194.0,-22319.0,28574,-80784.0,-3203.0,95833,2016年第3季,,31839,9520,31839,9520,154673,-94260,50463,400166,349703,350897,196224,78347,,,0.32,0.32,22044,31839,60413,,
