date,season,year,不重分類至損益之項目總額,什項支出,停業單位淨利（淨損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）損失,銀行存款利息,非控制權益（綜合損益）
2013-05-09,1,2013,,97.0,,,958,472,63.0,-506,409.0,482.0,-506,-0.3,-0.3,1055.0,0.0,,-2504,2013年01月01日至2013年03月31日,-13545,-14051,-13545,-14051,-16997,948,36788,37446,658,658,17655,,,-0.3,-0.3,17655.0,-13545,-16049,,,,482,,409.0,
2013-08-09,2,2013,,,,,-372,681,,-154,,,-154,-0.27,-0.27,,,,-2209,2013年04月01日至2013年06月30日,-12200,-12354,-12200,-12354,-14400,-9,53394,56743,3349,3349,17749,,,-0.27,-0.27,,-12200,-14409,,,,318,,,
2013-11-12,3,2013,,,0.0,,-907,820,,103,,,103,-0.19,-0.19,,,,-1579,2013年07月01日至2013年09月30日,-8691,-8588,-8691,-8588,-9813,-457,83442,92905,9463,9463,19276,,,-0.19,-0.19,,-8691,-10270,,,,370,,,
2014-03-25,4,2013,,,0.0,,-550,2691,,-2400,,,-728,-0.21,-0.21,,,,-6419,2013年01月01日至2013年12月31日,-9488,-11888,-9488,-11888,-16306,399,600638,663599,62961,62961,79267,,-1672.0,-0.21,-0.21,,-9488,-15907,,,,1742,,,
2014-05-07,1,2014,,377.0,,,-408,454,104.0,40,350.0,920.0,40,0.08,0.08,90.0,,,566,2014年01月01日至2014年03月31日,3814,3854,3814,3854,5254,-874,239591,264256,24665,24665,19411,,,0.08,0.08,19411.0,3814,4380,,,,920,121.0,350.0,
2014-08-12,2,2014,,,0.0,,-1760,383,,184,,,184,0.15,0.15,,,,487,2014年第2季,6956,7140,6956,7140,9536,-2093,368731,404062,35331,35331,25795,,,0.15,0.15,,6956,7443,,,,716,,,
2014-11-12,3,2014,,,0.0,,-117,673,,-255,,,-255,0.25,0.25,,,,2221,2014年第3季,11193,10938,11193,10938,13840,-426,310326,352085,41759,41759,27919,,,0.25,0.25,,11193,13414,,,,982,,,
2015-03-19,4,2014,,,0.0,,-1317,2018,,-468,,,-364,0.72,0.72,,,,5705,2014年度,33193,32725,33193,32725,42074,-3176,1304736,1451900,147164,147164,105090,,-1631.0,0.71,0.71,,33193,38898,,-1527.0,,3877,,,
2015-04-29,1,2015,,499.0,,,-464,516,165.0,105,351.0,1463.0,105,-0.1,-0.1,-268.0,,105.0,182,2015年01月01日至2015年03月31日,-5024,-4919,-5024,-4919,-3431,-1411,259568,280096,20528,20528,23959,,,-0.1,-0.1,23959.0,-5024,-4842,,,657.0,1463,354.0,351.0,
2015-08-07,2,2015,,,0.0,,-1812,1578,,152,,,152,0.07,0.07,,,152.0,1629,2015年第2季,3762,3914,3762,3914,6948,-1557,252864,273806,20942,20942,13994,,,0.07,0.07,,3762,5391,,,,1323,,,
2015-11-11,3,2015,,,0.0,0.0,314,623,,-423,,,-423,-0.05,-0.05,,,-423.0,3404,2015年第3季,-2339,-2762,-2339,-2762,1603,-538,259819,282864,23045,23045,21442,,,-0.05,-0.05,,-2339,1065,,,,1475,,,0.0
2016-03-30,4,2015,1265.0,,0.0,,-3075,6035,,1481,,,216,-1.01,-1.01,,,216.0,-3844,2015年度,-51683,-50202,-51683,-50202,-52297,-3230,1089227,1119875,30648,30648,82945,1524.0,,-1.01,-1.01,,-51683,-55527,259.0,,,6190,,,
2016-05-10,1,2016,,,,,-591,1039,,36,,,36,0.01,0.01,,,36.0,375,2016年01月01日至2016年03月31日,704,740,704,740,2891,-1812,346157,368397,22240,22240,19349,,,0.01,0.01,19349.0,704,1079,,,,2260,,,
2016-08-11,2,2016,,,0.0,,-2022,325,,278,,,278,-0.15,-0.15,,,278.0,-1302,2016年第2季,-7679,-7401,-7679,-7401,-5002,-3979,275153,288529,13376,13376,18378,,,-0.15,-0.15,,-7679,-8981,,,,2282,,,
2016-11-09,3,2016,,,,,154,264,,313,,,313,0.13,0.13,,,313.0,1678,2016年第3季,7224,7537,7224,7537,10779,-1877,559068,587602,28534,28534,17755,,,0.13,0.13,,7224,8902,,,,2295,,,
