date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,7095,2821,426,2821.0,426,0.65,,,5312,7374,2013年01月01日至2013年03月31日,,29207,29633,29207,29633,24603,9916,147072,235481,88409,88409,63806,,39503,,,,0.64,16929,29207,34519,147072,147072,6898.0,242379,242379,235481,,0.0,0.0
2013-08-08,2,2013,,,3572,3149,146,3149.0,146,0.72,,,5774,7037,2013年04月01日至2013年06月30日,,32424,32570,32424,32570,31477,6721,169462,269636,100174,100174,68697,,43537,,,,0.71,18123,32424,38198,169462,169462,8128.0,277764,277764,269636,0.0,,
2013-11-12,3,2013,,,-3046,3377,-105,3377.0,-105,0.57,0.0,,9422,6735,2013年07月01日至2013年09月30日,,25548,25443,25548,25443,34639,331,183706,285044,101338,101338,66699,,43287,,,,0.56,16677,25548,34970,183706,183706,,290483,290483,285044,5439.0,,
2014-03-25,4,2013,,224.0,12774,12472,-171,,595,2.51,,,31112,28452,2013年01月01日至2013年12月31日,,113103,112932,113103,112932,118969,25246,676735,1061958,385223,385223,266254,31112.0,170037,,-990.0,,2.47,67765,113103,144215,676735,676735,24098.0,1086159,1086159,1061958,103.0,,
2014-05-12,1,2014,,-485.0,2411,3347,-440,3347.0,45,0.6,,,4715,6791,2014年01月01日至2014年03月31日,,27009,26569,27009,26569,25966,5758,159808,252028,92220,92220,66254,,41880,,,,0.59,17583,27009,31724,159808,159808,4499.0,256527,256527,252028,,0.0,0.0
2014-08-12,2,2014,,408.0,-4829,3519,177,3519.0,-231,0.54,,,4108,7298,2014年第2季,,24599,24776,24599,24776,30017,-1310,175410,273336,97926,97926,67909,,43765,,,,0.53,16846,24599,28707,175410,175410,4146.0,277482,277482,273336,0.0,,
2014-11-11,3,2014,,299.0,6144,3413,498,3413.0,199,0.71,0.0,,5454,7920,2014年第3季,,32262,32760,32262,32760,28159,9557,190016,292118,102102,102102,73943,,49181,,,,0.7,16842,32262,37716,190016,190016,,295531,295531,292118,3413.0,,
2015-03-26,4,2014,,456.0,13332,13608,1373,,199,2.3,,,30135,29153,2014年度,,104137,105510,104137,105510,107332,26940,689209,1073126,383917,383917,276585,30135.0,178788,,718.0,,2.25,68644,104137,134272,689209,689209,13080.0,1088992,1088992,1073126,2786.0,,
2015-05-05,1,2015,,-104.0,-2403,3651,-166,3651.0,-62,0.46,,-166.0,6726,7285,2015年01月01日至2015年03月31日,,20992,20826,20992,20826,26470,1248,142064,237035,94971,94971,68501,,44376,,,,0.46,16840,20992,27718,142064,142064,3856.0,240891,240891,237035,,0.0,0.0
2015-08-11,2,2015,,-576.0,-3129,3987,-650,3987.0,-74,0.48,,-650.0,4924,7088,2015年第2季,,21739,21089,21739,21089,25805,858,163834,258278,94444,94444,68639,,43367,,,,0.47,18184,21739,26663,163834,163834,3772.0,262050,262050,258278,0.0,,
2015-11-05,3,2015,,0,16572,4137,365,4137,365,0.77,0,365,5823,7488,2015年第3季,,34960,35325,34960,35325,20074,20709,181625,278519,96894,96894,76820,,50665,,,,0.76,18667,34960,40783,181625,181625,,281489,281489,278519,2970,,
2016-03-29,4,2015,-1738.0,-680.0,6222,15635,-2403,,15,2.15,,-665.0,20995,30046,2015年度,20995.0,97648,95245,97648,95245,96786,21857,652923,1038986,386063,386063,289277,,188402,-1738.0,,,2.09,70829,97648,118643,652923,652923,13007.0,1052850,1052850,1038986,857.0,,
2016-05-10,1,2016,,0,-4605,3839,-20,3839,-20,0.53,,-20,7697,7396,2016年01月01日至2016年03月31日,,24198,24178,24198,24178,32661,-766,173280,272830,99550,99550,66889,,43146,,,,0.52,16347,24198,31895,173280,173280,4293,277123,277123,272830,,0,0
2016-07-28,2,2016,,146.0,-5649,3396,20,3183.0,-126,0.41,,20.0,9421,8025,2016年第2季,,18867,18887,18867,18887,30541,-2253,181015,282417,101402,101402,70861,,43884,,,213.0,0.41,18952,18867,28288,181015,181015,2933.0,285350,285350,282417,0.0,,
2016-11-07,3,2016,,-1110.0,-8532,3360,-1378,2829.0,-268,0.66,0.0,-1378.0,8347,10219,2016年第3季,,30461,29083,30461,29083,43980,-5172,239292,365740,126448,126448,82468,,54521,,,531.0,0.65,17728,30461,38808,239292,239292,,368793,368793,365740,3053.0,,
