date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額
2013-04-26,1,2013,,,10669,2520,,179501,179501,2.68,2.68,,119697,213945,2013年01月01日至2013年03月31日,289621,469122,289621,469122,396860,12458,2352580,3084562,731982,731982,335122,21457,2.68,2.68,99720,289621,409318,731,2352580,3084562
2013-07-29,2,2013,,,6177,6649,6649.0,64039,64039,-0.97,-0.97,,-42000,112306,2013年04月01日至2013年06月30日,-104969,-40930,-104969,-40930,-159793,12824,675912,724009,48097,48097,207890,21956,-0.97,-0.97,73628,-104969,-146969,2,675912,724009
2013-10-30,3,2013,,,46787,3733,3733.0,-53482,-53482,-0.91,-0.91,,-36045,83881,2013年07月01日至2013年09月30日,-98350,-151832,-98350,-151832,-184915,50520,249984,256612,6628,6628,191543,19093,-0.91,-0.91,88569,-98350,-134395,0,249984,256612
2014-03-25,4,2013,,,163553,18414,18414.0,260493,260493,2.14,2.14,,118943,513041,2013年01月01日至2013年12月31日,231259,491752,231259,491752,172315,177887,4656567,5800974,1144407,1144407,972092,81916,2.14,2.14,377135,231259,350202,4080,4656567,5800974
2014-04-28,1,2014,,,-228358,18239,,-10192,-10192,-0.33,-0.33,,-10591,225451,2014年01月01日至2014年03月31日,-35122,-45314,-35122,-45314,169357,-215070,2534234,3080655,546421,546421,377064,18997,-0.33,-0.33,132616,-35122,-45713,4951,2534234,3080655
2014-08-04,2,2014,,,-45052,20499,,-77578,-77578,-1.22,-1.22,,-50107,121204,2014年第2季,-132049,-209627,-132049,-209627,-156371,-25785,847568,933586,86018,86018,242389,20230,-1.22,-1.22,100955,-132049,-182156,1232,847568,933586
2014-11-07,3,2014,,,38433,14463,,100914,100914,-0.67,-0.67,,-26537,86149,2014年第3季,-72180,28734,-72180,28734,-150572,51855,224492,275077,50585,50585,201157,21127,-0.67,-0.67,93881,-72180,-98717,1041,224492,275077
2015-03-09,4,2014,,,-260245,88325,88325.0,142458,142458,-0.18,-0.18,,14342,610066,2014年度,-19415,123043,-19415,123043,176331,-181404,5121248,6426357,1305109,1305109,1128778,82241,-0.18,-0.18,436471,-19415,-5073,9484,5121248,6426357
2015-04-27,1,2015,-41159.0,-41159.0,39044,7993,,-38090,3069,3.88,3.88,3069.0,172442,247979,2015年01月01日至2015年03月31日,412742,374652,412742,374652,539669,45515,2315402,3220512,905110,905110,365441,17483,3.88,3.88,99979,412742,585184,1522,2315402,3220512
2015-07-30,2,2015,-65410.0,-65410.0,82549,4825,,-70347,-4937,-0.6,-0.6,-4937.0,-4628,99940,2015年第2季,-63457,-133804,-63457,-133804,-155142,87057,318086,374598,56512,56512,211654,21006,-0.6,-0.6,90708,-63457,-68085,317,318086,374598
2015-11-09,3,2015,175565.0,175565.0,-96910,186581,,201213,25648,-0.4,-0.4,25648.0,-16405,75541,2015年第3季,-42222,158991,-42222,158991,-147454,88827,148513,191369,42856,42856,190310,14935,-0.4,-0.4,99834,-42222,-58627,844,148513,191369
2016-03-09,4,2015,-87459.0,-87459.0,-61409,216812,216812.0,-46819,40640,4.28,4.28,40640.0,259330,596592,2015年度,452421,405602,452421,405602,562436,149315,4195246,5880350,1685104,1685104,1122668,68976,4.28,4.28,457100,452421,711751,6088,4195246,5880350
2016-04-28,1,2016,-33252.0,-33252.0,26886,24279,,-29557,3695,3.39,3.39,3695.0,159268,174429,2016年01月01日至2016年03月31日,353053,323496,353053,323496,463743,48578,1651260,2430584,779324,779324,315581,14984,3.38,3.38,126168,353053,512321,2587,1651260,2430584
2016-08-05,2,2016,-124062.0,-124062.0,-40517,967966,,-99534,24528,4.89,4.89,24528.0,276013,67749,2016年第2季,510197,410663,510197,410663,-140703,926913,278912,365456,86544,86544,227247,35862,4.87,4.87,123636,510197,786210,536,278912,365456
2016-11-07,3,2016,-139649.0,-139649.0,-11503,11387,,-133113,6536,-1.09,-1.09,6536.0,-25784,61197,2016年第3季,-113650,-246763,-113650,-246763,-138882,-552,145863,177575,31712,31712,170594,23153,-1.09,-1.09,86244,-113650,-139434,436,145863,177575
