date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,-18925,25346,7028,,-921,21691,0.38,0.38,,12760,,76203,2013年01月01日至2013年03月31日,35597,34676,35586,34665,19829,28528,327743,493070,165327,165327,145498,17997,,,0.38,0.38,51298,35597,48357,,3687.0,,3846,11,11
2013-08-12,2,2013,,6278,18780,1633,,25402,23042,0.42,0.42,,19984,,86270,2013年04月01日至2013年06月30日,40293,65695,40292,65693,45294,14983,376198,582778,206580,206580,161286,17710,,,0.42,0.42,57306,40293,60277,,3918.0,,5430,1,2
2013-11-13,3,2013,,3352,12298,4052,,-5693,-10898,0.69,0.69,,29368,,82314,2013年07月01日至2013年09月30日,65298,59605,65317,59625,83755,10911,384983,622739,237756,237756,154001,18219,,,0.69,0.69,53468,65298,94666,,-1853.0,,5439,-19,-20
2014-03-26,4,2013,,-1885,86434,14308,,29655,42583,2.11,2.11,,94803,,325656,2013年01月01日至2013年12月31日,200281,229936,200283,229938,214669,80415,1493649,2333259,839610,839610,624941,71969,,-4583.0,2.11,2.11,227316,200281,295084,,6460.0,,20327,-2,-2
2014-05-09,1,2014,,4648,27457,11050,,35925,37683,0.91,0.91,,30883,,81476,2014年01月01日至2014年03月31日,86053,121978,86055,121980,82970,33966,409061,652157,243096,243096,160126,19328,,0.0,0.91,0.91,59322,86053,116936,,6406.0,,4541,-2,-2
2014-08-11,2,2014,,26125,-17063,8181,,2015,-29048,0.47,0.47,,8439,,93460,2014年第2季,44793,46808,44793,46808,66719,-13487,424623,661390,236767,236767,170048,19414,,0.0,0.47,0.47,57174,44793,53232,,-4938.0,,4605,0,0
2014-11-12,3,2014,,-3719,-31290,5182,0.0,4626,10054,0.41,0.41,,20205,,81197,2014年第3季,38597,43223,38598,43224,90206,-31404,444316,691349,247033,247033,156827,18855,,0.0,0.41,0.41,56775,38597,58802,,1709.0,,5296,-1,-1
2015-03-20,4,2014,,113197,-6401,32048,,155714,53807,2.41,2.41,,85256,,332905,2014年度,227974,383688,227978,383692,307271,5959,1698416,2657647,959231,959231,651960,79079,,-2582.0,2.4,2.4,239976,227974,313230,,8708.0,,19688,-4,-4
2015-05-09,1,2015,,-56554,-27169,5858,,-58530,-2381,0.22,0.22,-58530.0,4761,,79540,2015年01月01日至2015年03月31日,20716,-37814,20716,-37814,51833,-26356,363252,574117,210865,210865,159032,20859,,,0.22,0.22,58633,20716,25477,,,-405.0,5045,0,0
2015-08-07,2,2015,,-27927,3986,7514,,-42426,-17468,0.28,0.28,-42426.0,28834,,83086,2015年第2季,26478,-15948,26477,-15949,49105,6207,421066,635507,214441,214441,165336,21929,,,0.28,0.28,60321,26478,55312,,,-2969.0,5293,1,1
2015-11-12,3,2015,,-3501,41965,7462,,58521,74725,0.79,0.79,58521.0,25568,,85186,2015年第3季,75117,133638,75119,133640,56457,44228,420817,644367,223550,223550,167093,20878,,,0.79,0.79,61029,75117,100685,,,12703.0,5199,-2,-2
2016-03-19,4,2015,-1241.0,-98653,13914,28091,,-85818,16959,1.72,1.72,-84577.0,82511,,336006,2015年度,162715,76897,162716,76898,224113,21113,1565040,2459036,893996,893996,669883,84593,-1495.0,,1.71,1.71,249284,162715,245226,-254.0,,2883.0,20892,-1,-1
2016-05-11,1,2016,,-50127,-12400,5532,,-73187,-27783,0.29,0.29,-73187.0,8599,,79766,2016年01月01日至2016年03月31日,27306,-45881,27306,-45881,47979,-12074,376728,581759,205031,205031,157052,20175,,,0.29,0.29,57111,27306,35905,,,-4723.0,5206,0,0
2016-08-10,2,2016,,-20732,-19117,6411,,-35072,-32004,0.11,0.11,-35072.0,20204,-10601.0,80348,2016年第2季,10882,-24190,10878,-24194,59908,-28822,362074,587977,225903,225903,165995,22297,,,0.11,0.11,63350,10882,31086,,,-17664.0,5515,4,4
2016-11-11,3,2016,0.0,12679,-20200,30918,,-38491,-62817,0.21,0.21,-38491.0,32290,-12573.0,78649,2016年第3季,20835,-17656,20836,-17655,59400,-6275,375748,594069,218321,218321,158921,19585,0.0,,0.21,0.21,60687,20835,53125,0.0,,-11647.0,4420,-1,-1
