date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,其他費用,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,遞延所得稅費用（利益）,重估增值,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-04-03,4,2013,,,,0,0,-113199,46367,,246484,,,,246484,12.51,,,,286839,,,,,,,,22652,2013年01月01日至2013年12月31日,,849538,1096022,,849538,1096022,1203209,-66832,2020062,3715010,1694948,1694948,491739,,203498,,,,265589,849538,1136377,,,,,,,,,,,,,9875,,3724885,3715010,0,,0,0
2014-11-21,3,2014,,,,0,0,-16810,17561,,135214,,,,135214,2.56,,,,42903,,,,,,,,8832,2014年第3季,,233137,368351,,233137,368351,276277,-237,1255350,1648791,393441,393441,117164,42903,64421,,2.54,,43911,233137,276040,,,,,988,,,,,,1255350,1255350,,1648791,1648791,1648791,,,0,0
2015-03-25,4,2014,,,,0,0,-19084,59000,,166773,,,,166773,10.23,,,,18373,,,,,,,,28841,2014年度,,923836,1090609,,923836,1090609,905601,36608,3984148,5376274,1392126,1392126,486525,,252248,,10.12,,205436,923836,942209,,,,,3308,,,,,,,,44904,,5424676,5376274,3498,,0,0
2015-04-23,1,2015,0,0,,,,21304,8695,,-6239,,,,-6239,2.30,,,-6239,81237,0,0,,,,,,6090,2015年01月01日至2015年03月31日,81237,231842,225603,0,231842,225603,284105,28974,1317828,1694747,376919,376919,92814,,43390,0,2.30,,43334,231842,313079,0,,0,,1025,,,0,,,1317828,1317828,,,,1694747,,,,
2015-08-11,2,2015,,,,,,27830,11512,,-48503,,,,-48503,1.77,1.77,,-48503,12669,,,,,,,,7281,2015年第2季,,186295,137792,,186295,137792,159683,39281,1079854,1330051,250197,250197,90514,,35761,,1.76,1.76,47472,186295,198964,,,,,61,,,,,,1079854,1079854,,1330051,1330051,1330051,,,,
2015-11-06,3,2015,0,0,,,,132819,18604,,140174,,,,140174,3.36,3.36,,140174,38020,0,0,,,,,,7021,2015年第3季,36678,354034,494208,0,354034,494208,241353,150701,962607,1315111,352504,352504,111151,,48787,0,3.35,3.35,55343,354034,392054,0,,0,,722,,1342,0,,,962607,962607,,,,1315111,,,,
2016-03-10,4,2015,0,0,,0,0,218730,91155,,-50054,,,,-50054,10.56,,,-50054,216791,,0,0,0,0,0,0,28035,2015年度,,1100892,1050838,,1100892,1050838,1010526,307157,4487555,5912035,1424480,1424480,413954,,184662,,10.51,,201257,1100892,1317683,0,,,,2728,,,,,,,,45764,,5957799,5912035,0,,0,0
2016-05-10,1,2016,0,0,,,,10968,59740,,-90444,34060,,,-90444,2.04,2.04,,-90444,36116,0,0,,,,,,6653,2016年01月01日至2016年03月31日,,215624,125180,0,215624,125180,181939,69801,708537,973206,264669,264669,82730,,,0,2.04,2.04,42017,215624,251740,0,,0,,907,,,0,,,,,,,,973206,,,,
2016-08-10,2,2016,,,1947,,0,109633,7303,-5711,-156274,,13014,1525,-156274,3.11,3.11,76453,-156274,44551,,,,,,,,8085,2016年第2季,26836,327623,171349,,327623,171349,256763,115411,796678,1165454,368776,368776,112013,,43442,,3.10,3.10,60486,327623,372174,,0,,28398,1525,6729,17715,,0,13014,796678,796678,1466,1166920,1166920,1165454,0,0,,0
2016-11-07,3,2016,,,,,,-54286,45855,,-231640,,45855,,-231640,1.57,1.57,,-231640,71217,,,,,,,,6977,2016年第3季,46176,165779,-65861,,165779,-65861,248139,-11143,833641,1176807,343166,343166,95027,,42496,,1.57,1.57,45554,165779,236996,,,,,2712,,25041,,0,,833641,833641,3842,1180649,1180649,1176807,0,0,,
