date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,3391,46987,2928,3391,1.32,1.32,,46987,85575,2013年01月01日至2013年03月31日,212608,215999,210999,214390,210352,49243,4549712,4882485,332773,332773,122421,876,,,1.32,1.32,35970,212608,259595,,,672,1609,1609
2013-08-01,2,2013,,-4178,21763,4017,-4178,1.14,1.14,,28229,88533,2013年04月01日至2013年06月30日,184697,180519,183015,178837,187807,25119,4671128,4981879,310751,310751,122944,869,,,1.14,1.14,33542,184697,212926,,,661,1682,1682
2013-10-31,3,2013,,-908,-14939,5700,-908,0.65,0.65,,21593,88744,2013年07月01日至2013年09月30日,105426,104518,103913,103005,137890,-10871,4572461,4835930,263469,263469,125579,854,,,0.65,0.65,35981,105426,127019,,,1632,1513,1513
2014-03-18,4,2013,,-5146,75443,21156,-30928,4.42,4.42,,138550,362304,2013年01月01日至2013年12月31日,713668,682740,706875,675826,759322,92896,18773322,20047360,1274038,1274038,514716,3666,,-31063.0,4.41,4.41,148746,713668,852218,,-5281.0,3703,6793,6914
2014-04-29,1,2014,,-1091,35774,5034,-1091,1.81,1.81,,60263,95774,2014年01月01日至2014年03月31日,290656,289565,289066,287975,310921,39998,5074869,5526932,452063,452063,141142,946,,,1.81,1.81,44422,290656,350919,,,810,1590,1590
2014-07-29,2,2014,,4300,-15939,4630,4300,0.92,0.92,,37020,93890,2014年第2季,148025,152325,146965,151265,197416,-12371,5068827,5402908,334081,334081,136665,947,,,0.92,0.92,41828,148025,185045,,,1062,1060,1060
2014-10-28,3,2014,,-1030,28215,2785,-1030,0.93,0.93,,27845,98213,2014年第3季,151387,150357,149227,148197,149596,29636,5130787,5414702,283915,283915,134319,898,,,0.93,0.93,35208,151387,179232,,,1364,2160,2160
2015-03-19,4,2014,,4924,102144,19238,8844,6.17,6.17,,209235,404201,2014年度,994929,1003773,987441,996001,1086613,117551,20178839,21849462,1670623,1670623,584010,3739,,4723.0,6.16,6.16,176070,994929,1204164,,803.0,3831,7488,7772
2015-05-07,1,2015,,222,-7324,8760,222,1.51,1.51,222.0,49784,102143,2015年01月01日至2015年03月31日,243960,244182,241953,242175,292949,795,4306393,4750989,444596,444596,151647,903,,,1.51,1.51,48601,243960,293744,,,641,2007,2007
2015-07-28,2,2015,,0,-8316,6690,0,1.1,1.1,0.0,48540,95889,2015年第2季,178769,178769,176713,176713,229217,-1908,3828116,4190211,362095,362095,132878,1019,,,1.1,1.1,35970,178769,227309,,,282,2056,2056
2015-10-29,3,2015,,0,61574,7319,0,1.72,1.72,0.0,56654,102660,2015年第3季,276606,276606,274368,274368,264847,68413,4004540,4424889,420349,420349,155502,1154,,,1.71,1.71,51688,276606,333260,,,480,2238,2238
2016-03-22,4,2015,13483.0,222,58799,28243,13705,5.7,5.7,222.0,200591,407916,2015年度,921298,935003,912106,926198,1036713,85176,16136555,17773023,1636468,1636468,599755,4285,16245.0,,5.69,5.69,187554,921298,1121889,2762.0,,1866,9192,8805
2016-04-29,1,2016,,0,-23269,4784,0,1.09,1.09,0.0,36200,104495,2016年01月01日至2016年03月31日,176742,176742,173947,173947,232356,-19414,3542734,3927503,384769,384769,152413,1145,,,1.09,1.09,46773,176742,212942,,,929,2795,2795
2016-07-28,2,2016,,0,7317,3877,0,1.69,1.69,0.0,60412,105904,2016年第2季,272291,272291,270098,270098,322597,10106,3764382,4244007,479625,479625,157028,1249,,,1.69,1.69,49875,272291,332703,,,1088,2193,2193
2016-10-27,3,2016,,0,-32430,2946,0,1.19,1.19,0.0,40710,111178,2016年第3季,192783,192783,189995,189995,264000,-30507,4130270,4554201,423931,423931,159931,2085,,,1.19,1.19,46668,192783,233493,,,1023,2788,2788
