date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,-2808,3896,1670,,7558,10366,0.25,0.25,,4602,5363,2013年01月01日至2013年03月31日,25156,32714,25524,29969,24255,5503,227248,268167,40919,40919,16664,2735,,,0.25,0.25,8566,25156,29758,,63,227248,268167,-368,2745
2013-08-13,2,2013,,33,5337,2949,,7367,7334,0.15,0.15,,6311,5186,2013年04月01日至2013年06月30日,14448,21815,14900,20065,12535,8224,220098,249374,29276,29276,16741,2743,,,0.15,0.15,8812,14448,20759,,62,220098,249374,-452,1750
2013-11-12,3,2013,,7,-3969,3093,,-3404,-3411,0.11,,,1958,5381,2013年07月01日至2013年09月30日,10467,7063,10925,8584,13308,-883,233325,261591,28266,28266,14958,2421,,,0.11,,7156,10467,12425,,7,233325,261591,-458,-1521
2014-03-27,4,2013,,-2775,12474,12047,-847.0,21563,20202,0.72,,,16927,22200,2013年01月01日至2013年12月31日,71674,93237,72441,88055,64239,24362,959499,1089403,129904,129904,65665,10519,,4983.0,0.72,,32946,71674,88601,,159,959499,1089403,-767,5182
2014-05-09,1,2014,,66,3808,6634,,4867,4801,0.21,,,4256,6650,2014年01月01日至2014年03月31日,20977,25844,20951,24440,14823,10410,260307,292973,32666,32666,17843,2556,,,0.21,,8637,20977,25233,,32,260307,292973,26,1404
2014-08-12,2,2014,,165,-11561,4100,,-7205,-7370,-0.03,,,1589,6144,2014年第2季,-4681,-11886,-3489,-8579,4393,-7485,250833,275914,25081,25081,20688,2399,,,-0.03,,12145,-4681,-3092,,24,250833,275914,-1192,-3307
2014-11-12,3,2014,,-65,11016,4831,,6579,6644,0.11,,,2790,5804,2014年第3季,10037,16616,11258,15938,-2994,15821,231315,244906,13591,13591,16585,2388,,,0.11,,8393,10037,12827,,26,231315,244906,-1221,678
2015-03-26,4,2014,,211,22923,19386,400.0,19030,20769,0.58,,,14628,28932,2014年度,56620,75650,58797,72096,29050,42198,1096871,1205434,108563,108563,79513,12073,,-2350.0,0.58,,38508,56620,71248,,111,1096871,1205434,-2177,3554
2015-05-08,1,2015,,33,-6069,4146,,-5562,-5595,0.18,,-5562.0,3901,6929,2015年01月01日至2015年03月31日,18239,12677,18494,14463,24082,-1942,237619,279979,42360,42360,18278,2313,,,0.18,,9036,18239,22140,,19,237619,279979,-255,-1786
2015-08-12,2,2015,,175,-6624,3811,,-3336,-3511,0.17,,-3336.0,4387,5151,2015年第2季,17358,14022,16775,14401,24574,-2829,240406,283596,43190,43190,18616,2433,,,0.17,,11032,17358,21745,,16,240406,283596,583,-379
2015-11-11,3,2015,,-135,22161,4147,,8562,8697,0.36,,8562.0,9146,5642,2015年第3季,33973,42535,36040,41998,16815,26304,211246,246899,35653,35653,18838,2323,,,0.36,,10873,33973,43119,,4,211246,246899,-2067,537
2016-03-29,4,2015,-1474.0,287,4854,15271,,-9693,-8506,1.0,,-8219.0,23241,24116,2015年度,98244,88551,100014,92319,101415,20070,935416,1109886,174470,174470,73055,9369,-1776.0,,1.0,,39570,98244,121485,-302.0,55,935416,1109886,-1770,-3768
2016-05-12,1,2016,,194,-11564,2991,,-5114,-5308,0.35,,-5114.0,7182,5492,2016年01月01日至2016年03月31日,35031,29917,35063,31332,50790,-8577,191328,259931,68603,68603,17813,2209,,,0.35,,10112,35031,42213,,4,191328,259931,-32,-1415
2016-08-10,2,2016,,107,669,3093,,-8101,-8208,0.31,,-8101.0,8749,5039,2016年第2季,30819,22718,30856,24893,35809,3759,195137,249435,54298,54298,18489,2206,,,0.3,,11244,30819,39568,,3,195137,249435,-37,-2175
2016-11-11,3,2016,,201,-13040,4144,,-12088,-12289,0.1,,-12088.0,2099,4902,2016年第3季,9606,-2482,10145,1092,20603,-8898,181358,216897,35539,35539,14936,2235,,,0.1,,7799,9606,11705,,2,181358,216897,-539,-3574
