date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,重估價之利益（損失）,重估增值,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-08,1,2013,,620.0,6788,2627,1636.0,-1100,991.0,-1100,0.01,5799.0,0.0,,148,3860.0,3860,16250,2013年01月01日至2013年03月31日,687,-413,687,-413,-12440,13275,215623,264751,49128,49128,61568,24519,,,,20799,687,835,,,,,1609.0,,,1252.0,,268395.0,264751.0,2392.0
2013-08-09,2,2013,,,3092,1091,,1781,1091.0,1781,-0.28,,,,68,,-160,23474,2013年04月01日至2013年06月30日,-28050,-26269,-28050,-26269,-32005,4023,176725,220231,43506,43506,75511,24106,,,,27931,-28050,-27982,,,,0.0,,,,177.0,223496.0,223496.0,220231.0,3088.0
2013-11-06,3,2013,,,6550,908,,-379,908.0,-379,-0.26,,,,221,,-2047,22807,2013年07月01日至2013年09月30日,-25815,-26194,-25815,-26194,-31005,5411,188201,229209,41008,41008,72013,26934,,,,22272,-25815,-25594,,,,0.0,,,,946.0,232861.0,232861.0,229209.0,2706.0
2014-03-27,4,2013,,,2448,10100,,-880,,-2845,-1.57,,,,25147,,1531,97060,2013年01月01日至2013年12月31日,-155060,-155940,-155060,-155940,-143991,14078,721842,867387,145545,145545,289536,105011,,1694.0,,87465,-155060,-129913,,-271.0,,1.0,,,,2757.0,883366.0,883366.0,867387.0,13222.0
2014-05-13,1,2014,,,3336,1453,,-615,,-615,-0.36,,,,0,,-5288,18833,2014年01月01日至2014年03月31日,-35120,-35735,-35120,-35735,-34620,-500,112352,138870,26518,26518,61138,19823,,,,22482,-35120,-35120,,,,1.0,,,,672.0,,142515.0,138870.0,2973.0
2014-08-12,2,2014,,,-11267,4972,,604,,604,-0.3,,,,-4364,,-704,8828,2014年第2季,-29401,-28797,-29401,-28797,-26760,-7005,114881,135546,20665,20665,47425,15475,,,,23122,-29401,-33765,,,,6.0,,,,407.0,,138911.0,135546.0,2958.0
2014-11-11,3,2014,,,-78,7867,,-690,,-690,-0.51,,,,0,,-570,15214,2014年第3季,-48957,-49647,-48957,-49647,-54646,5689,128165,126795,-1370,-1370,53276,19875,,,,18187,-48957,-48957,,,,1530.0,,,,536.0,,131057.0,126795.0,3726.0
2015-03-24,4,2014,,,-105,11870,,103538,,72,-1.55,,,,-713,,-9005,57152,2014年度,-149309,-45771,-149309,-45771,-149715,-307,427392,480848,53456,53456,203171,68659,,-3137.0,,77360,-149309,-150022,,-573.0,,3067.0,,106030.0,,2142.0,,497275.0,480848.0,14285.0
2015-05-12,1,2015,,,279,26227,,187,,187,-0.25,,,187.0,0,,-3874,16411,2015年01月01日至2015年03月31日,-24516,-24329,-24516,-24329,-45613,21097,76216,79166,2950,2950,48563,15113,,,,17039,-24516,-24516,,,0.0,1535.0,,,,2747.0,,86533.0,79166.0,4620.0
2015-08-12,2,2015,97609.0,,-3716,3928,,97294,,-315,-0.4,,,-315.0,25,,-3279,3354,2015年第2季,-39500,57794,-39500,57794,-35116,-4359,52246,46227,-6019,-6019,29097,11717,,,,14026,-39500,-39475,6316.0,,0.0,1292.0,,,103925.0,1046.0,,63602.0,46227.0,16329.0
