date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銀行存款利息,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,85776,733,3310,89494,3310,4577,-0.11,,1389,79144,2013年01月01日至2013年03月31日,-18489,71005,-18489,71005,-20343,3243,203227,334965,131738,131738,152081,29263,,,,43674,-18489,-17100,,,859.0,,800,3310.0,,
2013-08-06,2,2013,,-26733,1304,5374,-22199,3593,4101,-0.31,,4233,77615,2013年04月01日至2013年06月30日,-50751,-72950,-50751,-72950,-52371,5853,243877,343150,99273,99273,151644,31279,,,,42750,-50751,-46518,1781.0,,-433.0,,825,,,
2013-11-12,3,2013,,53175,790,12671,49979,3271,-3187,-0.38,,-2805,76802,2013年07月01日至2013年09月30日,-61163,-11184,-61163,-11184,-76665,12697,190236,266673,76437,76437,153102,35301,,,,40999,-61163,-63968,9400.0,,9.0,,764,,,
2014-03-17,4,2013,,77240,14053,24011,88455,12830,7822,-1.06,,7656,290870,2013年01月01日至2013年12月31日,-174081,-85626,-174081,-85626,-201255,34830,840761,1248708,407947,407947,609202,128600,,2750.0,-1.06,189732,-174081,-166425,11181.0,,-643.0,,3234,,,
2014-05-13,1,2014,,-9953,8789,2666,-14682,2666,-4729,-0.3,,-69,67514,2014年01月01日至2014年03月31日,-48452,-63134,-48411,-63156,-59001,10480,192931,281594,88663,88663,147664,32832,,,-0.3,47318,-48452,-48521,,,0.0,,975,,-41.0,22.0
2014-08-12,2,2014,,11913,-573,4095,10076,2498,-1837,-0.55,,2438,69409,2014年第2季,-90038,-79962,-90678,-80597,-89969,2369,169938,228455,58517,58517,148486,30811,,,-0.55,48266,-90038,-87600,1597.0,,0.0,,1153,,640.0,635.0
2014-11-12,3,2014,,92421,3477,19444,100467,2253,8046,-0.76,,9779,66437,2014年第3季,-85490,14977,-85705,14869,-97479,21768,221883,270339,48456,48456,145935,32970,,,,46528,-85490,-75711,17191.0,,0.0,,1153,,215.0,108.0
2015-03-26,4,2014,,138416,13179,28150,141048,9362,3114,-2.76,,43708,267653,2014年度,-316752,-175704,-317647,-176509,-309948,36904,864631,1133857,269226,269226,579174,123157,,-565.0,-2.76,188364,-316752,-273044,18788.0,,-83.0,,4425,,895.0,805.0
2015-05-12,1,2015,,19063,147,1540,22490,1540,3427,-0.56,22490.0,6255,67703,2015年01月01日至2015年03月31日,-64107,-41617,-64279,-41624,-58371,519,253382,335604,82222,82222,140593,28812,,,-0.56,44078,-64107,-57852,0.0,,,0.0,1168,,172.0,7.0
2015-08-12,2,2015,,-44996,1867,1504,-48888,1504,-3892,-0.6,-48888.0,4237,62665,2015年第2季,-69242,-118130,-68698,-117578,-67165,2160,250800,325447,74647,74647,141812,35317,,,-0.6,43830,-69242,-65005,0.0,,,,1211,,-544.0,-552.0
2015-11-12,3,2015,,14138,4118,25261,11088,1193,-3050,-0.11,11088.0,7208,68258,2015年第3季,-11691,-603,-12984,-1850,-32535,28052,324080,432703,108623,108623,141158,31673,,,-0.11,41227,-11691,-4483,24068.0,,,0.0,1327,,1293.0,1247.0
2016-03-22,4,2015,-1931.0,-13724,11168,29438,-25002,5370,-9347,-1.55,-23071.0,30472,275286,2015年度,-175688,-200690,-178666,-203611,-180692,35476,1152733,1562896,410163,410163,590855,132873,-2281.0,,-1.55,182696,-175688,-145216,24068.0,-350.0,,,5130,,2978.0,2921.0
2016-05-09,1,2016,,72917,-3193,876,71785,876,-1132,-0.57,71785.0,6983,78381,2016年01月01日至2016年03月31日,-66394,5391,-66354,5323,-55331,-4080,214870,313097,98227,98227,153558,25929,,,-0.57,49248,-66394,-59411,,,,0.0,1763,,-40.0,68.0
2016-08-08,2,2016,,-39567,2135,2149,-45198,751,-5631,-0.82,-45198.0,14249,69311,2016年第2季,-94445,-139643,-95144,-140194,-82793,2597,163327,219172,55845,55845,138638,25091,,,-0.82,44236,-94445,-80196,1398.0,,,0.0,1687,,699.0,551.0
2016-11-07,3,2016,,0,-695,20450,-3547,394,-3547,-0.58,-3547.0,20957,66281,2016年第3季,-65767,-69314,-67246,-70749,-62621,17811,262559,339883,77324,77324,139945,28403,,,-0.58,45261,-65767,-44810,20056.0,,,0.0,1944,,1479.0,1435.0
