date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與可能重分類之項目相關之所得稅,處分無形資產利益,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,,175528,12894,,17681,17681,0.81,,,12300,,86602,2013年01月01日至2013年03月31日,156732,174413,120348,133776,-14123,183155,315940,485480,169540,169540,183663,,41955,,,0.81,,55106,156732,169032,,,5267,315940.0,315940.0,485480.0,485480.0,485480.0,36384,40637
2013-08-08,2,2013,,-1294.0,15058,7966,,4697,5991,0.39,,,12958,0.0,78786,2013年04月01日至2013年06月30日,54889,59586,58648,62479,48855,18992,395151,623621,228470,228470,179615,12958.0,46655,,,0.39,,54174,54889,67847,,,4032,,395151.0,,,,-3759,-2893
2013-11-07,3,2013,,-3238.0,927,18410,18410.0,-13914,-10676,0.6,0.6,,19385,,84350,2013年07月01日至2013年09月30日,94125,80211,89105,79161,98447,15063,458339,755871,297532,297532,199085,,55166,,,0.6,0.6,59569,94125,113510,,,4274,458339.0,458339.0,755871.0,755871.0,755871.0,5020,1050
2014-03-24,4,2013,,-7354.0,190191,75849,,28423,28209,2.01,,,85254,,335343,2013年01月01日至2013年12月31日,324735,353158,300691,325055,162510,247479,1613625,2577907,964282,964282,801772,,225852,,7568.0,2.01,,240577,324735,409989,,,18561,,,,,,24044,28103
2014-05-09,1,2014,,50143.0,3624,17450,,45418,-4725,0.41,,,25925,,76980,2014年01月01日至2014年03月31日,53806,99224,60912,82474,63562,16169,410726,679577,268851,268851,205289,,66663,,,0.41,,61646,53806,79731,,,4905,,,,,,-7106,16750
2014-08-11,2,2014,,-15249.0,-4078,10010,,-28839,-13590,0.47,0.47,,42540,,79854,2014年第2季,61153,32314,70073,52874,102672,1021,430863,761802,330939,330939,228267,,81598,,,,,66815,61153,103693,,,4911,,,,,,-8920,-20560
2014-11-08,3,2014,,-35669.0,1512,15037,,-16117,19552,-0.14,,,6134,,81532,2014年第3季,-58964,-75081,-21904,-26089,-64123,11293,326424,499592,173168,173168,237291,,79863,,,,,75896,-58964,-52830,,,5256,,,,,,-37060,-48992
2015-03-25,4,2014,,-8995.0,-937,84272,,17442,30749,1.01,,,108406,,312357,2014年度,98959,116401,163393,177294,144298,63067,1558519,2642145,1083626,1083626,939328,,350272,,-4312.0,,,276699,98959,207365,,,20268,,,,,,-64434,-60893
2015-05-06,1,2015,,210493.0,-626,14087,,192787,-20567,-0.16,,192787.0,3081,,70911,2015年01月01日至2015年03月31日,-61041,131746,-26341,52845,-66304,8344,327347,480935,153588,153588,219892,,83276,,,,,65705,-61041,-57960,-2861.0,-626.0,5117,,,,,480935.0,-34700,78901
2015-08-11,2,2015,,-94428.0,-1792,7142,,-106854,-14227,-0.06,-0.06,-106854.0,1339,,75615,2015年第2季,-30208,-137062,-9704,-60285,-29026,157,356091,554403,198312,198312,227338,,79252,,,,,72471,-30208,-28869,-1801.0,,5193,,,,,,-20504,-76777
2015-11-12,3,2015,,-53027.0,7209,12604,,-16580,41770,-0.1,,-16580.0,4389,,77598,2015年第3季,-61071,-77651,-16764,-14244,-71192,14510,331777,502361,170584,170584,241776,,96512,,,,,67666,-61071,-56682,5323.0,,5303,,,,,,-44307,-63407
2016-03-18,4,2015,-3708.0,128171.0,15332,74950,,94394,-34849,0.09,,98102.0,24870,,312049,2015年度,-83529,10865,13952,43659,-128267,69608,1401418,2187401,785983,785983,914250,,343399,-3708.0,,,,258802,-83529,-58659,-4780.0,,20674,,,,,,-97481,-32794
2016-05-11,1,2016,,-37866.0,-4322,11535,,-38776,-939,-0.1,,-38776.0,2419,,78900,2016年01月01日至2016年03月31日,-41845,-80621,-16435,-33329,-41346,1920,317732,501366,183634,183634,224980,,85620,,,,,60460,-41845,-39426,-29.0,,5293,,,,,,-25410,-47292
2016-08-11,2,2016,,-20480.0,824,21528,,-45011,-28125,-0.02,-0.02,-45011.0,6020,,73089,2016年第2季,-34402,-79413,-2483,-29107,-45472,17090,315542,506014,190472,190472,235944,,102652,,,,,60203,-34402,-28382,-3594.0,,5262,,,,,,-31919,-50306
2016-11-09,3,2016,,39325.0,-1318,14384,,6198,-38096,-0.04,,6198.0,3348,,80068,2016年第3季,-35308,-29110,-6194,-13053,-39326,7366,341626,532729,191103,191103,230429,,94871,,,,,55490,-35308,-31960,-4969.0,,5700,,,,,,-29114,-16057
