date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,456441,2021,274,274,0.79,0.79,,27331,2097,29719,2013年01月01日至2013年03月31日,336954,337228,387276,387507,-51162,415447,777359,998226,220867,220867,272029,,,0.79,0.79,242310,336954,364285,,,45112,,,-50322,-50279
2013-08-12,2,2013,,,14799,4532,747,747,-0.22,,,73778,246,41790,2013年04月01日至2013年06月30日,-91560,-90813,-107669,-107042,-1004,-16778,447229,730891,283662,283662,284666,,,-0.22,,242876,-91560,-17782,,,36355,,,16109,16229
2013-11-12,3,2013,,,-14080,4046,-209,-209,-0.03,,,18250,1159,8293,2013年07月01日至2013年09月30日,-27002,-27211,-13580,-13755,48575,-57327,522840,853037,330197,330197,281622,,,-0.03,,273329,-27002,-8752,,,48452,,,-13422,-13456
2014-03-26,4,2013,,,463646,24634,-2147,1125,2.42,,,157932,591,132541,2013年01月01日至2013年12月31日,1220220,1218073,1197081,1194182,1071690,306462,4988476,7284392,2295916,2295916,1224226,,-3272.0,2.42,,1091685,1220220,1378152,,,182409,,,23139,23891
2014-05-13,1,2014,,,-648,1380,-4110,-4110,2.38,,,154262,1113,26183,2014年01月01日至2014年03月31日,1253737,1249627,1177920,1174467,1472004,-64005,3146069,4965164,1819095,1819095,347091,,,2.38,,320908,1253737,1407999,,,65850,,,75817,75160
2014-08-12,2,2014,,0.0,894,6447,-3497,-3497,0.5,,,117847,-94,82256,2014年第2季,272640,269143,247379,244441,427244,-36757,851402,1632849,781447,781447,354203,,,,,271947,272640,390487,,,44004,,,25261,24702
2014-11-12,3,2014,,,18394,1963,4939,4939,-0.12,,,29489,1184,46477,2014年第3季,-50478,-45539,-57998,-53848,6937,-27926,347947,700133,352186,352186,345249,,,-0.12,,298772,-50478,-20989,,,49467,,,7520,8309
2015-03-26,4,2014,,,66387,20661,3868,2391,5.82,,,305938,792,223906,2014年度,3032005,3035873,2873495,2874281,3465493,-127550,8194488,13165659,4971171,4971171,1505678,,1477.0,5.82,,1281772,3032005,3337943,,,215390,,,158510,161592
2015-05-12,1,2015,-124.0,,16480,2119,-2075,-1951,0.24,,-1951.0,24358,2844,83320,2015年01月01日至2015年03月31日,133676,131601,116464,114656,202955,-44921,1226982,1822278,595296,595296,392341,-124.0,,,,309021,133676,158034,,,66364,1822278.0,1822278.0,17212,16945
2015-08-11,2,2015,0.0,,13547,6572,-2289,-2289,-0.31,,-2289.0,185869,-760,85068,2015年第2季,-128360,-130649,-149938,-151861,90742,-33233,985900,1465290,479390,479390,388648,0.0,,-0.31,,303580,-128360,57509,0.0,0.0,52592,1465290.0,1465290.0,21578,21212
2015-11-11,3,2015,-124.0,,12651,6997,5674,5798,-0.09,,5798.0,46966,-1580,86284,2015年第3季,8588,14262,-43514,-38643,99863,-44309,1574486,2073067,498581,498581,398718,-124.0,,-0.09,,312434,8588,55554,0.0,0.0,62377,2073067.0,2073067.0,52102,52905
2016-03-24,4,2015,-2840.0,,-45014,18930,-8137,-5297,1.16,,-5297.0,347302,110,300611,2015年度,702498,694361,572325,567030,1313675,-263875,7871308,10760103,2888795,2888795,1575120,-2840.0,,1.16,,1274509,702498,1049800,,,237901,,,130173,127331
2016-05-10,1,2016,0.0,,-331,3197,-5708,-5708,0.22,,-5708.0,109458,412,65170,2016年01月01日至2016年03月31日,125451,119743,107990,103194,292514,-57605,1657450,2350598,693148,693148,400634,0.0,,0.22,,335464,125451,234909,,,60883,,,17461,16549
2016-08-09,2,2016,0.0,,-319550,2477,-8001,-8001,0.58,,-8001.0,58284,-37,37283,2016年第2季,263890,255889,285184,278462,697937,-375763,3014913,4071291,1056378,1056378,358441,0.0,,0.58,,321158,263890,322174,,,58653,,,-21294,-22573
2016-11-09,3,2016,0.0,,52852,5012,-10775,-10775,0.54,,-10775.0,-16572,591,56095,2016年第3季,339283,328508,263895,254842,323231,-520,2182493,2883500,701007,701007,377776,0.0,,0.53,,321681,339283,322711,,,58975,,,75388,73666
