date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,35362,9328,8862,,186394,151032,0.12,,9512,244063,2013年01月01日至2013年03月31日,,37630,224024,38023,224417,49461,-2319,5391865,6054844,662979,662979,613518,218928,,,0.12,150527,37630,47142,,,,20509,-393,-393
2013-08-07,2,2013,,-16056,6944,25559,,44022,60078,-0.12,,-9466,243515,2013年04月01日至2013年06月30日,,-36605,7417,-36774,7248,-60084,14013,5185204,5737028,551824,551824,611908,219582,,,-0.12,148811,-36605,-46071,,0.0,,18490,169,169
2013-11-05,3,2013,,5201,17223,13909,,-65145,-70346,-0.11,,0,250410,2013年07月01日至2013年09月30日,,-32376,-97521,-33748,-98893,-42748,10372,5342916,5928852,585936,585936,628684,224916,,,-0.11,153358,-32376,-32376,,0,,20760,1372,1372
2014-03-21,4,2013,,41779,121905,63266,,266695,221207,0.01,,523,983874,2013年01月01日至2013年12月31日,,3844,270539,2527,269222,-100443,104810,21123118,23501401,2378283,2378283,2478726,891531,,4516.0,0.01,603321,3844,4367,,807.0,,80361,1317,1317
2014-05-06,1,2014,,10355,6207,19066,,63440,53085,-0.39,,0,229538,2014年01月01日至2014年03月31日,,-124529,-61089,-124642,-61202,-124281,-248,4409572,4844550,434978,434978,559259,193078,,,-0.39,136643,-124529,-124529,,0,,25521,113,113
2014-08-05,2,2014,,-11024,64935,23060,,-128671,-117647,0.16,,14150,244105,2014年第2季,,50986,-77685,51320,-77351,349,64787,4750826,5352161,601335,601335,600986,209161,,,0.16,147720,50986,65136,,0.0,,23208,-334,-334
2014-11-11,3,2014,,9190,15610,27284,,150964,141774,0.24,,407,248707,2014年第3季,,74707,225671,74993,225957,52477,22637,4889773,5554901,665128,665128,612651,213853,,,0.24,150091,74707,75114,,0,,20257,-286,-286
2015-03-16,4,2014,,10434,92848,85816,,303833,295977,0.24,,34117,980111,2014年度,,78474,382307,78119,381952,18064,94527,19152305,21577869,2425564,2425564,2407500,838342,,-3094.0,0.24,589047,78474,112591,,-516.0,,84137,355,355
2015-05-05,1,2015,,-11692,-278,11069,,-84559,-72867,0.11,-84559.0,8844,236342,2015年01月01日至2015年03月31日,,34720,-49839,35383,-49176,44636,-1072,4555582,5184913,629331,629331,584695,204299,,,0.11,144054,34720,43564,,,0.0,11863,-663,-663
2015-08-06,2,2015,,-34650,1910,12896,,-120581,-85931,0.07,-120581.0,5514,227687,2015年第2季,,22907,-97674,22061,-98520,23962,4459,4302717,4891803,589086,589086,565124,198005,,,0.07,139432,22907,28421,,,,10347,846,846
2015-11-09,3,2015,,-26330,200640,28847,718530.0,314483,340813,1.58,314483.0,152500,290234,2015年第3季,,497873,812356,495943,810426,431941,218432,4378671,4799535,420864,420864,707453,245134,,,1.55,172085,497873,650373,,,0.0,11055,1930,1930
2016-03-07,4,2015,-3082.0,-56462,206967,81570,718530.0,23256,82800,2.0,26338.0,185756,993737,2015年度,,626796,650052,624597,647853,566893,245659,17382590,19660699,2278109,2278109,2429746,843176,-3792.0,,1.97,592833,626796,812552,-710.0,,0.0,42878,2199,2199
2016-05-05,1,2016,,-3310,1912,22659,,-129884,-126574,0.15,-129884.0,11288,214182,2016年01月01日至2016年03月31日,,46504,-83380,45203,-84681,41804,15988,3496767,4067832,571065,571065,529261,189792,,,0.15,125287,46504,57792,,,0.0,8583,1301,1301
2016-08-09,2,2016,,27828,-2540,24996,,-66977,-94805,0.25,-66977,18834,243258,2016年第2季,18834,75730,8753,75701,8724,79431,15133,4048376,4716036,667660,667660,588229,203289,,,0.25,141682,75730,94564,,,0,7323,29,29
2016-11-08,3,2016,,-5138,12126,42691,0.0,-237880,-232742,0.6,-237880.0,44380,265420,2016年第3季,,179094,-58786,177521,-60359,177315,46159,4358781,5153807,795026,795026,617711,207470,,,0.59,144821,179094,223474,,,0.0,8658,1573,1573
