date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值
2013-05-10,1,2013,,,-225,18305,3198,,15300,,15502,0.06,,,4533,,,85028,2013年01月01日至2013年03月31日,,4137,19437,,4137,19437,-8161,16831,1753068,1862747,109679,109679,117840,9561,,,,0.06,23251,4137,8670,,,-23.0,,,4672,
2013-08-08,2,2013,,,48070,5583,5927,,47455,,4193,0.09,,,1491,,,103381,2013年04月01日至2013年06月30日,,6456,53911,,6456,53911,1468,6479,2090929,2234335,143406,143406,141938,10581,,,,0.09,27976,6456,7947,,,4808.0,,,5031,
2013-11-08,3,2013,,,-13689,-1342,2088,,-23196,,-9604,0.0,,,8531,,,99605,2013年07月01日至2013年09月30日,,276,-22920,,276,-22920,13970,-5163,2139006,2292391,153385,153385,139415,9937,,,,0.0,29873,276,8807,,,-97.0,,,5909,
2014-03-25,4,2013,,,38372,27517,25976,,46822,,14405,0.86,,,19140,,,378645,2013年01月01日至2013年12月31日,,60616,107438,,60616,107438,48120,31636,8174820,8751706,576886,576886,528766,40921,,1687.0,,0.86,109200,60616,79756,,,7642.0,,,21857,
2014-05-12,1,2014,,,36179,21303,11083,,46579,,14742,0.48,,,7043,,,86806,2014年01月01日至2014年03月31日,,33975,80554,,33975,80554,15621,25397,2047039,2187767,140728,140728,125107,11639,,,,0.48,26662,33975,41018,,,4342.0,,,6989,
2014-08-08,2,2014,,,21618,-9971,9683,,6292,,-12732,0.16,,,8427,,,86551,2014年第2季,,11153,17445,,11153,17445,26889,-7309,2091694,2241843,150149,150149,123260,10715,,,,0.16,25994,11153,19580,,,2594.0,,,7021,
2014-11-10,3,2014,,,-17092,16182,7067,,-3074,,11966,0.35,,,5136,,,84512,2014年第3季,,24844,21770,,24844,21770,13333,16647,2135376,2274828,139452,139452,126119,11379,,,,0.35,30228,24844,29980,,,-2052.0,,,6602,
2015-03-26,4,2014,,,54957,65749,39693,,81198,,41237,2.04,,,31332,,,349986,2014年度,,143670,224868,,143670,224868,96364,78638,8578022,9184564,606542,606542,510178,44977,,-1391.0,,2.03,115215,143670,175002,,,13605.0,,,26804,
2015-05-12,1,2015,,,-3632,-3580,4618,,-10648,,-7313,0.13,,-10648.0,3574,,,84631,2015年01月01日至2015年03月31日,,9106,-1542,,9106,-1542,17889,-5209,1884359,2029727,145368,145368,127479,11867,,,,0.13,30981,9106,12680,,,,-297.0,,6247,
2015-08-11,2,2015,,,-6756,-9905,1319,,-15831,,-10025,-0.55,,-15831.0,965,,,84155,2015年第2季,,-38827,-54658,,-38827,-54658,-23891,-13971,1830174,1925063,94889,94889,118780,10843,,,,0.0,23782,-38827,-37862,,,,-950.0,,5385,
2015-11-10,3,2015,,,-23984,38731,5468,,21845,,42951,0.77,0.0,21845.0,4514,,,103421,2015年第3季,0.0,54668,76513,,54668,76513,21573,37609,2373621,2545059,171438,171438,149865,10373,,,,0.77,36071,54668,59182,,,,-2878.0,,6590,
2016-03-25,4,2015,,-1035.0,25812,27875,21056,16746.0,42233,1191.0,24763,0.99,,43268.0,27008,,,368377,2015年度,,69421,111654,,69421,111654,73278,23151,8381328,8981222,599894,599894,526616,42506,-1035.0,,510.0,0.98,115733,69421,96429,2609.0,0.0,,7307.0,,25780,
2016-05-11,1,2016,,,-2013,-13154,1362,,-12906,,-13416,0.27,,-12906.0,4591,,,93449,2016年01月01日至2016年03月31日,,19041,6135,,19041,6135,43700,-20068,2250249,2423613,173364,173364,129664,9194,,,,0.27,27021,19041,23632,,,,-2523.0,,8276,
2016-08-10,2,2016,,,-59239,1840,7491,,-50384,,2105,0.02,,-50384.0,3741,,,103976,2016年第2季,,1273,-49111,,1273,-49111,4324,690,2322012,2470101,148089,148089,143765,10689,,,,0.02,29100,1273,5014,,,,-6750.0,,8641,
2016-11-10,3,2016,0.0,0.0,90,-24053,15898,,-15453,,-18713,0.09,,-15453.0,1621,0.0,0.0,105367,2016年第3季,,6057,-9396,0.0,6057,-9396,24925,-17247,3371188,3552259,181071,181071,156146,9114,0.0,,,0.08,41665,6057,7678,,0.0,,-3170.0,0.0,9092,0.0
