date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位稅後損益,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,,6900,1038,5533,25269,18369,0.16,,,11620,,2013年01月01日至2013年03月31日,39294,64563,37312,61348,49552,1362,1894291,1982941,88650,88650,39098,,,0.16,,39294,50914,,,,5209,1982,3215
2013-08-12,2,2013,,,,-6400,9491,5813,4342,10742,-0.99,,,4911,,2013年04月01日至2013年06月30日,-225250,-220908,-227062,-223659,-229790,9451,2612250,2422551,-189699,-189699,40091,,,-0.99,,-225250,-220339,,,,5853,1812,2751
2013-11-12,3,2013,,,,0,5656,4721,-6770,-6770,0.25,,,4551,,2013年07月01日至2013年09月30日,71211,64441,69840,63416,72256,3506,2527753,2632012,104259,104259,32003,,,0.25,,71211,75762,,,,6871,1371,1025
2014-03-27,4,2013,,,,4400,57369,23385,44965,33200,-0.15,,,17135,,2013年01月01日至2013年12月31日,-28122,16843,-34654,7580,-66307,55320,10075544,10184253,108709,108709,175016,,7365.0,-0.15,,-28122,-10987,,0.0,,25434,6532,9263
2014-05-12,1,2014,,,,-7200,10274,5650,-9869,-2669,0.34,,,17597,,2014年01月01日至2014年03月31日,78367,68498,77879,68788,87323,8641,2570862,2707973,137111,137111,49788,,,0.34,,78367,95964,,0.0,,7283,488,-290
2014-08-11,2,2014,,,,-2700,2891,6392,-15070,-12370,0.14,,,4875,,2014年第2季,33080,18010,32281,17983,34782,3173,2690637,2772341,81704,81704,46922,,,0.14,,33080,37955,,,,6110,799,27
2014-11-10,3,2014,,,,-1600,-409,5023,15693,17293,0.27,,,12010,,2014年第3季,62298,77991,61501,75891,76240,-1932,2576362,2697658,121296,121296,45056,,,0.27,,62298,74308,,0.0,,6546,797,2100
2015-03-25,4,2014,,,,-15200,30418,24252,1250,24802,0.65,,,29425,,2014年度,149117,150367,146115,146302,151329,27213,11435169,11772857,337688,337688,186359,,-13410.0,0.64,,149117,178542,,-5058.0,,27457,3002,4065
2015-05-12,1,2015,,,,8400,5206,5786,1509,-6891,0.39,,1509.0,19927,,2015年01月01日至2015年03月31日,88232,89741,87258,89188,104829,3330,2729036,2897225,168189,168189,63360,,,0.38,,88232,108159,,,0.0,7662,974,553
2015-08-11,2,2015,,,,-1500,-4734,6506,-11786,-10286,0.1,,-11786.0,14427,,2015年第2季,23128,11342,22380,11284,42399,-4844,2057079,2146021,88942,88942,46543,,,0.1,,23128,37555,,,,6616,748,58
2015-11-11,3,2015,,,,-5800,-1313,5056,24106,29906,0.09,,24106,-6376,-412,2015年第3季,21090,45196,20598,43257,17107,-2393,1412028,1468500,56472,56472,39365,,,0.09,,21090,14714,,,0,5724,492,1939
2016-03-18,4,2015,25567.0,,,2320,11708,23998,13797,-14090,0.54,,-11770.0,25207,2166.0,2015年度,124915,138712,122214,138323,142335,7787,8022402,8367497,345095,345095,202760,30803.0,,0.54,,124915,150122,5236.0,,0.0,30085,2701,389
2016-05-10,1,2016,,,,22360,-3336,5613,19192,-3168,0.12,,19192.0,-22519,8496.0,2016年01月01日至2016年03月31日,25592,44784,27266,46283,6263,-3190,1109000,1172551,63551,63551,57288,,,0.12,,25592,3073,,,0.0,13963,-1674,-1499
2016-08-10,2,2016,,-823.0,-823.0,-3280,-149,5445,-21853,-18573,-0.02,-0.02,-21853.0,8154,8332.0,2016年第2季,-4719,-26572,-4637,-24563,3567,691,1138762,1180412,41650,41650,38083,,,-0.02,-0.02,-3896,4258,,,0.0,12937,-82,-2009
2016-11-10,3,2016,,202044.0,202044.0,22320,5284,7079,-58357,-80677,0.61,,-58357.0,-13861,8080.0,2016年第3季,137162,78805,137162,78805,-81599,2856,1546764,1513530,-33234,-33234,48365,,,0.6,,-64882,-78743,,,0.0,17587,0,0
