date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,914,3451,8693,882,-32,1.34,,40432,3953,219231,2013年01月01日至2013年03月31日,163519,164401,160321,160390,191337,12614,447900,1056746,608846,608846,417509,97060,,,1.32,101218,163519,203951,,0.0,,3483,27495.0,1104853.0,1056746.0,20612.0,3198,4011
2013-08-14,2,2013,,45,3405,8667,9309,9264,1.6,,35960,0,227379,2013年04月01日至2013年06月30日,195957,205266,191669,200669,223751,8166,488163,1151596,663433,663433,439682,91074,,,1.57,121229,195957,231917,,,,3906,,,,,4288,4597
2013-11-05,3,2013,,-91,1963,128,2526,2617,1.58,,45427,3697,216913,2013年07月01日至2013年09月30日,190886,193412,188918,191092,234089,2224,474140,1140547,666407,666407,432318,92427,,,1.56,122978,190886,236313,,0.0,,3564,,,,,1968,2320
2014-03-18,4,2013,,914,-28986,66911,13178,21915,6.2,,183227,15477,908746,2013年01月01日至2013年12月31日,756205,769383,741273,752102,900529,38903,1919202,4571012,2651810,2651810,1751281,386893,,-11550.0,6.08,455642,756205,939432,,-1899.0,,14499,,,,,14932,17281
2014-05-06,1,2014,,140,10014,3408,13511,13371,1.43,,53603,4664,235114,2014年01月01日至2014年03月31日,172955,186466,170748,184033,212340,14218,465811,1128938,663127,663127,450787,100660,,,1.41,115013,172955,226558,,0.0,,3868,,,1128938.0,,2207,2433
2014-08-05,2,2014,,868,2093,15104,-11657,-12525,1.56,,80391,5642,243740,2014年第2季,189932,178275,185849,174241,251597,18726,488745,1191294,702549,702549,450952,94183,,,1.53,113029,189932,270323,,0.0,,4113,,,,,4083,4034
2014-11-11,3,2014,,76,544,4651,-10417,-10493,1.74,,79812,7440,246254,2014年第3季,212733,202316,207391,196745,283779,8766,504962,1257424,752462,752462,468683,100143,,,1.72,122286,212733,292545,,0.0,,3869,,,,,5342,5571
2015-03-17,4,2014,,1159,-13642,43831,5872,8282,6.37,,276158,24916,989198,2014年度,776632,782504,760474,764474,1012933,39857,2020095,4897935,2877840,2877840,1864907,389545,,-4317.0,6.24,486164,776632,1052790,,-748.0,,15248,,,,,16158,18030
2015-05-12,1,2015,,-20,-10624,4543,-41382,-41362,1.63,-41382.0,56273,7014,241895,2015年01月01日至2015年03月31日,197947,156565,194375,154013,255965,-1745,454355,1176812,722457,722457,466492,102347,,,1.6,122250,197947,254220,,,0.0,2678,,,1176812.0,,3572,2552
2015-08-11,2,2015,,238,3181,3695,1250,1012,1.14,1250.0,43086,5541,251922,2015年第2季,139654,140904,136153,138054,173048,9692,508794,1176144,667350,667350,494302,92530,,,1.12,149850,139654,182740,,,0.0,2725,,,,,3501,2850
2015-11-10,3,2015,,-1164,14700,6142,46259,47423,1.62,46259.0,54656,10383,249587,2015年第3季,197421,243680,193516,238295,223894,28183,523894,1232499,708605,708605,484711,94828,,,1.6,140296,197421,252077,,,0.0,3042,,,,,3905,5385
2016-03-15,4,2015,-19702.0,-1026,9653,19147,-29823,-9095,5.9,-10121.0,212165,30052,1002416,2015年度,719337,689514,704711,676109,883929,47573,2037708,4887879,2850171,2850171,1966242,383868,-23487.0,,5.77,579958,719337,931502,-3785.0,,0.0,11279,,,,,14626,13405
2016-05-10,1,2016,,108,8496,3725,-8982,-9090,1.83,-8982.0,67765,7822,249745,2016年01月01日至2016年03月31日,219479,210497,218474,208313,270160,17084,462286,1228531,766245,766245,496085,106128,,,1.8,140212,219479,287244,,,0.0,2959,,,1228531.0,,1005,2184
2016-08-09,2,2016,,76,4055,3459,-12182,-12258,1.4,-12182.0,39885,8586,262840,2016年第2季,167541,155359,167413,156108,194361,13065,496595,1189871,693276,693276,498915,96027,,,1.39,140048,167541,207426,,,0.0,3035,,,,,128,-749
2016-11-09,3,2016,,282,7104,5996,-26377,-26659,1.82,-26377.0,60371,9719,262974,2016年第3季,219802,193425,218001,193892,260507,19666,511571,1277824,766253,766253,505746,99242,,,1.8,143530,219802,280173,,,,3153,,,,,1801,-467
