date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,275,20011,20164,11898,11623,0.44,0.44,,12111,2019,2013年01月01日至2013年03月31日,145353,157251,156591,168489,122521,34943,947472,1206213,258741,258741,136220,35142,,,0.43,0.43,99059,145353,157464,,5232,-11238,-11238
2013-08-12,2,2013,,-550,3647,29977,6129,6679,0.72,0.72,,53154,1722,2013年04月01日至2013年06月30日,247962,254091,258906,265035,272288,28828,965274,1366771,401497,401497,129209,37925,,,0.71,0.71,89562,247962,301116,,4796,-10944,-10944
2013-11-12,3,2013,,-1100,-14377,22439,-5423,-4323,0.74,0.74,,55890,1335,2013年07月01日至2013年09月30日,262844,257421,267885,262462,317841,893,937706,1393901,456195,456195,138354,44715,,,0.74,0.74,92304,262844,318734,,7169,-5041,-5041
2014-03-18,4,2013,,-275,-4327,99634,27147,25506,2.44,2.44,,151058,9334,2013年01月01日至2013年12月31日,838596,865743,877909,899635,919770,69884,3766408,5239226,1472818,1472818,553048,161756,,1916.0,2.41,2.41,381958,838596,989654,0.0,25423,-39313,-33892
2014-05-09,1,2014,,3160,21395,17208,1943,-1217,0.65,0.65,,46711,1097,2014年01月01日至2014年03月31日,234871,236814,235124,237067,249957,31625,840665,1226660,385995,385995,136038,39231,,,0.64,0.64,95710,234871,281582,,6978,-253,-253
2014-08-07,2,2014,,21843,35123,13256,15932,-5911,0.83,0.83,,96323,1126,2014年第2季,289728,305660,302017,317949,344886,41165,873220,1349150,475930,475930,131044,39803,,,0.83,0.83,90115,289728,386051,,7214,-12289,-12289
2014-10-31,3,2014,,-11883,-785,14228,-5012,6871,0.81,0.81,,45965,542,2014年第3季,285062,280050,293305,288293,324954,6073,888289,1371441,483152,483152,158198,41082,,,0.8,0.8,116574,285062,331027,,7370,-8243,-8243
2015-03-10,4,2014,,15936,57098,64474,-942,9315,2.9,2.9,,218651,3530,2014年度,1021697,1020755,1054116,1051241,1147289,93059,3522299,5228447,1706148,1706148,558859,165425,,-26193.0,2.87,2.87,389904,1021697,1240348,,28513,-32419,-30486
2015-05-07,1,2015,,3023,-3479,18604,258,-2765,0.43,0.43,258.0,31450,14002,2015年01月01日至2015年03月31日,152071,152329,156356,157146,174511,9010,848547,1154533,305986,305986,131475,45039,,,0.43,0.43,72434,152071,183521,,6115,-4285,-4817
2015-08-12,2,2015,,-8380,-10917,21571,-10982,-2602,0.61,0.61,-10982.0,51853,13867,2015年第2季,216647,205665,220881,209367,263527,4973,930314,1301831,371517,371517,107990,43802,,,0.61,0.61,50321,216647,268500,,5681,-4234,-3702
2015-11-05,3,2015,,-8638,22683,21189,-1111,7527,0.59,0.59,-1111.0,47140,13970,2015年第3季,212063,210952,213021,211910,221604,37599,952757,1316979,364222,364222,142618,46838,,,0.58,0.58,81810,212063,259203,,6273,-958,-958
2016-03-03,4,2015,767.0,-11127,36343,71216,-15417,-5057,2.11,2.11,-16184.0,161156,59054,2015年度,751150,735733,760674,746248,829851,82455,3703235,5054517,1351282,1351282,521431,191635,767.0,,2.08,2.08,270742,751150,912306,,25104,-9524,-10515
2016-05-06,1,2016,,892,-17251,10878,-794,-1686,0.34,0.34,-794.0,31140,15624,2016年01月01日至2016年03月31日,123236,122442,120518,120651,168629,-14253,942101,1240338,298237,298237,129608,47854,,,0.33,0.33,66130,123236,154376,,7880,2718,1791
2016-08-09,2,2016,0.0,-2266,9449,11233,-6781,-4515,0.53,0.53,-6781.0,53178,21342,2016年第2季,195705,188924,188430,181978,240036,8847,1017538,1403796,386258,386258,146222,50208,0.0,,0.52,0.52,74672,195705,248883,,11835,7275,6946
2016-11-08,3,2016,0.0,-1735,-12610,9057,-5595,-3860,0.7,0.7,-5595.0,64103,21564,2016年第3季,261418,255823,251765,247473,341809,-16288,1091498,1589417,497919,497919,156110,55559,0.0,,0.7,0.7,78987,261418,325521,,12735,9653,8350
