date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,,-66834,174854,21724,21724.0,51758,122055,0.73,0.73,,38796,-3463.0,7294,,143860,2013年01月01日至2013年03月31日,223828,275586,223828,275586,72252,190372,4571076,5195439,624363,624363,552111,292657,,,0.64,0.64,115594,223828,262624,13500,0.0,0.0
2013-08-06,2,2013,,,16998,27874,136971,,102302,80178,0.47,,,67849,5126.0,7731,,131700,2013年04月01日至2013年06月30日,145385,247687,145385,247687,55193,158041,5175137,5812001,636864,636864,581671,317730,,,0.4,,132241,145385,213234,14535,,
2013-11-07,3,2013,,,48750,-87774,79789,,6564,-41893,0.12,,,42575,-293.0,-8790,,107336,2013年07月01日至2013年09月30日,37329,43893,37329,43893,110330,-30426,4068384,4682347,613963,613963,503633,310821,,,0.12,,85476,37329,79904,13651,,
2014-03-20,4,2013,,,29249,174912,319616,,263040,231182,1.48,,,175551,3759.0,20296,,489999,2013年01月01日至2013年12月31日,455685,718725,455685,718725,174211,457025,17606764,19929320,2322556,2322556,2148345,1223815,,-1150.0,1.27,,434531,455685,631236,57799,,
2014-05-06,1,2014,,0.0,9781,79893,60490,60490.0,66226,62597,0.16,0.16,,18768,-6152.0,7934,,132753,2014年01月01日至2014年03月31日,49378,115604,49378,115604,-63673,131819,3190472,3614659,424187,424187,487860,256171,,,0.15,0.15,98936,49378,68146,16498,,
2014-11-03,3,2014,,765.0,-40213,-7775,104841,,47237,86991,0.01,0.01,,13965,459.0,8002,,127137,2014年第3季,3414,50651,3414,50651,-71277,87891,4826280,5273249,446969,446969,518246,284855,,,0.01,0.01,106254,2649,16614,17177,,
2015-03-20,4,2014,,,-2548,86645,314011,,281194,277483,0.23,,,79397,6532.0,18479,,548416,2014年度,71644,352838,71644,352838,-202305,353346,15833860,17684261,1850401,1850401,2052706,1082014,,-273.0,0.23,,422276,71644,151041,65789,,
2015-05-05,1,2015,,0.0,-10081,11306,40042,40042.0,-92693,-74291,0.17,0.17,-92693.0,6915,,7438,-8321.0,118889,2015年01月01日至2015年03月31日,50240,-42453,50240,-42453,15629,41526,3906675,4443740,537065,537065,521436,279192,,,0.15,0.15,123355,50240,57155,17260,,
2015-08-06,2,2015,,,-21001,-88814,35750,35750.0,-99538,-48682,0.04,0.04,-99538.0,7931,,29217,-29855.0,120246,2015年第2季,11114,-88424,11114,-88424,61013,-41968,4193605,4772131,578526,578526,517513,287003,,,0.04,0.04,110264,11114,19045,18121,,
2015-11-06,3,2015,,,-3172,127358,65168,65168.0,135367,137906,0.5,0.5,135367.0,27802,,-7272,633.0,112964,2015年第3季,149162,284529,149162,284529,3764,173200,3920742,4429294,508552,508552,504788,278472,,,0.41,0.41,113352,149162,176964,12054,,
2016-03-18,4,2015,-822.0,,-22943,-5465,186812,,-118160,-84570,0.69,0.69,-117338.0,44916,,22936,-9825.0,455231,2015年度,206665,88505,206665,88505,111398,140183,15397180,17529601,2132421,2132421,2021023,1116477,-822.0,,0.62,0.62,449315,206665,251581,64100,,
2016-08-08,2,2016,,,2873,91036,31455,31455.0,-90549,-100230,0.54,0.54,-90549.0,32506,,13008,6808.0,117080,2016年第2季,161726,71177,161726,71177,72808,121424,3413708,3981125,567417,567417,494609,266414,,,0.41,0.41,111115,161726,194232,14075,,
2016-11-10,3,2016,,,-5284,54040,57928,57928.0,-250564,-178266,0.7,0.7,-250564.0,33580,,-15499,-67014.0,102373,2016年第3季,209406,-41158,209406,-41158,155413,87573,3183915,3830199,646284,646284,490871,281998,,,0.58,0.58,106500,209406,242986,8896,,
