date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-25,1,2013,,-1310,-916100,276913,1457198,1634726,-0.36,,114251,,57096.0,75661,,1415684,2013年01月01日至2013年03月31日,-3319641,-1862443,-3173479,-1959160,-1361394,-1843996,89695942,94244179,4548237,4548237,5909631,14908.0,,2124086,,,0.0,2369861,-3319641,-3205390,,248222.0,,1280470,89695942,89695942,1059699,95303878,95303878,94244179,-146162,96717
2013-08-14,2,2013,,79040,-488690,408827,938987,913877,0.42,,163698,,71000.0,259187,,1685499,2013年04月01日至2013年06月30日,3981530,4920517,3923512,4717298,5205081,-1059853,100820275,112334834,11514559,11514559,6309478,11340.0,,2196283,,,0.42,2427696,3981530,4145228,,136270.0,,1239177,100820275,100820275,237174,112572008,112572008,112334834,58018,203219
2013-11-07,3,2013,,5090,-313378,793865,-567165,-659136,0.26,,240489,,-25908.0,81339,,2206831,2013年07月01日至2013年09月30日,2509868,1942703,2489866,2015280,3373699,-623342,96815191,107080772,10265581,10265581,6891882,12077.0,,2224990,,,0.26,2460061,2509868,2750357,,-100712.0,,1185168,96815191,96815191,1372865,108453637,108453637,107080772,20002,-72577
2014-03-11,4,2013,,199425,-1176393,2448464,2609977,3003129,0.45,,982930,,-134551.0,454268,,7470014,2013年01月01日至2013年12月31日,4253098,6863075,4180376,6355154,8292521,-3056493,382378938,416363005,33984067,33984067,25691546,41485.0,,8530461,,-35283.0,0.44,9691071,4253098,5236028,,464228.0,,4782832,382378938,382378938,3457574,419820579,419820579,416363005,72722,507921
2014-05-12,1,2014,,94335,205730,360729,-65154,-258263,0.03,,133386,,49502.0,82522,,2027068,2014年01月01日至2014年03月31日,165971,100817,259456,254392,657909,-358552,86907265,93801648,6894383,6894383,6236474,8124.0,,1971394,,,0.03,2238012,165971,299357,,-41148.0,,1007533,86907265,86907265,272595,94074243,94074243,93801648,-93485,-153575
2014-08-13,2,2014,,70474,919100,589649,-912333,-1028935,0.42,,156032,,-121798.0,144676,,2155251,2014年第2季,4023711,3111378,4032540,3257280,3906892,272851,91426027,102042059,10616032,10616032,6709140,209.0,,2252302,,,0.42,2301587,4023711,4179743,,-167717.0,,1380574,91426027,91426027,536580,102578639,102578639,102042059,-8829,-145902
2014-11-14,3,2014,,-394755,-923532,475534,1000859,1477963,0.76,,268060,,139096.0,116135,,1846832,2014年第3季,7300102,8300961,7332210,8113645,8777394,-1209232,91507005,106886497,15379492,15379492,6602098,7719.0,,2438233,,,0.76,2317033,7300102,7568162,,229164.0,,877369,91507005,91507005,251624,107138121,107138121,106886497,-32108,187316
2015-02-12,4,2014,,-224646,-801803,2162107,1877589,2309610,1.83,,1915750,,120545.0,499865,,7798965,2014年度,18064709,19942298,17628468,19087448,22165423,-2184964,359668105,408178750,48510645,48510645,26345222,9968.0,,9156656,,47827.0,1.82,9389601,18064709,19980459,,385715.0,,4045133,359668105,359668105,1731569,409910319,409910319,408178750,436241,854850
2015-05-11,1,2015,-2875.0,985,-2928709,431350,-853797,-1291356,0.54,-850922.0,501717,-2875.0,,177085,268172.0,1018139,2015年01月01日至2015年03月31日,5272116,4418319,5155660,4466196,8952387,-3178554,80954204,95301935,14347731,14347731,5395344,,-1027.0,2276426,,,0.51,2100779,5272116,5773833,0.0,,-172304.0,858280,80954204,80954204,353204,95655139,95655139,95301935,116456,-47877
2015-08-10,2,2015,0.0,-317314,-271643,461135,-1127786,-628093,0.47,-1127786.0,1515996,0.0,,113186,-288191.0,953022,2015年第2季,4430574,3302788,4494939,3554596,6346110,-399540,80450770,92303480,11852710,11852710,5506600,,761.0,2341926,,,0.45,2211652,4430574,5946570,,,-105051.0,702218,80450770,80450770,304026,92607506,92607506,92303480,-64365,-251808
2015-11-13,3,2015,3.0,-365490,192329,653502,2565998,3140742,0.36,2565995.0,529263,3.0,,142687,381526.0,1164599,2015年第3季,3379426,5945424,3463006,5863855,3393493,515196,80150931,89298990,9148059,9148059,5754566,,-3260.0,2246642,,,0.34,2343325,3379426,3908689,,,587523.0,473322,80150931,80150931,1040343,90339333,90339333,89298990,-83580,81569
2016-01-29,4,2015,-227802.0,-521173,-9978320,2197593,-768225,-294749,0.51,-540423.0,2755968,-2381.0,,449452,324928.0,4206101,2015年度,4842882,4074657,4931960,4838950,17521148,-9922298,320509439,360346494,39837055,39837055,22315907,,-3646.0,8903819,-251401.0,,0.46,9205987,4842882,7598850,-25980.0,,45783.0,2591023,320509439,320509439,3137657,363484151,363484151,360346494,-89078,-764293
2016-05-09,1,2016,0.0,-104658,-291105,528310,-1553960,-1406198,-0.57,-1553960.0,295396,0.0,,112805,-316684.0,1002936,2016年01月01日至2016年03月31日,-5580424,-7134384,-5477326,-6599544,-5096918,-188110,70745712,71135232,389520,389520,5486438,,545.0,2209027,,,-0.57,2274475,-5580424,-5285028,0.0,,-273035.0,538120,70745712,70745712,273469,71408701,71408701,71135232,-103098,-534840
2016-08-05,2,2016,238.0,185131,-341135,500176,-1489315,-1992396,-0.06,-1489553.0,563416,238.0,,47189,-22950.0,996454,2016年第2季,-803574,-2292889,-572407,-1421125,115691,-355849,74526564,80090903,5564339,5564339,5448648,,1748.0,2184965,,,-0.06,2267229,-803574,-240158,0.0,,-338914.0,562079,74526564,74526564,270527,80361430,80361430,80090903,-231167,-871764
2016-11-11,3,2016,6.0,355798,-285197,581671,-2250832,-2749612,0.51,-2250838.0,804072,6.0,,62358,-299164.0,914448,2016年第3季,4615612,2364780,4898015,3206588,5759264,-339580,74709360,86017319,11307959,11307959,5548695,,3009.0,2225308,,,0.51,2408939,4615612,5419684,0.0,,-439131.0,698412,74709360,74709360,122898,86140217,86140217,86017319,-282403,-841808
