date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,其他費用,利息費用,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),採用權益法認列關聯企業及合資國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),現金流量避險無效而認列於損益之損失,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,,,4839,10102,61794,,,,,61794,0.44,0.44,,7870,,,,,,,,63032,2013年01月01日至2013年03月31日,50493,112287,44077,100214,49694,8669,736090,904775,168685,168685,118991,,,,1120,,,679.0,4841.0,0.44,0.44,54839,50493,58363,,,,,6272,,735411.0,,,899934.0,6416,12073
2013-08-13,2,2013,,,,,10380,1876,8853,,,,,8853,0.49,0.49,,16460,,,,,,,,29408,2013年04月01日至2013年06月30日,54712,63565,49294,61970,65763,5409,855297,1047579,192282,192282,126519,,,,477,,,838.0,4977.0,0.49,0.49,96634,54712,71172,,,,,6847,,854459.0,,,1042602.0,5418,1595
2013-11-13,3,2013,,,,,-1610,9761,-19444,,,,,-19444,0.11,0.11,,8120,,,,,,,,59172,2013年07月01日至2013年09月30日,16902,-2542,11561,-5979,24298,724,787423,947240,159817,159817,135519,,,8120.0,662,,,,,0.11,0.11,75685,16902,25022,,,,,7427,787423.0,787423.0,947240.0,947240.0,947240.0,5341,3437
2014-03-28,4,2013,,,,,20553,28994,60954,,,,,81289,1.05,1.05,,47106,,,,,,,,210061,2013年01月01日至2013年12月31日,126653,187607,105467,169374,154003,19756,3282994,3958623,675629,675629,521626,,,,2521,,-7203.0,,,1.04,1.04,309044,126653,173759,,13132.0,,,29791,3282994.0,3282994.0,,,3958623.0,21186,18233
2014-05-13,1,2014,,,,,6106,4362,27536,,,,,32690,0.46,,,19288,,,,,,,,56500,2014年01月01日至2014年03月31日,52647,80183,46168,71332,67318,4617,810397,1010776,200379,200379,133061,,,,336,,,,,,,76225,52647,71935,,5154.0,,,5851,,,,,,6479,8851
2014-08-12,2,2014,,,,0.0,-12599,5997,-34002,0.0,,,,-40690,0.36,0.36,,33334,,,,,,,,63083,2014年第2季,41531,7529,36896,4241,90298,-15433,905941,1155528,249587,249587,159289,,8831.0,,467,,,,,0.34,0.34,95739,41531,74865,,-6688.0,,,8831,,,,,,4635,3288
2014-11-11,3,2014,,,,,9044,6422,32205,,,,,38489,0.18,0.18,,16654,,,,,,,,61453,2014年第3季,24206,56411,19224,49907,34065,6795,837575,1013291,175716,175716,141651,,8671.0,,1683,,,,,0.18,0.18,78515,24206,40860,,6284.0,,,8671,,,,,,4982,6504
2015-03-26,4,2014,,,,,26674,42292,97672,,30716.0,,,118551,1.12,1.12,,75813,,,,,,,,249016,2014年度,136220,233892,115525,208895,173783,38250,3374587,4141170,766583,766583,592800,,0.0,,3911,,-1752.0,,,1.06,1.06,339873,136220,212033,,19127.0,,,30716,3374587.0,3374587.0,,,4141170.0,20695,24997
2015-05-12,1,2015,,,,,-7706,10802,-22925,,5851.0,,,-27639,0.4,0.4,-22925.0,21271,,,,,,,,64651,2015年01月01日至2015年03月31日,49156,26231,42542,19526,73182,-2755,698562,931870,233308,233308,160126,,,,2465,,,,,0.38,0.38,93010,49156,70427,,,-4714.0,,5851,,,,,,6614,6705
2015-08-12,2,2015,,,,0.0,-7383,6854,-25310,0.0,8045.0,,,-29611,0.37,0.37,-25310.0,32711,,,,,,,,85560,2015年第2季,41187,15877,39410,18411,82472,-8574,832909,1094256,261347,261347,178875,,0.0,,3420,,,,,0.35,0.35,89895,41187,73898,,,-4301.0,,8045,,,,,,1777,-2534
2015-11-11,3,2015,,,,,21350,9065,55928,,6946.0,,,67581,0.16,0.16,55928.0,27166,,,,,,,,72846,2015年第3季,18321,74249,17709,74603,22018,23469,762393,955075,192682,192682,170664,,0.0,,2864,,,,,0.16,0.16,94954,18321,45487,,,11653.0,,6946,,,,,,612,-354
2016-03-25,4,2015,,-5267.0,,,-15570,37567,-24790,,25215.0,,,-22569,0.62,0.62,-19523.0,79788,,,,,,,,285112,2015年度,76806,52016,66396,46545,159812,-3218,2988390,3856997,868607,868607,708795,,0.0,,39235,-6346.0,,,,0.61,0.61,384448,76806,156594,-1079.0,,-3046.0,,25215,,,,,,10410,5471
2016-05-11,1,2016,,,,,-6046,8941,-26579,,5383.0,,,-32091,0.36,0.36,-26579.0,19393,,,,,,,,74777,2016年01月01日至2016年03月31日,41195,14616,39352,12440,63076,-2488,679371,914128,234757,234757,171681,,,,11282,,,,,0.35,0.35,85622,41195,60588,,,-5512.0,,5383,,,,,,1843,2176
2016-08-11,2,2016,0.0,0.0,0.0,0.0,-15725,6968,-25148,,2241.0,0.0,0.0,-30376,0.41,0.41,-25148.0,26459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76878,2016年第2季,45833,20685,44777,19254,83290,-10998,714628,979487,264859,264859,181569,0.0,,,13914,,,,,0.4,0.4,90777,45833,72292,0.0,,-5228.0,0.0,2241,,,,,,1056,1431
2016-11-10,3,2016,,,,,-21431,4393,-56625,,3647.0,,,-67987,0.02,0.02,-56625.0,8740,,,,,,,,67518,2016年第3季,5970,-50655,2210,-53264,35395,-20685,604840,794464,189624,189624,154229,,0.0,,15182,,,,,0.02,0.02,71529,5970,14710,,,-11362.0,,3647,,,,,,3760,2609
