date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-01-21,4,2013,,,-41409,-37714,53622,-7438,-37789,5111,4.39,,,161999,,-3934,21285,,,1389070,2013年01月01日至2013年12月31日,518165,480376,561668,523032,657785,22379,18449893,21278277,2828384,2828384,2163161,,2943,4.39,,774091,518165,680164,,500,,14814,-43503,-42656
2014-07-25,2,2014,,-78329,10732,-5013,31961,1042,38768,-4967,3.73,4.34,,141175,,33003,9631,,,455625,2014年上半年度,463599,502367,477268,516176,651919,31184,9765235,11280197,1514962,1514962,864085,,,3.73,4.34,408460,541928,683103,,0,,5395,-13669,-13809
2014-10-27,3,2014,,0,-28594,452,25496,101,-23365,4786,2.88,2.88,,88777,,443,2125,,,250465,2014年第3季,361038,337673,367737,344094,425287,24528,5365962,6282622,916660,916660,491474,,,2.88,2.88,241009,361038,449815,,0,,3545,-6699,-6421
2015-01-27,4,2014,,-78329,-42857,-4567,72776,2442,21447,12161,9.11,9.72,,298556,,53513,24167,,,985224,2014年度,1132865,1154312,1170042,1188882,1427415,82335,20592348,23897005,3304657,3304657,1879684,,-1651,9.11,9.72,894460,1211194,1509750,,-281,,10041,-37177,-34570
2015-04-27,1,2015,,0,-7376,-2285,22402,29,-29452,-4098,1.93,1.93,-29452,62721,,,5470,-17978,,244287,2015年01月01日至2015年03月31日,257726,228274,274346,245816,294872,25575,5484015,6259652,775637,775637,480794,,,1.93,1.93,236507,257726,320447,,,0,12,-16620,-17542
2015-07-28,2,2015,,0,-12979,5321,24632,-1243,-23511,-7771,1.89,1.89,-23511,62601,,,15137,-2761,,253885,2015年第2季,253053,229542,268862,246026,270571,45083,5436924,6198935,762011,762011,490197,,,1.89,1.89,236312,253053,315654,,,,7,-15809,-16484
2015-10-26,3,2015,,0,-48779,15700,22817,4,-63415,2507,1.83,1.83,-63415,59749,,,18765,-17143,,261510,2015年第3季,241761,178346,259169,194564,244232,57278,5581328,6328337,747009,747009,502781,,,1.83,1.83,241271,241761,301510,,,,4,-17408,-16218
2016-01-27,4,2015,-2104,0,-101848,2382,107000,-1628,-154807,-11110,7.48,7.48,-152703,242970,-1274,,68147,-39745,-1274,1059398,2015年度,993089,838282,1060781,907126,1058769,177290,22536236,25639898,3103662,3103662,2043265,-1000,,7.48,7.48,983867,993089,1236059,-170,,,239,-67692,-68844
2016-04-19,1,2016,,,-9803,-744,16275,-1036,-8426,853,2.45,2.45,-8426,72228,,,25434,524,,258048,2016年01月01日至2016年03月31日,336520,328094,343501,334975,368649,40099,6105127,7006276,901149,901149,531464,,,2.45,2.45,273416,336520,408748,,,,866,-6981,-6881
2016-07-22,2,2016,,,14217,598,16723,903,-6123,-103,2.12,2.12,-6123,58382,,,15158,-20237,,239701,2016年第2季,293317,287194,296851,290861,320160,31539,5872009,6688891,816882,816882,497625,,,2.12,2.12,257924,293317,351699,,,,940,-3534,-3667
2016-10-27,3,2016,,,-378,-185,16829,298,-26565,-45494,1.81,1.81,-26565,53099,,,16784,19307,,227608,2016年第3季,249494,222929,252637,226200,270007,32586,6002801,6764922,762121,762121,492412,,,1.81,1.81,264804,249494,302593,,,,842,-3143,-3271
