date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,1238.0,110766,13040,29199,27629,0.57,0.57,,34440,-634,68629,2013年01月01日至2013年03月31日,175497,204696,181039,210238,87786,122151,1319831,1602771,282940,282940,195154,67441,,,0.56,0.56,59084,175497,209937,,-332.0,1021,-5542,-5542
2013-08-12,2,2013,,-93.0,25786,15429,13150,13228,0.72,0.72,,15933,-544,80153,2013年04月01日至2013年06月30日,224993,238143,229760,242910,201294,39632,1737828,2163300,425472,425472,224178,72501,,,0.72,0.72,71524,224993,240926,,-15.0,1039,-4767,-4767
2013-11-12,3,2013,,-896.0,-41558,22464,-9294,-8398,0.52,0.52,,62329,-11,82772,2013年07月01日至2013年09月30日,160451,151157,165388,156094,243049,-20269,1950571,2408561,457990,457990,214941,66824,,,0.52,0.52,65345,160451,222780,,0.0,1164,-4937,-4937
2014-03-18,4,2013,,65.0,163806,65520,46007,45906,2.44,2.44,,150149,-2321,332286,2013年01月01日至2013年12月31日,745856,791863,773690,819659,673391,222614,6782366,8373594,1591228,1591228,917837,276988,,-611.0,2.42,2.42,308563,745856,896005,,-647.0,4391,-27834,-27796
2014-05-12,1,2014,,0.0,112305,22538,-2829,-2829,0.58,0.58,,32822,0,94648,2014年01月01日至2014年03月31日,177354,174525,184241,181412,76582,133594,1468974,1795247,326273,326273,249691,70838,,,0.57,0.57,84205,177354,210176,,0.0,1249,-6887,-6887
2014-08-12,2,2014,,0.0,-70586,28695,-13672,-13672,0.1,0.1,,16764,0,89686,2014年第2季,21332,7660,33030,19358,80998,-42902,1379839,1653919,274080,274080,193082,71978,,,0.1,0.1,31418,21332,38096,,0.0,1011,-11698,-11698
2014-11-12,3,2014,,0.0,90138,17389,18615,18615,0.55,0.55,,33266,0,88950,2014年第3季,163083,181698,173147,191762,89507,106842,1597063,1943767,346704,346704,257197,74694,,,0.54,0.54,93553,163083,196349,,0.0,685,-10064,-10064
2015-03-20,4,2014,,0.0,318752,99957,25022,28573,1.91,1.91,,147683,0,355719,2014年度,569746,594768,606052,631101,303667,413762,6420382,7687767,1267385,1267385,963718,299443,,-4267.0,1.89,1.89,308556,569746,717429,,-716.0,4947,-36306,-36333
2015-05-12,1,2015,,,-86747,24655,-8639,-8639,0.25,0.25,-8639.0,14216,0,87397,2015年01月01日至2015年03月31日,74544,65905,79117,70478,151816,-63056,1936573,2298858,362285,362285,210469,73765,,,0.25,0.25,49307,74544,88760,,,964,-4573,-4573
2015-08-12,2,2015,,,-7538,22451,-15579,-15579,0.36,0.36,-15579.0,19313,-2736,93668,2015年第2季,109503,93924,115696,100117,117538,11278,2149671,2505276,355605,355605,238067,75662,,,0.36,0.36,68737,109503,128816,,,899,-6193,-6193
2015-11-12,3,2015,,,255855,28676,38772,38772,1.16,1.16,38772.0,86587,-856,90343,2015年第3季,361640,400412,367735,406507,165357,282870,2395877,2826670,430793,430793,265436,89810,,,1.15,1.15,85283,361640,448227,,,805,-6095,-6095
2016-03-18,4,2015,-8066.0,,147257,118344,-30828,-22762,2.66,2.66,-22762.0,173784,-3957,353289,2015年度,823274,792446,843830,813042,739140,257918,9507216,11256992,1749776,1749776,1010636,320746,-9703.0,,2.63,2.63,336601,823274,997058,-1637.0,,3726,-20556,-20596
2016-05-12,1,2016,,,-112820,20749,-6594,-6594,0.71,0.71,-6594.0,44023,-2882,83476,2016年01月01日至2016年03月31日,220390,213796,224442,217848,359835,-95422,3547219,4143579,596360,596360,236525,80025,,,0.7,0.7,73024,220390,264413,,,469,-4052,-4052
2016-08-10,2,2016,,,-26505,20467,-29954,-29954,0.35,0.35,-29954.0,67913,-4296,84115,2016年第2季,108670,78716,111807,81853,187415,-10832,3224255,3647969,423714,423714,236299,75486,,,0.35,0.35,76698,108670,176583,,,498,-3137,-3137
2016-11-08,3,2016,,,-154811,26930,-38121,-38121,0.17,0.17,-38121.0,20231,-4552,81268,2016年第3季,48898,10777,54403,16282,201743,-132614,2582437,2987363,404926,404926,203183,66888,,,0.17,0.17,55027,48898,69129,,,181,-5505,-5505
