date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,5126,1367,170,170,0.1,,2657,-169,5625,2013年01月01日至2013年03月31日,11089,11259,11661,11831,10200,3546,137522,176565,39043,39043,28843,2657.0,9394,,,0.1,13824,11089,13746,2778,,,,,-572,-572
2013-08-13,2,2013,,3862,1164,172,172,0.19,,5433,-36,6049,2013年04月01日至2013年06月30日,20774,20946,22128,22300,23863,2344,182804,237512,54708,54708,30845,,6649,,,0.19,18147,20774,26207,2646,,,,,-1354,-1354
2013-11-12,3,2013,,-1775,1318,-69,-69,0.38,,10035,-15,7106,2013年07月01日至2013年09月30日,42177,42108,44090,44021,55546,-3334,194275,283777,89502,89502,33956,,6098,,,0.37,20752,42177,52212,2862,,,,,-1913,-1913
2014-03-26,4,2013,,20261,5465,-363,404,0.85,,24755,-482,25396,2013年01月01日至2013年12月31日,93055,92692,99357,98994,103665,14145,738792,967341,228549,228549,124884,,29195,,-767.0,0.84,70293,93055,117810,11099,2969.0,972502.0,967341.0,2192.0,-6302,-6302
2014-05-13,1,2014,,-1365,1090,-21,-21,0.07,,2443,-44,7813,2014年01月01日至2014年03月31日,5446,5425,8020,7999,11193,-3304,232311,280855,48544,48544,37351,,16158,,,0.07,13380,5446,7889,2985,1540.0,284328.0,280855.0,1933.0,-2574,-2574
2014-08-05,2,2014,,-2499,1624,-162,-162,0.35,,9868,74,9169,2014年第2季,38893,38731,41575,41413,52884,-4123,265265,358310,93045,93045,40161,,13842,,,0.35,17150,38893,48761,3322,,,,,-2682,-2682
2014-11-11,3,2014,,16634,860,239,239,0.79,,19923,-49,10409,2014年第3季,89287,89526,92371,92610,94670,14540,272189,411230,139041,139041,44371,,12153,,,0.78,21809,89287,109210,2905,,,,,-3084,-3084
2015-03-24,4,2014,,30932,4711,-486,448,2.03,,53665,-122,41592,2014年度,223344,222858,238341,237855,254801,22208,1038149,1458905,420756,420756,165955,,55476,,-934.0,2.02,68887,223344,277009,13313,3029.0,1467787.0,1458905.0,5853.0,-14997,-14997
2015-05-11,1,2015,,177,766,-125,-125,0.49,-125.0,13649,-91,11649,2015年01月01日至2015年03月31日,52204,52079,56968,56843,69330,-3477,235330,355943,120613,120613,51283,,18160,,,0.48,21474,52204,65853,4329,124.0,356322.0,355943.0,255.0,-4764,-4764
2015-08-12,2,2015,,54,969,-189,-189,0.28,-189.0,15446,-1652,10276,2015年第2季,25480,25291,32755,32566,46190,-5264,250438,346161,95723,95723,49533,,23355,,,0.28,15902,25480,40926,4635,921.0,347203.0,346161.0,121.0,-7275,-7275
2016-03-22,4,2015,-1339,9412,3315,-1613,-274,1.36,-274,55660,-1743,47238,2015年度,142349,140736,159820,158207,206326,-8317,1057057,1470879,413822,413822,207496,,88413,-1339,,1.35,71845,142349,198009,19301,1518,1482165,1470879,9768,-17471,-17471
2016-05-11,1,2016,,-5310,701,-85,-85,-0.37,-85.0,213,0,11813,2016年01月01日至2016年03月31日,-45177,-45262,-43123,-43208,-35411,-9553,294213,309491,15278,15278,50689,,21206,,,-0.37,17670,-45177,-44964,4944,116.0,309881.0,309491.0,274.0,-2054,-2054
2016-08-10,2,2016,,-3493,1259,-436,-436,0.32,-436.0,3785,0,11468,2016年第2季,35246,34810,37521,37085,46245,-7214,300197,399774,99577,99577,53332,,22678,,,0.32,19186,35246,39031,4980,94.0,399890.0,399774.0,22.0,-2275,-2275
2016-11-09,3,2016,,-7481,1003,-551,-551,1.12,-551.0,30226,0,12771,2016年第3季,136407,135856,138007,137456,177709,-11076,339465,576072,236607,236607,58898,,22269,,,1.12,23858,136407,166633,4598,,576557.0,576072.0,485.0,-1600,-1600
