date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,0.0,416,2995,828,,,1504,1088,0.13,,,965,,,13243,2013年01月01日至2013年03月31日,8455,9959,,9302,10593,5762,3658,79986,145583,65597,65597,59835,32302,,,0.13,,14290,8455,,9420,,,165,,,79986,145583,-847,-634
2013-08-14,2,2013,,,,-109,443,7881,,,715,824,0.08,0.08,,2287,,,12591,2013年04月01日至2013年06月30日,5046,5761,,5449,6028,-833,8166,91280,150645,59365,59365,60198,32355,,,0.08,0.08,15252,5046,,7333,,,158,,91280.0,91280,150645,-403,-267
2013-11-12,3,2013,,,,-269,-1132,1248,,0.0,1871,2140,0.2,0.2,,1177,,,11250,2013年07月01日至2013年09月30日,13439,15310,,13882,15808,14651,-35,79979,150760,70781,70781,56130,31018,,,0.2,0.2,13862,13439,,14616,,,151,,79979.0,79979,150760,-443,-498
2014-03-18,4,2013,,,,442,4024,12973,,0.0,4829,4704,0.57,0.57,,5076,,,49613,2013年01月01日至2013年12月31日,38571,43400,,40122,44551,27375,16272,337849,603841,265992,265992,238617,130421,,-317.0,0.56,0.56,58583,38571,,43647,,,725,,337849.0,337849,603841,-1551,-1151
2014-05-06,1,2014,,,0,10,2967,746,,3016,-4345,-4355,0.08,,,1055,,,12026,2014年01月01日至2014年03月31日,6150,1805,,5946,1287,3740,3465,49116,110520,61404,61404,60680,34069,,,0.08,,14585,6150,,7205,,,248,,,49116,110520,204,518
2014-08-12,2,2014,,,,63,-514,823,,0.0,-1005,-1068,-0.15,,,649,,,11931,2014年第2季,-10641,-11646,,-10733,-11377,-10066,74,89640,135508,45868,45868,55934,30615,,,-0.15,,13388,-10641,-0.15,-9992,,,235,,,89640,135508,92,-269
2014-10-30,3,2014,,,,81,208,1825,,0.0,824,743,0.01,0.01,,0,,,12042,2014年第3季,424,1248,,673,1382,-1380,1804,86961,145870,58909,58909,60289,34408,,,0.01,0.01,13839,424,,424,,,229,,86961.0,86961,145870,-249,-134
2015-03-27,4,2014,,,,764,6188,5175,,3016.0,-2220,-2840,0.17,0.17,,4394,,,49899,2014年度,12104,9884,,12343,9778,6066,10432,288295,532353,244058,244058,241008,134449,,-144.0,0.17,0.17,56660,12104,,16498,,,931,,288295.0,288295,532353,-239,106
2015-05-12,1,2015,0.0,0.0,0.0,75,-1995,729,,0.0,-2221,-2296,-0.12,,-2221.0,-1648,0.0,0.0,13544,2015年01月01日至2015年03月31日,-9294,-11515,0.0,-8819,-10952,-9469,-1473,68281,122792,54511,54511,63980,35860,0.0,,-0.12,,14576,-9294,,-10942,0.0,0.0,207,0.0,,68281,122792,-475,-563
2015-08-11,2,2015,0.0,0.0,0.0,-480,-598,630,,0.0,-2641,-2161,-0.06,,-2641.0,-933,0.0,0.0,12687,2015年第2季,-4386,-7027,0.0,-3966,-6551,-5155,-164,62209,117819,55610,55610,60765,32757,0.0,,-0.06,,15321,-4386,,-5319,0.0,0.0,196,0.0,,62209,117819,-420,-476
