date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,360,26627,925,,473,113,1.28,1.28,,,19076,,9207,2013年01月01日至2013年03月31日,,125925,126398,126021,126460,119201,25800,352162,523974,171812,171812,52611,26711,,,1.22,1.22,16693,125925,145001,1752,,,-96,-62
2013-08-07,2,2013,,,-841,63971,1398,,-792,49,1.66,1.66,,,13727,,9920,2013年04月01日至2013年06月30日,,163005,162213,163129,162323,113121,63611,327385,496560,169175,169175,56054,29325,,,1.57,1.57,16809,163005,176732,1758,,,-124,-110
2013-11-12,3,2013,,,1309,-2097,835,835.0,-1362,-2671,0.52,0.52,,,8120,-5186.0,9074,2013年07月01日至2013年09月30日,1646.0,51591,50229,51641,50286,67922,-8211,333348,454277,120929,119283,51361,25426,,,0.51,0.51,16861,51591,59711,1763,,,-50,-57
2014-03-25,4,2013,,,1229,100498,3932,3932.0,3298,184,3.77,3.77,,,55536,-20999.0,41863,2013年01月01日至2013年12月31日,,370843,374141,371221,374464,348991,77388,1260778,1829221,568443,568443,219452,109148,,1885.0,3.6,3.6,68441,370843,426379,6043,,,-378,-323
2014-05-09,1,2014,,,522,13367,504,504.0,517,-5,0.63,0.63,,,10113,,8981,2014年01月01日至2014年03月31日,,62129,62646,62265,62784,59897,12345,309225,423222,113997,113997,54100,26932,,,0.61,0.61,18187,62129,72242,1526,,,-136,-138
2014-08-08,2,2014,,,39,-11381,1186,1186.0,111,72,0.65,0.65,,,11022,,12498,2014年第2季,,62496,62607,64386,64475,85498,-11980,303512,442277,138765,138765,53267,23590,,,0.63,0.63,17179,62496,73518,1785,,,-1890,-1868
2014-11-07,3,2014,,,619,6624,1735,1735.0,452,-167,0.63,0.63,,,13560,0.0,12728,2014年第3季,0.0,60904,61356,62489,62991,68411,6053,301995,428083,126088,126088,57677,27850,,,0.61,0.61,17099,60904,74464,2306,,,-1585,-1635
2015-03-27,4,2014,,,2084,32248,4895,4895.0,2013,-336,2.77,2.77,,,49945,0.0,58436,2014年度,,268997,271010,273377,275547,289487,29455,1264256,1788929,524673,524673,235186,105029,,265.0,2.67,2.67,71721,268997,318942,7688,,,-4380,-4537
2015-05-11,1,2015,,,-6,-18731,406,406.0,-408,-402,0.37,0.37,,-408.0,6494,,18059,2015年01月01日至2015年03月31日,,36704,36296,36798,36519,63073,-19875,353442,474282,120840,120840,57767,23988,,,0.36,0.36,15720,36704,43198,1550,,,-94,-223
2015-08-11,2,2015,,,66,-4888,681,,-144,-210,0.41,0.41,,-144.0,7214,,14338,2015年第2季,,40815,40671,40881,40737,53791,-5762,309518,422810,113292,113292,59501,26470,,,0.4,0.4,18693,40815,48029,1555,309518.0,422810.0,-66,-66
2015-11-10,3,2015,,,-250,50327,475,,249,499,1.11,1.11,,249.0,19231,,12952,2015年第3季,,108829,109078,108889,109109,82555,45505,329377,470705,141328,141328,58773,26245,,,1.02,1.02,19576,108829,128060,5297,,,-60,-31
2016-03-25,4,2015,-3606.0,0.0,-393,18386,2459,,-4515,-516,2.66,2.66,,-909.0,49755,,72860,2015年度,,261538,257023,261853,257443,300795,10498,1300319,1847454,547135,547135,246340,102181,-3606.0,,2.52,2.52,71299,261538,311293,10347,,,-315,-420
2016-05-10,1,2016,,,1916,-15124,636,,1892,-24,0.68,,,1892.0,14884,,15203,2016年01月01日至2016年03月31日,,67272,69164,67341,69224,98481,-16325,329896,482049,152153,152153,53672,22834,,,0.64,,15635,67272,82156,1837,329896.0,482049.0,-69,-60
2016-08-05,2,2016,,,1,2005,1017,,-177,-178,0.65,,,-177.0,14995,,22213,2016年第2季,,64908,64731,64973,64814,78728,1175,364608,509022,144414,144414,65686,24850,,,0.62,,18623,64908,79903,1847,364608.0,509022.0,-65,-83
2016-11-09,3,2016,,,31,-32603,851,,-217,-248,0.01,,0.0,-217.0,381,,17601,2016年第3季,0.0,1245,1028,1255,1163,35642,-34016,312220,403241,91021,91021,55379,22475,,,,,15303,1245,1626,2264,,,-10,-135
