date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,,104750,12850,100381,120771.0,-0.41,,-12067,54713,2013年01月01日至2013年03月31日,-37693,62688,-37180,62405,-135076,85316,1669235,1902151,232916,232916,367992,178478,,,-0.41,134801,-37693,-49760,20390.0,,32284,1902151.0,-513,283
2013-08-12,2,2013,,,50382,24510,78253,94169.0,-2.24,,4925,49229,2013年04月01日至2013年06月30日,-223998,-145745,-223036,-145329,-272927,53854,2179606,2230968,51362,51362,324289,174255,,,-2.24,100805,-223998,-219073,15916.0,,21038,2230968.0,-962,-416
2013-11-12,3,2013,,,-22042,9643,-45614,-54889.0,-0.72,,-11155,47372,2013年07月01日至2013年09月30日,-73399,-119013,-72036,-117319,-47334,-37220,2694718,3020973,326255,326255,373589,205311,,,-0.72,120906,-73399,-84554,-9275.0,,24821,,-1363,-1694
2014-03-26,4,2013,,,170734,81511,229427,276196.0,-3.74,,-68070,203386,2013年01月01日至2013年12月31日,-366504,-137077,-363903,-136021,-580550,145976,8763850,9592432,828582,828582,1409132,730071,,-84.0,-3.73,475675,-366504,-434574,46685.0,,106269,,-2601,-1056
2014-05-09,1,2014,,,-8919,9850,-33225,-39990.0,-3.5,,-72471,62161,2014年01月01日至2014年03月31日,-350531,-383756,-349375,-382404,-393053,-29949,1955912,1965508,9596,9596,402649,213795,,,-3.5,126693,-350531,-423002,-6765.0,,30880,1965508.0,-1156,-1352
2014-08-12,2,2014,,,-25084,5742,-74161,-89264.0,-3.02,,-55394,52801,2014年第2季,-302479,-376640,-301389,-375127,-303459,-54414,2029169,2132143,102974,102974,406433,186452,,,-3.02,167180,-302479,-357873,-15103.0,,35072,2132143.0,-1090,-1513
2014-11-12,3,2014,,,41017,7412,110228,132725.0,-0.12,,218,55633,2014年第3季,-12530,97698,-11852,97985,-23154,10842,2642925,3006207,363282,363282,386436,199665,,,-0.12,131138,-12530,-12312,22497.0,,37587,,-678,-287
2015-03-20,4,2014,,,74513,34870,137191,162782.0,-6.95,,-127312,247011,2014年度,-705191,-568000,-693478,-559896,-802510,-29993,9412738,10361274,948536,948536,1751046,830408,,1468.0,-6.95,673627,-705191,-832503,27059.0,,139376,,-11713,-8104
2015-05-14,1,2015,-48000.0,-48000.0,-53146,5369,-40025,,-4.72,7975.0,-93737,57982,2015年01月01日至2015年03月31日,-475379,-515404,-471036,-509971,-484022,-85094,1694204,1686153,-8051,-8051,475971,265223,,,-4.72,152766,-475379,-569116,,-7975.0,37317,1686153.0,-4343,-5433
2015-08-13,2,2015,,,-894,10340,-44585,-53467,-4.59,-44585,-89974,69609,2015年第2季,-462378,-506963,-457655,-501020,-523587,-28765,2236680,2180250,-56430,-56430,467157,250217,,,-4.59,147331,-462378,-552352,,-8882,38211,2180250,-4723,-5943
2015-11-12,3,2015,174265.0,174265.0,4642,4831,145338,,-0.53,-28927.0,-12076,50671,2015年第3季,-58838,86500,-52918,88310,-42004,-28910,2077387,2497680,420293,420293,462297,272582,,,-0.53,139044,-58838,-70914,,28927.0,38383,,-5920,-1810
2016-03-29,4,2015,,-4852,-191599,165637,-24913,-24062,-11.30,-20061,-202541,243869,2015年度,-1149450,-1174363,-1127812,-1152196,-1171874,-180117,8317558,9047416,729858,729858,1901732,1057888,-4852,,-11.30,599975,-1149450,-1351991,,-4001,154155,,-21638,-22167
2016-05-11,1,2016,,,-1772,5155,-67161,-80546.0,-3.17,-67161.0,-56260,44712,2016年01月01日至2016年03月31日,-319306,-386467,-316153,-381502,-336407,-39159,1092334,1155340,63006,63006,399413,227512,,,-3.17,127189,-319306,-375566,,-13385.0,42542,1155340.0,-3153,-4965
2016-08-12,2,2016,,,-102747,5110,-84938,-101878.0,-2.71,-84938.0,-46987,38818,2016年第2季,-275453,-360391,-270390,-353096,-187869,-134571,1396476,1631897,235421,235421,423290,257994,,,-2.71,126478,-275453,-322440,,-16940.0,36934,1631897.0,-5063,-7295
2016-11-10,3,2016,-141332.0,-141332.0,-62696,13069,-117766,,1.15,23566.0,31601,40641,2016年第3季,112762,-5004,114989,-71,228621,-84258,1486424,2113000,626576,626576,397955,236591,,,1.15,120723,112762,144363,,-23566.0,34631,,-2227,-4933
