date,season,year,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他營業收入,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,其他費損,其他費用,利息費用,勞務成本,勞務收入,勞務收入合計,勞務收入淨額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,天然氣銷貨成本（天然氣業）,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-08-05,2,2013,25,,0,-25,224,224,,,,,,0,,,137,68164,166623,166623,166623,0.90,0.90,,0,21238,2013年04月01日至2013年06月30日,,77202,77202,77202,77202,77140,62,68164,166623,98459,98459,21319,0,,,81,77202,77202,137,0,0,0,0,0,,
2013-11-12,3,2013,42,,0,-42,51,51,,,,,,0,,,2014,115730,235635,235635,235635,1.01,1.01,,0,,2013年07月01日至2013年09月30日,,85995,85995,86035,86035,88000,-2005,115730,235635,119905,119905,31905,0,,,31905,85995,85995,2014,0,0,0,0,0,-40,-40
2014-03-25,4,2013,,,0,9,683,683,0,0,,,,0,0,,4991,416704,863364,863364,863364,4.18,4.18,9421,0,,2013年01月01日至2013年12月31日,,338326,338326,338438,338438,342625,-4299,426125,872837,446712,446712,104087,0,,,104087,338326,338326,4991,,9421,9473,9473,9473,-112,-112
2014-05-14,1,2014,,0,,,441,441,,,,,0,0,,48774,2173,253844,547830,547830,547830,2.85,2.85,,,,2014年01月01日至2014年03月31日,,243480,243480,243550,243550,245212,-1732,253844,547830,293986,293986,48774,,2.84,2.84,48774,243480,243480,2173,0,0,0,0,0,-70,-70
2014-08-12,2,2014,28,,0,-28,440,440,,,,,,0,,94283,3967,228963,427859,427859,427859,1.18,1.18,,0,,2014年第2季,,101058,101058,101389,101389,104613,-3555,228963,427859,198896,198896,94283,0,,,94283,101058,101058,3967,0,0,0,0,0,-331,-331
2014-11-12,3,2014,145,,,-145,135,135,,,,,,,,68922,4241,323806,446436,446436,446436,0.58,0.58,,,,2014年第3季,,49457,49457,49685,49685,53708,-4251,323806,446436,122630,122630,68922,,0.58,0.58,68922,49457,49457,4241,0,0,0,0,0,-228,-228
2015-03-25,4,2014,,,0,-331,1285,1285,0,0,13370,13370,,0,0,,14126,1266659,1837419,1837419,1837419,4.13,4.13,,0,,2014年度,,352355,352355,353301,353301,365527,-13172,1266659,1850789,584130,584130,218603,0,4.13,4.13,218603,352355,352355,14126,0,0,0,0,0,-946,-946
2015-05-12,1,2015,,,,-704,458,458,,,,,,,,43908,3709,116583,210245,210245,210245,0.54,0.54,,,,2015年01月01日至2015年03月31日,,45799,45799,46177,46177,49754,-3955,116583,210245,93662,93662,43908,,0.54,0.54,43908,45799,45799,3709,0,0,0,0,0,-378,-378
2015-07-31,2,2015,-4167,,,4167,523,523,,,143,143,,,,33043,11608,145273,195898,195898,195898,-0.02,-0.02,,12323,,2015年第2季,12323,-1516,-1516,-1497,-1497,17725,-6918,145273,196041,50768,50768,33043,,-0.02,-0.02,33043,-1516,10807,11608,0,0,0,0,0,-19,-19
2015-11-12,3,2015,3231,,,-3231,1130,1130,,,,666,,,,36055,3282,289988,376043,376043,376043,0.53,0.53,,0,,2015年第3季,,45283,45283,45380,45380,50666,-5383,289988,376709,86721,86721,36055,,0.53,0.53,36055,45283,45283,3282,0,0,0,0,0,-97,-97
2016-03-09,4,2015,,,,1215,3198,3198,0,0,810,810,,,0,,21295,673062,915868,915868,915868,1.06,1.06,,12323,,2015年度,12323,90336,90336,90998,90998,119541,-16882,673062,916678,243616,243616,124075,,1.06,1.06,124075,90336,102659,21295,0,0,0,0,0,-662,-662
2016-05-12,1,2016,,,,-1316,142,142,,,,,,,,29034,2188,57151,94928,94928,94928,0.06,0.06,,,,2016年01月01日至2016年03月31日,,5381,5381,5524,5524,8743,-3362,57151,94928,37777,37777,29034,,0.06,0.06,29034,5381,5381,2188,0,0,0,0,0,-143,-143
2016-08-12,2,2016,2716,,,-2716,410,410,,,4538,4538,,,,27680,2078,63620,101749,101749,101749,0.03,0.03,,8190,,2016年第2季,8190,2413,2413,2517,2517,14987,-4384,63620,106287,42667,42667,27680,,0.03,0.03,27680,2413,10603,2078,0,0,0,0,0,-104,-104
2016-11-11,3,2016,72,,,-72,123,123,,,,0,,,,28291,1894,55706,88605,88605,88605,0.03,0.03,,0,,2016年第3季,,2765,2765,2814,2814,4608,-1843,55706,88605,32899,32899,28291,,0.03,0.03,28291,2765,2765,1894,0,0,,,,-49,-49
