date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,19499,4930,,7842,7842,0.51,0.51,,14950,,,87377,2013年01月01日至2013年03月31日,40912,48754,48446,56262,42144,13718,4407420,4633220,225800,225800,183656,27796,,,0.51,0.51,68483,40912,55862,,,,10711,-7534,-7508
2013-08-09,2,2013,,13494,7207,,1394,1394,0.54,0.54,,12206,,,79522,2013年04月01日至2013年06月30日,45898,47292,51313,52733,49470,8634,4516207,4768171,251964,251964,202494,30907,,,0.51,0.51,92065,45898,58104,,,,12067,-5415,-5441
2013-11-08,3,2013,,-2941,6007,,-4652,-4652,0.49,0.49,,6447,,,95323,2013年07月01日至2013年09月30日,43237,38585,47518,42883,56644,-6960,4494723,4749026,254303,254303,197659,28627,,,0.47,0.47,73709,43237,49684,,,,10026,-4281,-4298
2014-03-07,4,2013,,35661,60939,2072.0,11523,7183,2.07,2.07,,45149,,,362550,2013年01月01日至2013年12月31日,175868,187391,201627,212291,170633,50384,18239075,19210296,971221,971221,800588,118118,,2268.0,2.05,2.05,319920,175868,221017,,,,46216,-25759,-24900
2014-05-07,1,2014,,17656,5395,,6318,7603,0.78,0.78,,17533,,,100643,2014年01月01日至2014年03月31日,68648,74966,75726,82002,76078,10103,4749002,5037014,288012,288012,211934,26535,,,0.77,0.77,84756,68648,86181,,1285.0,,12948,-7078,-7036
2014-08-08,2,2014,,-9066,7750,,-6057,-7294,0.77,0.77,,16056,,,82338,2014年第2季,72151,66094,75020,68977,103770,-15563,5480846,5791927,311081,311081,207311,34730,,,0.76,0.76,90243,72151,88207,,-1237.0,,14247,-2869,-2883
2014-11-07,3,2014,,17320,4778,,6072,7315,0.82,0.82,,14550,,,94630,2014年第3季,81160,87232,84990,91061,88710,7000,5576099,5873390,297291,297291,208581,35897,,,0.81,0.81,78054,81160,95710,,1243,,15098,-3830,-3829
2015-03-20,4,2014,,53613,28303,,15570,24226,3.11,3.11,,68892,,,377093,2014年度,300470,316040,322707,338926,345218,24144,21069307,22262754,1193447,1193447,848229,134046,,-5180.0,3.07,3.07,337090,300470,369362,,3476.0,,57772,-22237,-22886
2015-05-08,1,2015,,1907,7404,,-5289,-6373,0.84,0.84,-5289,15756,119,,80226,2015年01月01日至2015年03月31日,88227,82938,87170,81881,111027,-7044,5337103,5660889,323786,323786,212759,32466,,,0.83,0.83,100067,88227,103983,,,-1084,16474,1057,1057
2015-08-07,2,2015,,-2534,4614,,-5212,-6279,0.44,0.44,-5212.0,10935,0.0,,89339,2015年第2季,43613,38401,45979,40767,68467,-13919,5332789,5616883,284094,284094,215627,33989,,,0.44,0.44,92299,43613,54548,,,-1067.0,15999,-2366,-2366
2015-11-06,3,2015,,36824,4034,,25210,30373,1.04,1.04,25210.0,21135,0.0,,120555,2015年第3季,115960,141170,124561,149771,117048,20047,6252443,6636099,383656,383656,266608,42225,,,1.03,1.03,103828,115960,137095,,,5163.0,20811,-8601,-8601
2016-03-11,4,2015,-3605.0,108549,46583,,10766,17861,3.34,3.34,14371.0,64472,-4608.0,168.0,387988,2015年度,392906,403672,399239,410005,380039,77339,23041130,24358795,1317665,1317665,937626,134780,-4344.0,,3.29,3.29,414858,392906,457378,-739.0,,3658.0,73185,-6333,-6333
2016-05-05,1,2016,,-3157,3335,,-11975,-14428,0.57,0.57,-11975.0,14161,407.0,,108558,2016年01月01日至2016年03月31日,70718,58743,67686,55711,104125,-19246,6342745,6662995,320250,320250,216125,25401,,,0.56,0.56,82166,70718,84879,,,-2453.0,19831,3032,3032
2016-08-05,2,2016,,11561,9472,,2091,2519,0.52,0.52,2091.0,14688,541.0,,102464,2016年第2季,74093,76184,72122,74213,88079,702,6363032,6661581,298549,298549,210470,27030,,,0.52,0.52,80976,74093,88781,,,428.0,20872,1971,1971
2016-10-26,3,2016,,20268,13594,,-17300,-20844,0.49,0.49,-17300.0,21296,-1156.0,,139010,2016年第3季,66403,49103,68048,50748,82860,4839,7298725,7621410,322685,322685,239825,39208,,,0.49,0.49,61607,66403,87699,,,-3544.0,27867,-1645,-1645
