date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,-2791,30935,8553,-1422,1369,0.11,0.11,,10434,18970,2013年01月01日至2013年03月31日,30148,28726,30148,28726,1094,39488,235591,435426,199835,199835,198741,112863,,,0.11,0.11,66908,30148,40582,,,,,790.0,438841.0,435426.0,2625.0,0,0
2013-08-09,2,2013,,-3209,7321,8138,-2784,425,-0.04,-0.04,,3309,29077,2013年04月01日至2013年06月30日,-10591,-13375,-10591,-13375,-22741,15459,235651,393884,158233,158233,180974,90961,,,-0.04,-0.04,60936,-10591,-7282,,0.0,,,217.0,401814.0,393884.0,7713.0,0,0
2013-11-11,3,2013,,-894,-1884,9192,-620,274,0.02,0.02,,2635,23343,2013年07月01日至2013年09月30日,4936,4316,4936,4316,263,7308,213975,397860,183885,183885,183622,88048,,,0.02,0.02,72231,4936,7571,,0.0,,,424.0,402014.0,397860.0,3730.0,0,0
2014-03-20,4,2013,,-6233,50739,39058,-3354,1858,0.17,0.17,,76747,98014,2013年01月01日至2013年12月31日,47191,43837,47191,43837,34141,89797,913524,1697869,784345,784345,750204,371389,,1230.0,0.17,0.17,280801,47191,123938,,209.0,,,1656.0,1718214.0,1697869.0,18689.0,0,0
2014-05-09,1,2014,,2320,8669,11304,1698,-622,0.07,0.07,,4057,19241,2014年01月01日至2014年03月31日,19191,20889,19191,20889,3275,19973,198237,368360,170123,170123,166848,80634,,,0.07,0.07,66973,19191,23248,,,,,4800.0,376876.0,368360.0,3716.0,0,0
2014-08-08,2,2014,,-4618,-16506,10495,-3319,1299,-0.04,-0.04,,222,23069,2014年第2季,-11207,-14526,-11207,-14526,-4974,-6011,217888,383185,165297,165297,170271,88558,,,-0.04,-0.04,58644,-11207,-10985,,0.0,,,,,,,0,0
2014-11-10,3,2014,,11463,26588,17526,9688,-1775,0.21,0.21,,12501,22255,2014年第3季,60926,70614,60926,70614,29313,44114,243962,433179,189217,189217,159904,78534,,,0.21,0.21,59115,60926,73427,,0.0,,,,,,,0,0
2015-03-16,4,2014,,25699,54048,55609,23538,-3508,0.67,0.67,,37896,82784,2014年度,188383,211921,188383,211921,116622,109657,936379,1720005,783626,783626,667004,336034,,1623.0,0.66,0.66,248186,188383,226279,,276.0,,,,,,,0,0
2015-05-08,1,2015,,-4821,-10542,19693,-4698,123,0.15,0.15,-4698.0,8927,19188,2015年01月01日至2015年03月31日,43155,38457,43155,38457,43451,8631,194762,392526,197764,197764,154313,75067,,,0.15,0.15,60058,43155,52082,,,0.0,520.0,,,,,0,0
2015-08-10,2,2015,,-5093,-10323,16962,-4047,1046,0.1,0.1,-4047.0,8433,21750,2015年第2季,27542,23495,27542,23495,29627,6348,214133,407684,193551,193551,163924,86463,,,0.1,0.1,55711,27542,35975,,,0.0,291.0,,,,,0,0
2015-11-09,3,2015,,-4446,92054,15484,-8769,-4323,0.42,0.42,-8769.0,27407,16535,2015年第3季,117327,108558,117327,108558,37267,107467,221942,423404,201462,201462,164195,88442,,,0.41,0.41,59218,117327,144734,,,0.0,71.0,,,,,0,0
2016-03-15,4,2015,695.0,-21798,61497,66230,-23357,-2254,1.04,1.04,-24052.0,56702,73427,2015年度,293633,270276,293633,270276,223490,126845,906304,1788685,882381,882381,658891,333638,837.0,,1.03,1.03,251826,293633,350335,142.0,,0.0,882.0,,,,,0,0
2016-05-10,1,2016,,-2304,-3175,17327,207,2511,0.11,0.11,207.0,6277,16635,2016年01月01日至2016年03月31日,30320,30527,30320,30527,22805,13792,201327,391894,190567,190567,167762,88807,,,0.11,0.11,62320,30320,36597,,,0.0,360.0,,,,,0,0
2016-08-08,2,2016,,-7583,18373,19790,-6757,826,0.2,0.2,-6757.0,14921,19085,2016年第2季,56488,49731,56488,49731,33728,37681,244406,452747,208341,208341,174613,100442,,,0.2,0.2,55086,56488,71409,,,0.0,482.0,,,,,0,0
2016-11-07,3,2016,,-16456,852,19305,-12486,3970,0.2,0.2,-12486.0,11101,19278,2016年第3季,53910,41424,53910,41424,45681,19330,244237,451810,207573,207573,161892,86801,,,0.19,0.19,55813,53910,65011,,,0.0,827.0,,,,,0,0
