date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,處分投資利益
2013-05-09,1,2013,,326,-741,8546,10336,2346,4545,5122,5286,0.66,8872.0,0.0,,23619,,-22,,15573,2013年01月01日至2013年03月31日,110986,115531,110986,115531,,115745,18860,450676,776286,325610,325610,209865,169522,,,2868,0.65,24770,110986,134605,,
2013-08-09,2,2013,,1166,-559,4714,9678,2041,2974,4900,3533,0.93,5880.0,0.0,,45030,,-1540,,16790,2013年04月01日至2013年06月30日,156957,159931,156957,159931,,189135,12852,574872,1000652,425780,425780,236645,190075,,,2737,0.91,29780,156957,201987,,
2013-11-08,3,2013,,413,-6817,2027,8202,2818,-9771,4350,-2954,0.68,0.0,6462.0,,47837,,-1585,,18370,2013年07月01日至2013年09月30日,114135,104364,114135,104364,,153328,8644,531807,929352,397545,397545,244217,195688,,,1034,0.67,30159,114135,161972,,8902.0
2014-03-26,4,2013,,1938,-3574,23799,39592,9841,8428,20558,8606,3.07,15565.0,0.0,,158717,663.0,-5786,,71804,2013年01月01日至2013年12月31日,514808,523236,514808,523236,,615920,57605,2098590,3642339,1543749,1543749,927829,740913,,2733.0,9193,2.98,115112,514808,673525,,10172.0
2014-05-06,1,2014,,462,3861,10376,10050,2223,8523,5242,4662,0.7,10838.0,,,17002,,-1606,,16078,2014年01月01日至2014年03月31日,116828,125351,116828,125351,,115010,18820,455900,789486,333586,333586,218576,175420,,,2585,0.68,27078,116828,133830,,
2014-08-06,2,2014,,605,457,-11261,10244,2180,-4835,5491,-5292,1.02,0.0,10656.0,,26082,,-1030,,17822,2014年第2季,170698,165863,170698,165863,,198827,-2047,575114,1021915,446801,446801,247974,199864,,,2573,1.0,30288,170698,196780,,
2014-11-07,3,2014,,363,-1306,10677,10349,2842,2055,4945,3361,0.78,10731.0,0.0,,22088,,-382,,18633,2014年第3季,131429,133484,131429,133484,,132873,20644,520715,905388,384673,384673,251800,202749,,,2562,0.77,30418,131429,153517,,309.0
2015-03-27,4,2014,,1839,2270,5469,41625,8588,16803,22644,12556,3.12,33073.0,,,81702,702.0,-4458,,70394,2014年度,524483,541286,524483,541286,27098.0,563549,42636,2036882,3553363,1516481,1516481,952932,764096,,1275.0,10393,3.05,118442,524483,606185,,1333.0
2015-05-08,1,2015,,245,-1848,-7047,8980,1421,-5515,4961,-3667,0.43,0.0,6802.0,-5515.0,10858,,-1339,,16671,2015年01月01日至2015年03月31日,71441,65926,71441,65926,,81705,594,403419,707982,304563,304563,222858,178360,,,2598,0.42,27827,71441,82299,,
2015-08-12,2,2015,,1320,-619,-8259,10812,2119,-3891,5961,-3272,0.79,0.0,6939.0,-3891.0,19119,,205,,19410,2015年第2季,133257,129366,133257,129366,,149618,2758,547743,949044,401301,401301,251683,201000,,,2732,0.77,31273,133257,152376,,
2015-11-06,3,2015,,510,-1617,40019,9152,2145,6979,4381,8596,0.67,40529.0,,6979.0,17875,,26,,20119,2015年第3季,111753,118732,111753,118732,,80431,49197,465280,837948,372668,372668,292237,242580,,,2626,0.66,29538,111753,129628,,
2016-03-25,4,2015,-6372.0,2169,-4310,24963,38455,7402,-14082,19910,-3756,2.32,27515.0,,-7710.0,64963,,-1434,356.0,76816,2015年度,388985,374903,388985,374903,0.0,391964,61984,1879750,3306229,1426479,1426479,1034515,840323,-7678.0,,11143,2.27,117376,388985,453948,-1306.0,-383.0
2016-05-11,1,2016,,427,-515,-8956,8561,1546,-2897,4078,-2521,0.16,,8529.0,-2897.0,5565,,-25,139.0,17665,2016年01月01日至2016年03月31日,27300,24403,27300,24403,,33285,-420,360874,618610,257736,257736,224451,174154,,,2937,0.16,32632,27300,32865,,
2016-08-10,2,2016,,923,-410,-116,7025,867,-3401,3252,-2991,0.68,807.0,,-3401.0,26468,,-21,,17928,2016年第2季,113475,110074,113475,110074,,133055,6888,553571,946192,392621,392621,259566,203685,,,2906,0.67,37953,113475,139943,,
2016-11-09,3,2016,,319,-1938,-14106,32779,28429,-10236,1643,-8298,0.43,-16408.0,,-10236.0,21871,,56,,18856,2016年第3季,71648,61412,71648,61412,,74790,18729,492285,824685,332400,332400,257610,200254,,,2707,0.42,38500,71648,93519,,2621.0
