date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅
2013-05-07,1,2013,,,-1295,2859,161,194,0.73,0.73,,5830,4766,2013年01月01日至2013年03月31日,62675,62836,62675,62836,66941,1564,516962,676803,159841,159841,92900,,,0.73,0.73,88134,62675,68505,,33.0,
2013-08-14,2,2013,,-22681.0,-496,8678,-22542,167,0.49,0.49,,15061,4401,2013年04月01日至2013年06月30日,42097,19555,42097,19555,48976,8182,491496,630721,139225,139225,90249,,,0.49,0.49,85848,42097,57158,,28.0,
2013-11-14,3,2013,,0.0,-1608,3056,-172,-207,0.33,0.33,,5889,5054,2013年07月01日至2013年09月30日,28169,27997,28169,27997,32610,1448,502095,626159,124064,124064,91454,,,0.33,0.33,86400,28169,34058,,-35.0,
2014-03-05,4,2013,,-22681.0,-6160,19371,-19955,467,2.13,2.13,,37532,19590,2013年01月01日至2013年12月31日,184700,164745,184700,164745,209021,13211,1996309,2576537,580228,580228,371207,,2818.0,2.13,2.13,351617,184700,222232,,559.0,
2014-05-13,1,2014,,102596.0,-1158,3273,102556,-48,0.45,0.45,,8866,5374,2014年01月01日至2014年03月31日,42768,145324,42768,145324,49519,2115,503053,645764,142711,142711,93192,,,0.45,0.45,87818,42768,51634,,-8.0,
2014-08-12,2,2014,,79497.0,-1724,8797,79245,-304,0.39,0.39,,7368,4087,2014年第2季,37653,116898,37653,116898,37948,7073,499694,629775,130081,130081,92133,,0.0,0.39,0.39,88046,37653,45021,,-52.0,
2014-11-07,3,2014,,5236.0,-1839,4092,5604,443,0.19,0.19,,3803,6137,2014年第3季,18150,23754,18150,23754,19700,2253,531134,643419,112285,112285,92585,,,0.19,0.19,86448,18150,21953,,75.0,
2015-03-04,4,2014,,300709.0,15018,20051,297933,559,1.63,1.63,,27496,20555,2014年度,155989,453922,155989,453922,148416,35069,2048338,2567270,518932,518932,370516,,-3904.0,1.63,1.63,349961,155989,183485,,-569.0,
2015-05-12,1,2015,,-102296.0,-942,3208,-102429,-160,0.45,0.45,-102429.0,8806,4340,2015年01月01日至2015年03月31日,42521,-59908,42521,-59908,49061,2266,525085,667320,142235,142235,93174,,,0.45,0.45,88834,42521,51327,,,-27.0
2015-08-10,2,2015,,-15073.0,31688,13795,-15253,-217,0.58,0.58,-15253.0,9410,3679,2015年第2季,55152,39899,55152,39899,19079,45483,524849,636051,111202,111202,92123,,,0.58,0.58,88444,55152,64562,,,-37.0
2015-11-10,3,2015,,-85153.0,-772,3550,-84623,639,0.07,0.07,-84623.0,1548,3378,2015年第3季,6934,-77689,6934,-77689,5704,2778,545511,647271,101760,101760,96056,,,0.07,0.07,92678,6934,8482,,,109.0
2016-03-08,4,2015,-3962.0,-181377.0,4699,23552,-185561,-266,1.06,1.06,-181599.0,23933,15210,2015年度,101221,-84340,101221,-84340,96903,28251,2113800,2588168,474368,474368,377465,-4773.0,,1.06,1.06,362255,101221,125154,-811.0,,-44.0
2016-05-11,1,2016,,572.0,-339,20188,544,-34,0.5,0.5,544.0,7642,4676,2016年01月01日至2016年03月31日,48040,48584,48040,48584,35833,19849,542767,672360,129593,129593,93760,,,0.5,0.5,89084,48040,55682,,,-6.0
2016-08-11,2,2016,,-1715.0,-938,10317,-1941,-272,0.21,0.21,-1941.0,6303,4493,2016年第2季,20074,18133,20074,18133,16998,9379,527665,640598,112933,112933,95935,,,0.21,0.21,91442,20074,26377,,,-46.0
2016-11-10,3,2016,,-2286.0,-1787,2465,-2509,-269,0.08,0.08,-2509.0,1960,5079,2016年第3季,8111,5602,8111,5602,9393,678,550849,661001,110152,110152,100759,,,0.08,0.08,95680,8111,10071,,,-46.0
