date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,採用權益法認列關聯企業及合資國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-04-01,4,2013,,,0,,,,28318,45977,22737,,,16185,5.60,,453,,102270,,,293,11891,,,,,,,,,,,38970,2013年01月01日至2013年12月31日,0,318675,341412,,318675,341412,338233,82712,2931008,3473538,542530,542983,204750,,30839,,6259,5.57,,134941,318675,420945,,,,3474,,,
2014-08-12,2,2014,,,0,,,,-1322,32599,-18156,,,-17865,2.97,,1,,53514,,,-291,4249,,,,,,,,,,,29393,2014年上半年度,0,168734,150578,,168734,150578,187163,35085,1490142,1786537,296395,296396,109233,,14814,,,2.96,,65026,168734,222248,,,,441,,,
2014-11-10,3,2014,,,0,,,,-506,4476,26233,,,25735,1.27,,0,,22782,,,498,5731,,,,,,,,,,,16211,2014年第3季,13,72912,99145,,72912,99145,86210,9484,782235,930499,148264,148251,62041,,7634,,,1.25,,38196,72912,95694,,,,217,,,
2015-03-23,4,2014,,,0,,,,22574,44253,80281,,,79162,5.77,,13,,111675,,,1502,17043,,,,,,,,,,,63316,2014年度,0,344099,424380,,344099,424380,373001,82773,3186046,3798622,612576,612589,239588,,34065,,-383,5.69,,142207,344099,455774,,,,1097,,,
2015-05-11,1,2015,0,0,0,,,,-11852,15126,-34750,,,-34091,1.71,,,-34750,32387,0,0,,4611,,-659,,,,,,,,,20823,2015年01月01日至2015年03月31日,17,109867,75117,0,109867,75117,134721,7533,791114,987902,196788,196771,62050,,8260,0,,1.68,,32967,109867,142254,0,,0,352,0,,
2015-08-10,2,2015,0,0,0,,0,0,-6035,17041,-34984,,,-34329,1.22,,36,-34984,24812,0,0,,4606,,-655,,0,0,,0,0,0,,18908,2015年第2季,,78933,43949,0,78933,43949,88513,15232,700856,845689,144833,144869,56356,,7999,0,,1.21,,29449,78933,103745,0,,0,380,0,0,0
2015-10-20,3,2015,0,0,0,,0,0,24973,11811,103681,,,101743,2.42,2.42,14,103681,35653,0,0,,8070,,1938,,0,0,,0,0,0,,13460,2015年第3季,,156045,259726,0,156045,259726,147160,44538,808330,1014785,206455,206469,59309,,11244,0,,2.39,2.39,34605,156045,191698,0,,0,316,0,0,0
2016-03-15,4,2015,0,14497,,,0,0,38614,59220,47747,,,32981,7.50,7.50,29,33250,167329,0,0,,26099,,269,,0,0,,0,0,0,,67266,2015年度,,484120,531867,0,484120,531867,528866,122583,3215602,4008187,792585,792614,263748,,38369,14497,,7.41,7.41,158113,484120,651449,0,,0,1350,0,0,0
2016-05-04,1,2016,0,0,0,0,0,0,-3333,14018,-54049,0,0,-53245,1.97,1.97,10,-54049,43451,0,0,,10345,0,-804,-804,,,0,,0,,0,12655,2016年01月01日至2016年03月31日,0,127905,73856,0,127905,73856,150489,20867,878280,1095998,217718,217728,67239,0,10276,0,,1.95,1.95,44308,127905,171356,0,0,,163,,0,0
2016-08-12,2,2016,0,0,0,0,0,0,-158,15478,-7269,0,0,-7242,1.49,1.49,6,-7269,44350,0,0,,8455,0,-27,-27,,,0,,0,,0,11229,2016年第2季,0,96498,89229,0,96498,89229,117191,23657,820650,989722,169072,169078,51887,0,11200,0,,1.47,1.47,29458,96498,140848,0,0,,118,0,0,0
