date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,0.0,-12,-3434,297,1312,-0.26,,,8558,,1623.0,-3296,,24341,2013年01月01日至2013年03月31日,-166945,-165633,-166945,-165633,-101517,-56870,1785693,1743160,-42533,-42533,58984,,,34643,-166945,-158387,,299.0,,50437,0,0
2013-08-06,2,2013,,,,-34,1697,10014,-49,-0.41,,,298,,41.0,-5979,,25686,2013年04月01日至2013年06月30日,-260698,-260747,-260698,-260747,-214202,-46198,1623569,1469545,-154024,-154024,60178,,,34492,-260698,-260400,,56.0,,51930,0,0
2013-11-06,3,2013,,,,-4,-1933,1467,-863,-0.35,,,12576,,-1009.0,816,,23999,2013年07月01日至2013年09月30日,-219124,-219987,-219124,-219987,-155012,-51536,1475651,1377557,-98094,-98094,56918,,,32919,-219124,-206548,,-150.0,,51886,0,0
2014-03-24,4,2013,,,,-38,-11072,15409,11702,-1.33,-1.33,,-9538,,1351.0,-11147,,99017,2013年01月01日至2013年12月31日,-840042,-828340,-840042,-828340,-635604,-213976,6436611,6036728,-399883,-399883,235721,,12875.0,136704,-840042,-849580,,2486.0,,207166,0,0
2014-05-07,1,2014,,,,-7,557,3734,1215,-0.27,,,1983,,1490.0,-5193,,25115,2014年01月01日至2014年03月31日,-168080,-166865,-168080,-166865,-122309,-43788,1430020,1367471,-62549,-62549,59760,,,34645,-168080,-166097,,268.0,,42886,0,0
2014-08-06,2,2014,,,,-13,-1476,6735,-1343,-0.21,,,398,,-1574.0,-1507,,31317,2014年第2季,-129587,-130930,-129587,-130930,-92714,-36475,2042853,2005332,-37521,-37521,55193,,,23876,-129587,-129189,,-244.0,,40227,0,0
2014-11-10,3,2014,,,,-218,790,2162,948,-0.27,,,200,,1393.0,-7408,,33212,2014年第3季,-167986,-167038,-167986,-167038,-135179,-32607,2117516,2066249,-51267,-51267,83912,,,50700,-167986,-167786,,227.0,,28151,0,0
2015-03-24,4,2014,,,,-419,-10059,13719,-4404,-0.99,-0.99,,-4515,,4251.0,-18485,,118610,2014年度,-622494,-626898,-622494,-626898,-453097,-173912,7427768,7231688,-196080,-196080,257017,,-9009.0,138407,-622494,-627009,,-773.0,,159087,0,0
2015-05-05,1,2015,0.0,0.0,,0,-8438,3072,-423,-0.18,,-423.0,0,,,-2636,-572.0,26415,2015年第1季,-112728,-113151,-112728,-113151,-61198,-51530,1823969,1818319,-5650,-5650,55548,,,29133,-112728,-112728,,,-149.0,43528,0,0
2015-08-06,2,2015,,,,0,-4651,1430,-1273,-0.21,,-1273.0,0,,,-11239,-1461.0,25624,2015年第2季,-134667,-135940,-134667,-135940,-75806,-58861,1874675,1853119,-21556,-21556,54250,,,28626,-134667,-134667,,,-188.0,44401,0,0
2015-11-09,3,2015,,0.0,,0,-26205,911,4346,-0.24,,4346.0,0,,,-3145,5204.0,24422,2015年第3季,-148927,-144581,-148927,-144581,-78513,-70414,1842510,1820719,-21791,-21791,56722,0.0,,32300,-148927,-148927,0.0,,858.0,41975,0,0
2016-03-21,4,2015,,-12504.0,,347,-36145,3660,-9050,-0.79,,3454.0,0,-86.0,,-21210,2501.0,102604,2015年度,-496929,-505979,-496920,-505970,-269953,-226976,7548583,7504158,-44425,-44425,225528,-14962.0,,122924,-496929,-496929,-2544.0,,-606.0,173281,-9,-9
2016-05-10,1,2016,0.0,0.0,,0,-11326,548,-1729,-0.06,,-1729.0,0,,,-3379,-1729.0,25925,2016年01月01日至2016年03月31日,-36091,-37820,-36066,-37795,18821,-54912,1743504,1818722,75218,75218,56397,,,30472,-36091,-36091,,,0.0,40755,-25,-25
2016-08-03,2,2016,,,,0,1939,1467,-22,-0.06,,-22.0,0,,,-7496,-22.0,26364,2016年第2季,-39202,-39224,-39121,-39143,7148,-46350,1781226,1841385,60159,60159,53011,,,26647,-39202,-39202,,,0.0,42260,-81,-81
2016-11-03,3,2016,,,,0,-18095,869,-2605,-0.17,,-2605.0,0,,,-3360,-2605.0,28856,2016年第3季,-104311,-106916,-104225,-106830,-43152,-61159,1752888,1768759,15871,15871,59023,,,30167,-104311,-104311,,,0.0,40573,-86,-86
