date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,1,,,7703,397,0.0,0.0,9671,11651,-0.12,-0.12,,-1981,7487,2013年01月01日至2013年03月31日,-16231,-6560,-16231,-6560,-24690,6478,126912,125982,-930,-930,23760,2651,,,-0.12,-0.12,13622,-16231,-18212,,1981.0,,1622,126912.0,125982.0,0.0,0.0
2013-08-09,2,2013,,,-2,,,6844,678,0.0,0.0,6725,8104,-0.16,-0.16,,8717,3013,2013年04月01日至2013年06月30日,-24221,-17496,-24221,-17496,-20998,5494,134768,131888,-2880,-2880,18118,2486,,,-0.16,-0.16,12619,-24221,-15504,,1377.0,,2028,,131888.0,,
2013-11-08,3,2013,,,0,,,-1171,391,,0.0,-4104,-4944,-0.13,-0.13,,0,3304,2013年07月01日至2013年09月30日,-18634,-22738,-18634,-22738,-16416,-2218,97521,100061,2540,2540,18956,2339,,,,,13313,-18634,-18634,,-840.0,,1438,,,,
2014-03-28,4,2013,,,-1,,,-81827,3102,,,27799,24575,-1.25,-1.25,,7141,17058,2013年01月01日至2013年12月31日,-181787,-153988,-181787,-153988,-89046,-85600,479936,474806,-5130,-5130,83916,9592,,7403.0,-1.25,-1.25,57266,-181787,-174646,,4178.0,,6875,,,,
2014-05-14,1,2014,,0.0,0,,,419647,191,,-8929.0,14,-778,2.2,2.2,,0,5905,2014年01月01日至2014年03月31日,320926,320940,320926,320940,-97036,417962,100719,63742,-36977,-36977,51130,1984,,,2.2,2.2,43241,320926,320926,,-792.0,,1876,,,,
2014-08-13,2,2014,,0.0,-1,0.0,0.0,-11059,3063,,0.0,-6316,-15943,-0.54,-0.54,,0,18627,2014年第2季,-79253,-85569,-79253,-85569,-69616,-9637,96299,74591,-21708,-21708,47908,1951,,,-0.54,-0.54,27330,-79253,-79253,,-9628.0,,1641,,74591.0,0.0,0.0
2014-11-13,3,2014,,,0,,,5829,2602,,0.0,3135,3777,-0.41,-0.41,,0,1480,2014年第3季,-60248,-57113,-60248,-57113,-67038,6790,92129,59516,-32613,-32613,34425,2341,,,-0.41,-0.41,30604,-60248,-60248,,642.0,,1641,,59516.0,,
2015-03-27,4,2014,,,-1,,,425321,8052,,-10424.0,-4837,-2756,2.45,2.45,,4426,26038,2014年度,270991,266154,270991,266154,-151205,426622,290505,256364,-34141,-34141,106640,8045,,-12200.0,,,72557,270991,275417,,-10120.0,,6751,290505.0,256364.0,,
2015-05-13,1,2015,,,3,,0.0,990,1280,,0.0,-2858,-3447,-0.4,-0.4,-2858.0,-519,7072,2015年01月01日至2015年03月31日,-44580,-47438,-44580,-47438,-45848,749,71539,46974,-24565,-24565,21283,2084,,,-0.4,-0.4,12127,-44580,-45099,,,-586.0,1521,,46974.0,,0.0
2015-08-12,2,2015,,,0,,0.0,-9592,4316,,0.0,-1722,-2075,-0.44,-0.44,-1722.0,1671,7348,2015年第2季,-48953,-50675,-48953,-50675,-40691,-6591,72080,54089,-17991,-17991,22700,2052,,,,,13300,-48953,-47282,,,-353.0,1315,72080.0,54089.0,,0.0
2015-11-11,3,2015,,,0,,0.0,17763,3155,,0.0,3577,4310,-1.58,-1.58,3577.0,-630,7557,2015年第3季,-175326,-171749,-175326,-171749,-195820,19864,228699,56309,-172390,-172390,23430,2170,,,,,13703,-175326,-175956,,,733.0,1054,228699.0,56309.0,,0.0
2016-03-23,4,2015,3668.0,,3,,0.0,12446,46901,,0.0,-667,-5227,-2.61,-2.61,-4335.0,-4832,37629,2015年度,-288582,-289249,-288582,-289249,-348076,54662,466399,216747,-249652,-249652,98424,8671,4419.0,,,,52124,-288582,-293414,751.0,,-889.0,4685,466399.0,216747.0,,0.0
2016-05-11,1,2016,,,0,,0.0,-8969,2385,,,-2590,-3122,-0.48,-0.48,-2590.0,2997,4283,2016年01月01日至2016年03月31日,-53333,-55923,-53333,-55923,-43053,-7283,75346,51282,-24064,-24064,18989,1943,,,,,12763,-53333,-50336,,,-532.0,699,75346.0,51282.0,,0.0
2016-08-11,2,2016,,0.0,0,,0.0,-4734,1208,,,-4274,-5148,-0.44,-0.44,-4274.0,-27,27929,2016年第2季,-49145,-53419,-49145,-53419,-44979,-4193,56289,53613,-2676,-2676,42303,1841,,,,,12533,-49145,-49172,,,-874.0,667,56289.0,53613.0,,0.0
