date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,85110,249761,12582,85110,0.5,,-3249,,2013年01月01日至2013年03月31日,237413,322523,223377,305274,-22620,256784,2632381,2665309,32928,32928,55548,,,0.5,237413,234164,,,,5559,2665309,14036,17249
2013-08-08,2,2013,,153731,-272744,23102,153731,-0.71,,-18491,,2013年04月01日至2013年06月30日,-357866,-204135,-309944,-153560,-120439,-255918,3006140,2931592,-74548,-74548,45891,,,-0.71,-357866,-376357,,0.0,,6276,2931592,-47922,-50575
2013-11-06,3,2013,,511520,13535,277840,511520,0.27,,6130,,2013年07月01日至2013年09月30日,235027,746547,116015,627717,-44242,285399,2679044,2689254,10210,10210,54452,,,0.27,235027,241157,,0.0,,5976,2689254,119012,118830
2014-03-20,4,2013,,475470,385761,322398,519090,0.95,,10226,16964.0,2013年01月01日至2013年12月31日,445012,964102,415513,929139,-246279,701517,11062840,11043925,-18915,-18915,227364,,43620.0,0.95,445012,455238,,0.0,,23606,11043925,29499,34963
2014-05-12,1,2014,,102594,2123,6674,102594,-0.01,,-5230,-29.0,2014年01月01日至2014年03月31日,-29135,73459,-4429,94660,-36081,1716,2481233,2494882,13649,13649,49730,,,-0.01,-29135,-34365,,,,7052,2494882,-24706,-21201
2014-08-04,2,2014,,477729,79416,141268,477729,0.13,,14835,-227.0,2014年第2季,166044,643773,56159,526579,-33495,214374,2480623,2498813,18190,18190,51685,,,0.13,166044,180879,,,,6083,2498813,109885,117194
2014-11-10,3,2014,,-132802,-94270,129939,-132802,0.04,,-366,-200.0,2014年第3季,21754,-111048,17744,-113115,-6825,28213,2492213,2534910,42697,42697,49522,,,0.04,21754,21388,,0.0,,7256,2534910,4010,2067
2015-03-25,4,2014,,229696,-18085,282644,221686,-0.02,,17305,-583.0,2014年度,80142,301828,-6792,213214,-138203,235650,9857448,9917436,59988,59988,198191,,-8010.0,-0.02,80142,97447,,0.0,,28326,9917436,86934,88614
2015-05-11,1,2015,,-338462,30672,3862,-338462,-0.04,-338462.0,-25362,-302.0,2015年01月01日至2015年03月31日,-98549,-437011,-18474,-357243,-150170,26259,2310828,2206348,-104480,-104480,45690,,,-0.04,-98549,-123911,,,0.0,7973,2206348,-80075,-79768
2015-08-11,2,2015,,-197680,-71061,25039,-197680,-0.02,-197680.0,4567,-282.0,2015年第2季,-37339,-235019,-9404,-205577,20966,-53738,2205807,2270348,64541,64541,43575,,,-0.02,-37339,-32772,,,,7434,2270348,-27935,-29442
2015-11-10,3,2015,,-565520,-216082,76194,-586014,-0.43,-586014.0,-23394,-314.0,2015年第3季,-266973,-852987,-182096,-763676,-142451,-147916,2018204,1920066,-98138,-98138,44313,,,-0.43,-266973,-290367,,,20494.0,7714,1920066,-84877,-89311
2016-03-22,4,2015,-10364.0,-743606,-206170,111743,-779887,-0.33,-769523.0,-41139,-1069.0,2015年度,-361887,-1141774,-141519,-918764,-278089,-124937,8773056,8673640,-99416,-99416,178673,-10364.0,,-0.33,-361887,-403026,0.0,,25917.0,29441,8673640,-220368,-223010
2016-05-03,1,2016,,-136755,-34227,5071,-131440,-0.01,-131440.0,4638,-477.0,2016年01月01日至2016年03月31日,-13542,-144982,-2994,-146333,26586,-35490,1638856,1709386,70530,70530,43944,,,-0.01,-13542,-8904,,,-5315.0,5857,1709386,-10548,1351
2016-08-03,2,2016,,56803,-85316,23226,48008,-0.06,48008.0,10504,-64.0,2016年第2季,-70453,-22445,-27383,-3982,8027,-67976,1701373,1751604,50231,50231,42204,,,-0.06,-70453,-59949,,,8795.0,5822,1751604,-43070,-18463
2016-11-09,3,2016,,-127766,83306,63495,-98369,0.22,-98369.0,31902,-168.0,2016年第3季,56515,-41854,92257,-41160,-52335,140752,1776678,1767549,-9129,-9129,43206,,,0.22,56515,88417,,,-29397.0,5881,1767549,-35742,-694
