date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,2417323,-601422,536304,4030619,1596921,0.19,0.19,,6012,12822.0,-156314,,628445,2013年01月01日至2013年03月31日,1682830,5713449,1683707,5623506,3310178,-1621336,107836876,116847723,9010847,9010847,5700669,27606.0,,3465776,,,0.19,0.19,1606448,1682830,1688842,,24053.0,,1399904,-877,89943
2013-08-08,2,2013,,-2529578,-2821480,392833,-1447301,999633,0.45,0.45,,180914,25350.0,-90761,,806879,2013年04月01日至2013年06月30日,4068637,2621336,4070800,2713765,8034877,-3785326,97763696,111567095,13803399,13803399,5768522,24010.0,,3244270,,,0.45,0.45,1717373,4068637,4249551,,-33284.0,,1265918,-2163,-92429
2013-11-12,3,2013,,329867,-2839580,799697,-250179,-607542,0.08,0.08,,244409,-9561.0,120708,,754592,2013年07月01日至2013年09月30日,683047,432868,685645,433538,4069800,-3142344,87021961,97095958,10073997,10073997,6004197,18663.0,,3247001,,,0.08,0.08,2002604,683047,927456,,-18394.0,,1223169,-2598,-670
2014-02-17,4,2013,,16772,-7166774,2627868,2859517,2712774,0.57,0.57,,548334,36122.0,-63779,,2974223,2013年01月01日至2013年12月31日,5095019,7954536,5102568,7953076,15349268,-9705915,384971385,422730500,37759115,37759115,22409847,79477.0,,12265650,,-11870.0,0.57,0.57,7169974,5095019,5643353,,-26242.0,,5103230,-7549,1460
2014-05-06,1,2014,,98393,-436966,570807,918722,774859,0.02,0.02,,9192,7482.0,847,,678405,2014年01月01日至2014年03月31日,152955,1071677,152560,1079965,1178859,-1016712,83933056,89558900,5625844,5625844,4446985,7851.0,,2163984,,,0.02,0.02,1604596,152955,162147,,-30137.0,,1151400,395,-8288
2014-07-28,2,2014,,391380,-2369552,384970,-868729,-1228906,0.33,0.33,,406083,-27377.0,36805,,775657,2014年第2季,3010092,2141363,3011222,2143342,6366373,-2950198,99260263,111064490,11804227,11804227,5437854,5866.0,,2996236,,,0.33,0.33,1665961,3010092,3416175,,9692.0,,1002421,-1130,-1979
2014-10-30,3,2014,,-186641,-1442563,838435,605145,816142,0.77,0.77,,387861,-15745.0,33070,,833108,2014年第3季,7359509,7964654,7358547,7963300,9094064,-1346694,98525614,113091500,14565886,14565886,5471822,4094.0,,3063429,,,0.77,0.77,1575285,7359509,7747370,,12705.0,,775636,962,1354
2015-02-10,4,2014,,284946,-5130475,2734952,3159493,3078767,2.31,2.31,,857432,81659.0,65814,,3224079,2014年度,21676908,24836401,21676759,24844853,28173396,-5639056,378276897,428661898,50385001,50385001,22211605,-278458.0,,12177083,,-55790.0,2.28,2.28,6810443,21676908,22534340,,-48369.0,,3309347,149,-8452
2015-04-28,1,2015,,164946,-1372419,439832,-1445244,-1329542,0.87,0.87,-1445244.0,1410940,,89960,-25815.0,808245,2015年01月01日至2015年03月31日,8649289,7204045,8650607,7233249,11216791,-1156562,82413810,100157867,17744057,17744057,6527266,,-297675.0,3970262,,,0.86,0.86,1748759,8649289,10060229,,,-42842.0,313935,-1318,-29204
2015-07-30,2,2015,,3218992,-2325487,641752,2593761,-633226,0.54,0.54,2593761.0,1936835,,20087,-10881.0,845715,2015年第2季,5406121,7999882,5406294,8001681,9406239,-2063283,78158603,93755186,15596583,15596583,6190344,,0.0,3624247,,,0.54,0.54,1720382,5406121,7342956,,,-18876.0,399635,-173,-1799
2015-10-29,3,2015,,-499438,-789427,524304,1534208,1948008,0.35,0.35,1534208.0,599667,,14644,46540.0,803631,2015年第3季,3481924,5016132,3481886,5016324,4705647,-624056,77983670,88756324,10772654,10772654,6067007,,0.0,3668646,,,0.35,0.35,1594730,3481924,4081591,,,-39098.0,373577,38,-192
2016-02-02,4,2015,-162630.0,2266346,-8683203,2313182,507196,-1421828,1.09,1.09,669826.0,4045046,,213587,4432.0,3204824,2015年度,10814141,11321337,10815594,11352532,22430709,-7571522,317492879,364132984,46640105,46640105,24209396,,-297675.0,14404490,-195939.0,,1.07,1.07,6600082,10814141,14859187,-33309.0,,-118551.0,1415088,-1453,-31195
2016-05-12,1,2016,,-37760,-1013662,1102758,-882994,-832733,-0.86,-0.86,-882994.0,47928,,86370,-15927.0,577026,2016年01月01日至2016年03月31日,-8581508,-9464502,-8581508,-9464502,-8402287,-131293,60454580,56417120,-4037460,-4037460,4364827,,0.0,2258969,,,-0.86,-0.86,1528832,-8581508,-8533580,,,-3426.0,306759,0,0
2016-07-29,2,2016,,-1273581,-685667,1096404,-2658908,-1336497,-0.35,-0.35,-2658908.0,605421,,48888,-213.0,647425,2016年第2季,-3475528,-6134436,-3475528,-6134436,-3037930,167823,65250163,66805188,1555025,1555025,4592955,,0.0,2387718,,,-0.35,-0.35,1557812,-3475528,-2870107,,,48617.0,291802,0,0
2016-10-28,3,2016,,96941,-676884,440372,-2400698,-2483243,0.31,0.31,-2400698.0,476988,,80266,-28844.0,523514,2016年第3季,3058266,657568,3058266,657568,3858118,-322864,65715562,74484602,8769040,8769040,4910922,,0.0,2847409,,,0.31,0.31,1539999,3058266,3535254,,,-14448.0,166618,0,0
