date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,金融資產重分類淨損益,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,255644,132204,584313,584313.0,-666326,1522609,0.45,0.45,,190441,,-2447367.0,640893,,4364914,2013年01月01日至2013年03月31日,2049213,1382887,1321954,670479,1235629,1004025,40017698,50783229,10765531,10765531,9529902,2788.0,1512683,,,0.44,0.44,3652305,2049213,2239654,353385,,,727259,712408
2013-08-14,2,2013,,-226328,425144,555595,555595.0,-4166439,857510,0.91,0.91,,725650,,-4800263.0,1472051,,4601030,2013年04月01日至2013年06月30日,4716726,550287,2670653,-1802014,3309880,2132496,46653904,59864915,13211011,13211011,9901131,2642.0,1524434,,,0.89,0.89,3775667,4716726,5442376,320294,,,2046073,2352301
2013-11-13,3,2013,,252171,1550238,1531241,1531241.0,-3047136,-687317,1.33,1.33,,489490,,-2611990.0,1575855,,4734486,2013年07月01日至2013年09月30日,5909695,2862559,3903564,714346,2036678,4362507,43463165,55923992,12460827,12460827,10424149,0.0,1520414,,,1.3,1.3,4169249,5909695,6399185,294827,,,2006131,2148213
2014-03-28,4,2013,,1460998,1324978,3580929,3580929.0,-6713194,2260746,3.62,3.62,,1821143,,-10198325.0,4977369,,18659399,2013年01月01日至2013年12月31日,16910950,10197756,10619449,3350207,10098989,8633104,176136637,226664569,50527932,50527932,40428943,5430.0,6248128,,-242043.0,3.53,3.53,15521416,16910950,18732093,1250172,,,6291501,6847549
2014-05-15,1,2014,,-663491,-1347457,825360,825360.0,1051073,582815,0.36,0.36,,612413,,1131749.0,913550,,4597749,2014年01月01日至2014年03月31日,2166761,3217834,1052912,2586517,2655695,123479,42733369,55792227,13058858,13058858,10403163,0.0,1511096,,,0.35,0.35,4294318,2166761,2779174,267974,,,1113849,631317
2014-08-14,2,2014,,648768,-14177,527524,527524.0,762200,-1375607,0.39,0.39,,495983,,1489039.0,1273350,,5104616,2014年第2季,1639781,2401981,1152291,1996863,618088,1517676,49636550,64035305,14398755,14398755,13780667,0.0,1653963,,,0.38,0.38,7022088,1639781,2135764,269021,,,487490,405118
2014-11-14,3,2014,,-11567,430971,1360566,1360566.0,-3439561,1160015,1.34,1.34,,424109,,-4588009.0,2468638,,5209822,2014年第3季,5665295,2225734,3935419,457655,2086189,4003215,46879361,59824926,12945565,12945565,10859376,0.0,1645852,,,1.31,1.31,4003702,5665295,6089404,256960,,,1729876,1768079
2015-03-24,4,2014,,-318603,-484431,3359218,,2677034,2549708,2.93,2.93,,2014930,,628459.0,6154285,,20702822,2014年度,13859449,16536483,8615506,11997296,7920621,7953758,188707550,243976298,55268748,55268748,47348127,0.0,6457359,,-182530.0,2.85,2.85,20187946,13859449,15874379,1075314,,,5243943,4539187
2015-05-15,1,2015,,1056214,257343,681041,,1792847,-515707,0.71,0.71,1792847.0,647642,,,1460549,1252340.0,5824049,2015年01月01日至2015年03月31日,3703097,5495944,2096490,3639408,2225365,2125374,48003960,62252413,14248453,14248453,12023088,,1491637,,,0.69,0.69,4707402,3703097,4350739,273559,,,1606607,1856536
2015-08-14,2,2015,,930620,253058,942147,,-2497716,-938410,0.91,0.91,-2497716.0,1452425,,,1698649,-2489926.0,6176609,2015年第2季,4814494,2316778,2682646,156575,3674035,2592884,54041793,70507475,16465682,16465682,12791647,,1359206,,,0.88,0.88,5255832,4814494,6266919,300970,,,2131848,2160203
2015-11-13,3,2015,,-2680218,-838000,1378534,,-5352280,2984669,1.21,,-5352280.0,697324,,,2656457,-5656731.0,5871136,2015年第3季,5054500,-297780,3566269,-1076355,2817715,2934109,50298423,65689709,15391286,15391286,12573571,,1654459,,,1.18,,5047976,5054500,5751824,262882,0.0,0.0,1488231,778575
2016-03-24,4,2015,-292876.0,-1650970,-1346843,3868364,,-7816031,390145,3.24,3.24,-7523155.0,3638808,-76182.0,,6486653,-6262330.0,24784935,2015年度,16601466,8785435,9531358,2941441,12353394,7886880,204575755,269081173,64505418,64505418,52152024,,6008984,-216694.0,,3.14,3.14,21358105,16601466,20240274,1121294,,,7070108,5843994
2016-05-13,1,2016,,1155769,1040781,564053,,2333599,-840133,1.02,1.02,2333599.0,1021374,,,1021047,2017963.0,6634630,2016年01月01日至2016年03月31日,4938048,7271647,3006739,4888760,3630306,2329116,50663777,67441263,16777486,16777486,13147180,,1667449,,,0.99,0.99,4845101,4938048,5959422,296765,,,1931309,2382887
2016-08-15,2,2016,,665396,-586173,858398,,17216,-713111,0.73,0.73,17216.0,836230,,,695381,64931.0,7025106,2016年第2季,5159436,5176652,2164461,2817630,5371732,623934,54622127,73303578,18681451,18681451,13309719,,1602437,,,0.71,0.71,4682176,5159436,5995666,343672,,,2994975,2359022
2016-11-14,3,2016,,-867793,-553665,1918598,,-2851656,-1902252,1.27,1.27,-2851656.0,599923,,,2153413,-81611.0,6336308,2016年第3季,6133840,3282184,3721076,731480,3541047,3192716,47899483,64204345,16304862,16304862,12763815,,1702905,,,1.23,1.23,4724602,6133840,6733763,325630,,,2412764,2550704
