date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,,4572,1614,,-969,1614.0,-969,1.06,,40670,,,,,119482,2013年01月01日至2013年03月31日,139158,138189,,139158,138189,174347,5481,1743374,2109112,365738,365738,191391,24495,,,1.03,47414,139158,179828,,0.0,,,705,,,1614.0,,,,,,,,
2013-08-08,2,2013,,,,2737,3214,,-680,,-680,0.97,,37550,,,,,129814,2013年04月01日至2013年06月30日,127548,126868,,127548,126868,159656,5442,2084418,2440039,355621,355621,195965,30176,,,0.94,35975,127548,165098,,,,,509,,,,,,,,,,,
2013-11-12,3,2013,,,,-273,1335,,686,,686,0.52,,20957,,,,,112513,2013年07月01日至2013年09月30日,69221,69907,,69221,69907,89956,222,2482519,2745279,262760,262760,172804,20743,,,0.51,39548,69221,90178,,,,,840,,,,,,,,,,,
2014-03-13,4,2013,,,0.0,10301,8017,,-3807,,-1867,3.33,,133711,,,,,497371,2013年01月01日至2013年12月31日,447210,443403,,447210,443403,565436,15485,8515626,9835612,1319986,1319986,754550,101924,,-2338.0,3.24,155255,447210,580921,,-398.0,,,2833,,,,,,,,,,,
2014-05-02,1,2014,,,,1100,1654,,-270,,-270,0.9,,29305,,,,,118705,2014年01月01日至2014年03月31日,122044,121774,,122044,121774,149583,1766,2068424,2403968,335544,335544,185961,27245,,,0.89,40011,122044,151349,,0.0,,,988,,,,,,,,,,,
2014-08-12,2,2014,,,,2150,2166,,231,,231,0.9,,29906,,,5454.0,-5454.0,135675,2014年第2季,121182,121413,,121182,121413,153284,-2196,2267026,2611736,344710,344710,191426,18899,,,0.88,36852,121182,151088,,0.0,,,1058,,,,,2267026.0,,,,,,
2014-11-09,3,2014,,,,2918,1765,0,-562,,-562,0.93,,33798,,,5847,-5847,116837,2014年第3季,126276,125714,,126276,125714,162627,-2553,2391714,2730958,339244,339244,176617,19386,,,0.92,40394,126276,160074,,,,,1389,,0,,2391714,2391714,2730958,2730958,2730958,0,,
2015-03-12,4,2014,,,-1074.0,6399,8564,,-5281,,-913,3.63,,117861,,,16896.0,-16896.0,507146,2014年度,491389,486108,,491389,486108,615453,-6203,8856335,10218111,1361776,1361776,746323,83447,,-3967.0,3.55,155730,491389,609250,,-673.0,,,4270,,,,,,,,,,,
2015-04-30,1,2015,0.0,0.0,2312.0,1184,2635,,1933,,-379,0.41,1933.0,14056,0.0,0.0,4476.0,-4476.0,121826,2015年01月01日至2015年03月31日,60320,62253,0.0,60320,62253,76105,-1729,1898340,2162832,264492,264492,188387,21484,0.0,,,45077,60320,74376,0.0,,,0.0,1072,0.0,,,,,,,,,,
2015-08-11,2,2015,,,-20417,19983,2973,,-21881,,-1464,0.42,-21881,14781,,,2865,-2865,110745,2015年第2季,62540,40659,,62540,40659,57845,19476,1632541,1850381,217840,217840,159995,16348,,,0.41,32902,62540,77321,,,,,615,,,,,,1850381,1850381,1850381,,,
