date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計
2013-05-14,1,2013,,20414,1487,26.0,-103,-129,0.45,,6839,9912,2013年01月01日至2013年03月31日,29460,29357,29460,29357,19108,17191,391595,438781,47186,47186,28078,6713,,,,11453,29460,36299,,,,4710,391595.0
2013-08-13,2,2013,,10431,2043,-33.0,166,199,0.48,,4900,11894,2013年04月01日至2013年06月30日,31157,31323,31157,31323,27486,8571,409262,466720,57458,57458,29972,4530,,,,13548,31157,36057,,,,3903,409262.0
2013-11-12,3,2013,,-8626,2147,10.0,-52,-62,0.29,,6591,10887,2013年07月01日至2013年09月30日,18697,18645,18697,18645,36430,-11142,475718,541277,65559,65559,29129,6010,,,,12232,18697,25288,,,,4663,475718.0
2014-03-27,4,2013,,33721,9656,,520,-178,1.38,,20950,45012,2013年01月01日至2013年12月31日,90380,90900,90380,90900,86272,25058,1751572,1953524,201952,201952,115680,21878,,800.0,,48790,90380,111330,,102.0,,18319,
2014-05-13,1,2014,,13936,1954,,-66,-80,0.4,,6862,9571,2014年01月01日至2014年03月31日,25926,25860,25926,25860,20980,11808,476106,525034,48928,48928,27948,4931,,,,13446,25926,32788,,-14.0,,4082,
2014-08-12,2,2014,,-13939,2178,,191,230,0.52,,11892,12338,2014年第2季,33745,33936,33745,33936,61970,-16333,678276,769498,91222,91222,29252,5048,,,0.52,11866,33745,45637,,39.0,,4572,
2014-11-12,3,2014,,16114,4078,,-264,-317,0.64,,11852,11159,2014年第3季,41821,41557,41821,41557,39177,14496,597727,668731,71004,71004,31827,5379,,,0.64,15289,41821,53673,,-53.0,,5696,
2015-03-27,4,2014,,45072,11595,,-1953,-1251,2.01,,38231,48983,2014年度,131358,129405,131358,129405,131048,38541,2243659,2503519,259860,259860,128812,22105,,-1102.0,,57724,131358,169589,,-400.0,,18126,
2015-05-13,1,2015,,-9797,2546,,346,417,0.72,346.0,10499,12172,2015年01月01日至2015年03月31日,47145,47491,47145,47491,69397,-11753,577445,677683,100238,100238,30841,4515,,,0.72,14154,47145,57644,,,71.0,4502,
2015-08-12,2,2015,,-13774,2340,,229,275,0.5,229.0,14536,11155,2015年第2季,32940,33169,32940,33169,65108,-17632,618807,716242,97435,97435,32327,7023,,,0.5,14149,32940,47476,,,46.0,6198,
2015-11-13,3,2015,,75598,2694,,-667,-803,1.88,-667.0,26700,12573,2015年第3季,122597,121930,122597,121930,77744,71553,638252,748956,110704,110704,32960,5897,,,1.87,14490,122597,149297,,,-136.0,6739,
2016-03-29,4,2015,-1481.0,44964,11204,,-894,706,3.42,587.0,56687,47649,2015年度,223284,222390,223284,222390,247668,32303,2360511,2756558,396047,396047,148379,25414,-1784.0,,3.4,75316,223284,279971,-303.0,,119.0,23865,
2016-05-12,1,2016,,-19969,3308,,556,670,0.89,556.0,13065,11601,2016年01月01日至2016年03月31日,57905,58461,57905,58461,94374,-23404,601954,728957,127003,127003,32629,5653,,,0.88,15375,57905,70970,,,114.0,6743,
2016-08-11,2,2016,,-6949,1471,,798,962,0.64,798.0,23392,10779,2016年第2季,42082,42880,42082,42880,78081,-12607,629783,737824,108041,108041,29960,5555,,,0.64,13626,42082,65474,,,164.0,7129,
2016-11-10,3,2016,,-55958,8715,,1266,1525,0.24,1266.0,4661,11648,2016年第3季,15992,17258,15992,17258,75938,-55285,654997,761011,106014,106014,30076,4955,,,0.24,13473,15992,20653,,,259.0,8042,
