date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-03,1,2013,,20326,19817,16391,19748,0.45,0.45,,41425,152760,2013年01月01日至2013年03月31日,101151,117542,101151,117542,103030,39546,284368,655500,371132,371132,268102,72032,,,0.45,0.45,43310,101151,142576,,3357.0,,597.0
2013-08-09,2,2013,,8684,9059,11557,13924,0.75,0.75,,46895,159458,2013年04月01日至2013年06月30日,176473,188030,176473,188030,205625,17743,439446,908627,469181,469181,263556,78649,,,0.75,0.75,25449,176473,223368,,2367.0,,0.0
2013-11-08,3,2013,,-12052,14022,-8169,-9842,1.68,1.68,,71806,172085,2013年07月01日至2013年09月30日,396090,387921,396090,387921,465926,1970,850944,1625214,774270,774270,308344,93386,,,1.67,1.67,42873,396090,467896,,-1673.0,,0.0
2014-02-21,4,2013,,18709,49448,32168,34778,3.41,3.41,,173797,665170,2013年01月01日至2013年12月31日,806300,838468,806300,838468,912537,67560,2027984,4083860,2055876,2055876,1143339,341644,,3302.0,3.4,3.4,136525,806300,980097,,5912.0,,597.0
2014-05-02,1,2014,,12595,14363,-761,-917,0.39,0.39,,7403,158037,2014年01月01日至2014年03月31日,91094,90333,91094,90333,71654,26843,313740,647674,333934,333934,262280,66349,,,0.39,0.39,37894,91094,98497,,-156.0,,115.0
2014-08-08,2,2014,,-23019,8476,-8824,-10631,0.89,0.89,,33280,171848,2014年第2季,210608,201784,210608,201784,258431,-14543,644021,1207912,563891,563891,305460,94032,,,0.89,0.89,39580,210608,243888,,-1807.0,,0.0
2014-11-07,3,2014,,38409,17488,10093,12160,3.27,3.27,,148392,245223,2014年第3季,772847,782940,772847,782940,865342,55897,1809044,3100686,1291642,1291642,426300,132943,,,3.26,3.26,48134,772847,921239,,2067.0,,0.0
2015-03-04,4,2014,,72639,48197,16361,19712,5.34,5.34,,216307,796111,2014年度,1260396,1276757,1260396,1276757,1355982,120721,3178652,5869549,2690897,2690897,1334915,378371,,0.0,5.31,5.31,160433,1260396,1476703,,3351.0,,115.0
2015-04-29,1,2015,,-22836,17736,-7330,-8831,1.2,1.2,-7330.0,59006,162228,2015年01月01日至2015年03月31日,282481,275151,282481,275151,346587,-5100,519682,1152139,632457,632457,285870,75927,,,1.19,1.19,47715,282481,341487,,,-1501.0,0.0
2015-08-05,2,2015,,-4411,379,-7415,-8934,1.08,1.08,-7415.0,70317,225620,2015年第2季,255478,248063,255478,248063,329827,-4032,613066,1308187,695121,695121,365294,98902,,,1.08,1.08,40772,255478,325795,,,-1519.0,0.0
2015-10-28,3,2015,,102605,6064,22686,27332,1.81,1.81,22686.0,107056,235858,2015年第3季,427851,450537,427851,450537,426238,108669,775842,1587565,811723,811723,385485,110379,,,1.81,1.81,39248,427851,534907,,,4646.0,0.0
2016-03-02,4,2015,-5041.0,61374,34299,-16397,-13682,4.23,4.23,-11356.0,247388,845594,2015年度,998903,982506,998903,982506,1150618,95673,2219681,4754389,2534708,2534708,1384090,379486,-6074.0,,4.21,4.21,159010,998903,1246291,-1033.0,,-2326.0,0.0
2016-05-04,1,2016,,-11050,7184,-773,-931,0.44,0.44,-773.0,17948,166321,2016年01月01日至2016年03月31日,104765,103992,104765,103992,126579,-3866,315117,719859,404742,404742,278163,81636,,,0.44,0.44,30206,104765,122713,,,-158.0,
2016-08-10,2,2016,,-8743,4844,-12366,-14899,0.79,0.79,-12366.0,49436,183558,2016年第2季,186236,173870,186236,173870,239571,-3899,449428,998520,549092,549092,309521,94086,,,0.79,0.79,31877,186236,235672,,,-2533.0,
2016-10-26,3,2016,,-41197,11869,-20004,-19520,0.27,0.27,-20004.0,12558,173803,2016年第3季,64500,44496,64500,44496,106386,-29328,336971,729759,392788,392788,286402,83537,,,0.27,0.27,29062,64500,77058,,,484.0,
