date,season,year,不重分類至損益之項目總額,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,金融資產重分類淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,49016,1508,76987,139786,90770,0.15,,,17795,,,21235,,,108441,2013年01月01日至2013年03月31日,,95828,235614,96000,232509,26818,86805,4424346,4667448,243102,243102,216284,,,,107843,95828,,113623,12925,,-172,3105
2013-08-09,2,2013,,,-3525,-1428,116103,50168,53693,0.12,,,21439,,,20975,,,114952,2013年04月01日至2013年06月30日,,78176,128344,79211,121948,-22504,122119,4862499,5058485,195986,195986,218490,,,,103538,78176,,99615,13531,,-1035,6396
2013-11-08,3,2013,,,-12721,3000,47447,-47098,-34377,0.18,,,22684,,,5621,,,108322,2013年07月01日至2013年09月30日,,113388,66290,116493,67736,92102,43970,4666061,4967898,301837,301837,209735,,,,101413,113388,,136072,12098,,-3105,-1446
2014-03-19,4,2013,,,38245,3757,98950,214395,169994,0.72,,,70762,,,84334,,,461615,2013年01月01日至2013年12月31日,,461714,676109,467990,662274,397431,135045,18523499,19782375,1258876,1258876,861445,,6156.0,0.72,399830,461714,0.72,532476,51996,,-6276,13835
2014-05-07,1,2014,,,-7847,-3217,26283,-36246,-28399,0.14,,,14789,,,9297,,,114205,2014年01月01日至2014年03月31日,,88767,52521,92995,75647,80974,22582,4295115,4607667,312552,312552,231578,,,0.14,117373,88767,0.14,103556,15350,5569.0,-4228,-23126
2014-08-08,2,2014,,,-2806,18649,24127,-54048,-51242,0.18,,,14697,,,22703,,,127307,2014年第2季,,113511,59463,118086,62634,79589,48619,5261440,5578207,316767,316767,237178,,,0.18,109871,113511,0.18,128208,16860,,-4575,-3171
2014-11-05,3,2014,,,-23963,-5025,34372,50025,73988,0.23,,,6711,,,17462,,,115662,2014年第3季,,142686,192711,152060,197629,121079,28318,4934183,5286839,352656,352656,231577,,,0.23,115915,142686,0.23,149397,18491,,-9374,-4918
2015-03-18,4,2014,,,-34527,11684,119851,24213,81009,0.72,,,105770,,-1302.0,73250,,,457783,2014年度,,426735,450948,466759,510058,396375,136130,19137874,20431330,1293456,1293456,897081,,-20967.0,0.72,439298,426735,0.72,532505,68655,,-40024,-59110
2015-05-06,1,2015,,,25572,6911,60739,-1872,-27444,0.16,,-1872.0,8318,,,16242,,,76130,2015年01月01日至2015年03月31日,,101178,99306,106708,103962,40181,69315,3879744,4137840,258096,258096,217915,,,0.16,141785,101178,,109496,14577,,-5530,-4656
2015-08-05,2,2015,,,-12420,4622,44572,-51514,-39094,0.16,,-51514.0,18343,,,31899,,,118941,2015年第2季,,89083,37569,101069,49472,38885,68541,3912894,4179834,266940,266940,228055,,,0.16,109114,89083,,107426,12552,,-11986,-11903
2015-11-11,3,2015,,,-44572,-24273,47206,61296,105868,0.11,,61296.0,16362,,,15036,,,93614,2015年第3季,,59153,120449,73490,148525,49437,26078,3752709,3997660,244951,244951,195514,,,0.11,101900,59153,,75515,11891,,-14337,-28076
2016-03-23,4,2015,-44154.0,0.0,-27413,-20415,707687,-159273,-87676,1.02,0.0,-115119.0,170651,-1425.0,,54551,-30.0,-1425.0,403710,2015年度,0.0,687782,528509,662706,542852,163123,695310,15400122,16477374,1077252,1077252,914129,-42729.0,,1.02,510419,687782,1.02,858433,46513,,25076,-14343
2016-05-06,1,2016,,,-4199,-3124,29407,-12596,-8397,0.23,,-12596.0,32287,,,-5840,,,93935,2016年01月01日至2016年03月31日,,149676,137080,151226,128873,169039,12924,3698893,4075025,376132,376132,207093,,,0.23,113158,149676,,181963,7519,,-1550,8207
2016-08-11,2,2016,,,-17467,5615,31576,-107782,-90315,0.33,,-107782.0,75109,,,10966,,,108261,2016年第2季,,221515,113733,216805,128272,254294,42330,4043625,4526525,482900,482900,228606,,,0.33,120345,221515,,296624,5827,,4710,-14539
2016-11-04,3,2016,,,-20719,5073,38414,-121560,-100841,0.25,,-121560.0,44554,,,7851,,,101067,2016年第3季,,165326,43766,164997,46331,164637,45243,3665932,4044368,378436,378436,213799,,,0.25,112732,165326,,209880,6095,,329,-2565
