date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,金融資產重分類淨損益,銷貨成本合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益
2013-05-06,1,2013,,,16343,794,514,4656,30667,30667,-0.48,,,,-6526,0.0,82099,2013年01月01日至2013年03月31日,-62403,-31736,-62403,-31736,-82678,13749,1153824,1337056,183232,183232,265910,128513,,,-0.48,55298,-62403,-0.48,-68929,,,3388,,1153310,1332400,
2013-08-08,2,2013,,,8762,3040,1431,7305,21767,21767,-0.5,-0.5,8766.0,,-8324,0.0,71448,2013年04月01日至2013年06月30日,-64760,-42993,-64760,-42993,-81895,8811,1446086,1641138,195052,195052,276947,152187,,,,53312,-64760,,-73084,4.0,,2991,,1444655,1633833,
2013-11-06,3,2013,,,-13244,1689,439,6949,-10364,-10364,-0.5,-0.5,-10988.0,,3507,0.0,89629,2013年07月01日至2013年09月30日,-64852,-75216,-64852,-75216,-47031,-14314,1470722,1712319,241597,241597,288628,145359,,,,53640,-64852,,-61345,2256.0,,2759,,1470283,1705370,
2014-03-21,4,2013,,,28516,3180,2635,27938,59398,59455,-1.99,-1.99,30318.0,,-10067,0.0,307655,2013年01月01日至2013年12月31日,-258768,-199370,-258768,-199370,-287347,18512,5555092,6405244,850152,850152,1137499,569621,,-57.0,,260223,-258768,,-268835,2275.0,473.0,13184,,5552457,6377306,
2014-05-05,1,2014,,,-5721,819,392,3721,14558,14558,-0.71,,123.0,,0,0.0,62362,2014年01月01日至2014年03月31日,-92273,-77715,-92273,-77715,-84781,-7492,1106531,1261985,155454,155454,240235,122163,,,-0.71,55710,-92273,-0.71,-92273,5844.0,,2590,,1106139,1258264,
2014-08-06,2,2014,,,-2736,1242,54,21446,-19810,-19810,-2.76,-2.76,-2406.0,,15620,,70239,2014年第2季,-358966,-378776,-358966,-378776,-339157,-4189,1267400,1174937,-92463,-92463,246694,117167,,,,59288,-358966,,-343346,330.0,,2695,,1267346,1153491,
2014-11-04,3,2014,,,20141,1067,2907,3634,16495,16495,0.18,0.18,7189.0,,1465,0.0,71014,2014年第3季,22983,39478,22983,39478,5647,18801,1403718,1660240,256522,256522,250875,123082,,,,56779,22983,,24448,531.0,13483.0,2407,0.0,1400811,1656606,0.0
2015-03-16,4,2014,,,32437,2289,4352,30394,51174,51235,-4.33,-4.33,18686.0,,28013,0.0,280751,2014年度,-562437,-511263,-562437,-511263,-555107,20683,4980128,5394897,414769,414769,969876,480837,,-61.0,,208288,-562437,,-534424,9193.0,22944.0,14043,,4975776,5364503,
2015-08-06,2,2015,,-163.0,1105,202,74,5817,-11941,-11941,-0.19,-0.19,968.0,-11941.0,1932,,59147,2015年第2季,-25147,-37088,-25147,-37088,-21324,-1891,1167188,1356433,189245,189245,210569,102206,,,,49216,-25147,,-23215,26.0,,3198,,1167114,1350616,
2015-11-03,3,2015,,,-1619,560,15,2898,22355,22355,0.61,0.61,-4729.0,22355.0,0,-868.0,66835,2015年第3季,78772,101127,78772,101127,84256,-5484,1862080,2165875,303795,303795,219539,91903,,,,60801,78772,,78772,-342.0,2768.0,3557,0.0,1862065,2162977,0.0
2016-03-14,4,2015,-112.0,,-8158,1726,592,36187,-17086,-16974,0.3,0.3,-14898.0,-16974.0,5724,-2036.0,262920,2015年度,38825,21739,38825,21739,67204,-22655,5649530,6600486,950956,950956,883752,402082,-112.0,,,218750,38825,,44549,-70.0,6670.0,14187,,5648938,6564299,
2016-04-27,1,2016,,366.0,-10003,791,61,5778,-7092,-7092,0.11,,-9575.0,-7092.0,1067,-1466.0,56253,2016年01月01日至2016年03月31日,13830,6738,13830,6738,27713,-12816,1249329,1465735,216406,216406,188693,80407,,,0.11,52033,13830,0.11,14897,62.0,,2138,,1249268,1459957,
2016-08-08,2,2016,,150.0,-10965,943,27,4612,-21029,-21029,0.02,0.02,-10452.0,-21029.0,0,-1164.0,42475,2016年第2季,2780,-18249,2780,-18249,16411,-13631,1212559,1416180,203621,203621,187210,88511,,,,56224,2780,,2780,363.0,,2445,,1212532,1411568,
2016-11-07,3,2016,,465.0,-24201,735,3,4076,-29929,-29929,0.35,0.35,-22669.0,-29929.0,0,-611.0,64293,2016年第3季,45819,15890,45819,15890,71269,-25450,1592015,1877871,285856,285856,214587,91973,,,,58321,45819,,45819,1067.0,,1373,0.0,1592012,1873795,0.0
