date,season,year,不重分類至損益之項目總額,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）
2013-08-09,2,2013,,0,0,-2367,6279,9375,9375,0.88,,,7590,5688,60405,2013年01月01日至2013年06月30日,,49475,58850,49475,58850,51069,5996,755926,985807,229881,229881,178812,7590,32852,,0.87,,85555,49475,57065,,0,,3604,755926,755926,994066,994066,985807,8259,
2014-03-07,4,2013,,,0,1516,16713,450,450,4.25,4.25,,57166,14344,145302,2013年01月01日至2013年12月31日,,238207,238657,238207,238657,270775,24598,1682245,2367738,685493,685493,414718,57166,85151,,4.21,4.21,184265,238207,295373,,0,,7975,,,2383293,2383293,2367738,15555,0
2014-08-07,2,2014,,,,-15767,4469,-4580,-4580,1.49,,,20988,4086,41288,2014年第2季,,91773,87193,91773,87193,121596,-8835,450934,695908,244974,244974,123378,20988,26734,,1.48,,55356,91773,112761,,0,,1623,,,,,,,
2015-03-25,4,2014,,,,38878,17265,11805,11805,8.01,8.01,,128191,24520,183814,2014年度,,494193,505998,494193,505998,548648,73736,1967836,3119183,1151347,1151347,602699,128191,136302,,7.96,7.96,282583,494193,622384,,0,,6927,,,3150791,3150791,3119183,31608,
2015-08-07,2,2015,,,,-16140,5047,-809,-809,1.36,,-809,17085,3320,23465,2015年第2季,17085,84031,83222,84031,83222,110097,-8981,503088,756720,253632,253632,143535,,46976,,1.36,,73094,84031,101116,,,0,1208,,,781876,781876,756720,25156,
2015-11-11,3,2015,,,,59807,4578,5851,5851,2.77,,5851,70572,12121,29283,2015年第3季,70572,188118,193969,188118,193969,183168,75522,650496,987118,336622,336622,153454,,49213,,2.77,,74958,188118,258690,,,0,984,,650496,1006632,1006632,987118,19514,
2016-03-15,4,2015,-292,0,,44256,20252,-25885,-25593,7.53,,-25593,141234,26578,115332,2015年度,141234,511381,485496,511381,485496,565512,87103,2204017,3322622,1118605,1118605,553093,,139737,-292,7.49,,298024,511381,652615,0,,0,3983,,2204017,3399741,3399741,3322622,77119,0
2016-05-10,1,2016,,,,-15446,6895,11792,11792,0.57,,11792,26723,-3442,32291,2016年01月01日至2016年03月31日,26723,43722,55514,43722,55514,83122,-12677,464451,669413,204962,204962,121840,,25082,,0.56,,64467,43722,70445,,,,684,,464451,678117,678117,669413,8704,
2016-08-04,2,2016,,,,2447,26722,-9829,-9829,0.88,,-9829,20879,-2989,18028,2016年第2季,20879,67569,57740,67569,57740,62908,25540,460763,631104,170341,170341,107433,,17306,,0.88,,72099,67569,88448,,,,640,,460763,639311,639311,631104,8207,
2016-11-07,3,2016,,,,-21692,8400,-31250,-31250,0.36,,-31250,18142,-1781,27743,2016年第3季,18142,27825,-3425,27825,-3425,61763,-15796,481034,629691,148657,148657,86894,,22707,,0.36,,36444,27825,45967,,,,723,,481034,645177,645177,629691,15486,
