date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,15570,2319,68688,0.0,68688,-0.28,,0,,,20474,2013年01月01日至2013年03月31日,-31409,37279,-31409,37279,-49298,17889,464512,514182,49670,49670,98968,40378,,,-0.28,38116,-31409,-31409,,,0.0,,,0.0,515790.0,514182.0,1608.0,0.0,0.0
2013-05-14,1,2014,,20788,3309,7287,,7287,-0.28,,134,,,20680,2014年01月01日至2014年03月31日,-30992,-23705,-30992,-23705,-54954,24096,491129,541918,50789,50789,105743,42422,,,-0.28,42641,-30992,-30858,,,1.0,,,0.0,543605.0,541918.0,1687.0,0.0,0.0
2013-08-05,2,2013,,13516,2051,-9089,,-9089,-0.16,,4894,,,28896,2013年04月01日至2013年06月30日,-18176,-27265,-18176,-27265,-28849,15567,621488,708348,86860,86860,115709,42498,,,-0.16,44315,-18176,-13282,,,0.0,621488.0,621488.0,0.0,708739.0,708348.0,391.0,,
2013-11-06,3,2013,,8973,1861,-15883,,-15883,-0.07,,671,,,26521,2013年07月01日至2013年09月30日,-7972,-23855,-7972,-23855,-18135,10834,565577,661364,95787,95787,113922,40944,,,-0.07,46457,-7972,-7301,,,0.0,565577.0,565577.0,0.0,662531.0,661364.0,1167.0,,
2014-03-20,4,2013,,47171,10111,66490,,64416,-0.58,,2689,,,104937,2013年01月01日至2013年12月31日,-64246,2244,-64246,2244,-118839,57282,2225797,2552588,326791,326791,445630,167845,,2074.0,-0.58,172848,-64246,-61557,0.0,,0.0,2225797.0,2225797.0,3924.0,2556682.0,2552588.0,170.0,,
2014-08-12,2,2014,,-5491,3888,-26272,,-26272,0.01,,986,,,24732,2014年第2季,1349,-24923,1349,-24923,3938,-1603,545193,663068,117875,117875,113937,45512,,,0.01,43693,1349,2335,,,0.0,545193.0,545193.0,,,,,,
2014-11-06,3,2014,,17253,2908,31014,,31014,0.29,,0,,,36416,2014年第3季,32016,63030,32016,63030,11855,20161,698065,834660,136595,136595,124740,44586,,,0.29,43738,32016,32016,0.0,,0.0,698065.0,698065.0,,,834660.0,,,
2015-03-06,4,2014,,39930,14478,62749,,61725,0.37,,14701,,,114896,2014年度,41349,104098,41349,104098,1643,54407,2474698,2948597,473899,473899,472256,179864,,1024.0,0.37,177496,41349,56050,0.0,,1.0,,,,,,,,
2015-05-08,1,2015,,-8055,2265,-10572,,-10572,-0.29,-10572.0,11,,,24007,2015年01月01日至2015年03月31日,-31950,-42522,-31950,-42522,-26149,-5790,449604,526759,77155,77155,103304,36897,,,-0.29,42400,-31950,-31939,,0.0,0.0,,,,,,,,
2015-08-11,2,2015,,-267,2116,-20153,,-20153,-0.25,-20153.0,596,,,28018,2015年第2季,-27755,-47908,-27755,-47908,-29008,1849,525039,608426,83387,83387,112395,40472,,,-0.25,43905,-27755,-27159,,0.0,0.0,,,,,,,,
2015-11-06,3,2015,,23381,2527,68193,,68193,0.37,68193.0,3,,,30978,2015年第3季,40841,109034,40841,109034,14942,25902,638765,772108,133343,133343,118401,42145,,,0.37,45278,40841,40844,,,6.0,638765.0,638765.0,,,772108.0,,,
2016-03-16,4,2015,270.0,2863,8713,-1067,,-1337,0.08,-1337.0,4176,,,111509,2015年度,9359,8292,9359,8292,1965,11570,2243015,2696873,453858,453858,451893,163499,270.0,,0.08,176885,9359,13535,,0.0,6.0,,,,,,,,
2016-05-05,1,2016,,-11117,1646,-13666,,-13666,-0.25,-13666.0,260,,,26220,2016年01月01日至2016年03月31日,-27397,-41063,-27397,-41063,-17666,-9471,439001,534825,95824,95824,113490,41156,,,-0.25,46114,-27397,-27137,,0.0,0.0,,,,,,,,
2016-08-11,2,2016,,14964,2258,-23756,,-23756,0.35,-23756.0,262,,,25164,2016年第2季,38387,14631,38387,14631,21427,17222,589376,718326,128950,128950,107523,37310,,,0.35,45049,38387,38649,,,,,,,,,,,
2016-11-10,3,2016,,-8594,2178,-44262,,-43962,0.29,-44262.0,5167,-142.0,-300.0,28573,2016年第3季,30291,-13971,30291,-13971,42016,-6558,648820,798111,149291,149291,107275,38273,,,0.29,40429,30291,35458,,,0.0,648820.0,648820.0,,,798111.0,,,
