date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,,1565,2121,44378,44378,-0.15,,-12119,,,-53,87237,2013年01月01日至2013年03月31日,-14082,30296,,-13471,30907,-22538,-3663,807285,918121,110836,110836,133374,,0.0,46137,-14082,-26201,,0.0,,,7296,,-611,-611
2013-08-07,2,2013,,,,5267,2206,21707,21707,0.4,,5386,,,28,107753,2013年04月01日至2013年06月30日,34751,56458,,35152,56861,40824,-687,1039964,1242085,202121,202121,161297,,0.4,53544,34751,40137,,0.0,,,8188,,-401,-403
2013-11-13,3,2013,,,,13415,1905,-18372,-18372,0.03,,-3590,,,-8,94724,2013年07月01日至2013年09月30日,2317,-16055,,2290,-16089,-4791,3518,853672,992934,139262,139262,144053,,0.03,49329,2317,-1273,,0.0,,,11794,,27,34
2014-03-26,4,2013,,,4777.0,28760,11679,76210,71433,0.24,,-17696,,,-41,411411,2013年01月01日至2013年12月31日,19968,96178,,21332,97535,-785,3057,3522860,4129704,606844,606844,607629,,0.24,196218,19968,2272,,0.0,,,37341,,-1364,-1357
2014-05-13,1,2014,,,493.0,-15853,915,1433,940,-0.15,,-14863,,,0,103227,2014年01月01日至2014年03月31日,-14076,-12643,,-13431,-12001,-6444,-22495,701363,842221,140858,140858,147302,,,44075,-14076,-28939,,0.0,,,7557,,-645,-642
2014-08-13,2,2014,,,2709.0,-24293,13831,-23563,-26272,0.02,,-1709,,,-118,112433,2014年第2季,1333,-22230,,1511,-22056,20098,-20474,1003594,1187379,183785,183785,163687,,0.02,51254,1333,-376,,0.0,,,9894,,-178,-174
2014-11-12,3,2014,,,716.0,4195,11007,32685,31969,0.14,,10850,,,-710,98943,2014年第3季,12185,44870,,12078,44773,16807,6228,988152,1156145,167993,167993,151186,,0.14,52243,12185,23035,,0.0,,,8264,,107,97
2015-03-25,4,2014,,,4779.0,-127535,28637,51708,46929,-1.49,,16450,,,-2182,457074,2014年度,-131630,-79922,,-130945,-79228,23459,-138639,3675680,4356304,680624,680624,657165,,-1.49,200091,-131630,-115180,,0.0,,,37559,,-685,-694
2015-05-12,1,2015,,,3912.0,-6467,2569,-8761,-12673,-0.45,-8761.0,-7666,,,-187,126383,2015年01月01日至2015年03月31日,-39309,-48070,,-39299,-48063,-35166,-11809,808572,952165,143593,143593,178759,,,52376,-39309,-46975,,,0.0,,7724,,-10,-7
2015-08-13,2,2015,0.0,0.0,-4141.0,-231,366,-20345,-16204,0.18,-20345.0,3381,0.0,0.0,-569,123843,2015年第2季,15496,-4849,0.0,15508,-4840,27531,-8654,934998,1133654,198656,198656,171125,0.0,,47282,15496,18877,0.0,,,0.0,8220,0.0,-12,-9
2015-11-11,3,2015,,,-2146.0,-33653,205,47514,49660,-0.95,47514.0,-74,,,-184,120218,2015年第3季,-83655,-36141,,-83644,-36119,-45675,-38054,779502,902830,123328,123328,169003,,-0.95,48785,-83655,-83729,,,0.0,,4422,,-11,-22
2016-03-25,4,2015,,,-2045.0,-85462,4785,-9825,-7780,-1.7,-9825.0,-17830,,,-1666,480238,2015年度,-148661,-158486,,-148618,-158448,-60108,-106383,3159212,3775398,616186,616186,676294,,-1.7,196056,-148661,-166491,,,0.0,,24040,,-43,-38
2016-05-06,1,2016,,,2655.0,5315,772,-6042,-8697,-0.25,-6042.0,716,,,-721,87437,2016年01月01日至2016年03月31日,-22231,-28273,,-22157,-28202,-23489,1974,733632,838806,105174,105174,128663,,,41226,-22231,-21515,,,0.0,,3392,,-74,-71
2016-08-10,2,2016,,,-1040.0,-34295,2575,-16452,-15412,0.05,-16452.0,761,,,-318,81566,2016年第2季,4946,-11506,,4479,-11968,41081,-35374,771461,934304,162843,162843,121762,,,40196,4946,5707,,,,,3336,,467,462
2016-11-09,3,2016,,,-1157.0,-2724,1999,-29318,-28161,0.32,-29318.0,14276,,,0,69471,2016年第3季,27872,-1446,,27897,-1425,46491,-4343,815137,964800,149663,149663,103172,,0.32,33701,27872,42148,,,0.0,,3618,,-25,-21
