date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,,28849,-167498,97622,548,1281197,1110735,-0.4,,14196,,,141613.0,,105718.0,-105718,,627819,2013年01月01日至2013年03月31日,-1046398,234799,,-953740,211358,-694559,-337643,7296786,7730138,433352,433352,1128459,79436,,,421204,-1046398,-1032202,,0.0,,,162049,,-92658,23441
2013-08-12,2,2013,,,-10287,29794,97901,-381,916649,808804,-0.34,,-34943,,,118132.0,,114885.0,-114885,,673238,2013年04月01日至2013年06月30日,-857999,58650,,-796804,34569,-711420,-181522,8176831,8592920,416089,416089,1127128,83307,,,370583,-857999,-892942,,0.0,,,194332,,-61195,24081
2013-11-11,3,2013,,,14824,134962,162748,-238,-359923,-364898,-0.16,,22194,,,-9849.0,,50815.0,-50815,,718377,2013年07月01日至2013年09月30日,-428813,-788736,,-384365,-708144,-463912,57293,8975956,9798373,822417,822417,1286091,82242,,,485472,-428813,-406619,,0.0,,,189602,,-44448,-80592
2014-03-24,4,2013,,,14503,-4825,2597785,-13,2690954,2220088,-0.38,,583111,,,324349.0,,346152.0,-346152,,2739874,2013年01月01日至2013年12月31日,-1003926,1687028,,-896175,1565866,-2001036,1580221,34311032,37085123,2774091,2774091,4775114,366170,,159053.0,1669070,-1003926,-420815,,27039.0,,,666587,,-107751,121162
2014-05-12,1,2014,,,-10803,-255416,110998,1842,572794,544353,-0.55,,-8176,,,39244.0,,429775.0,-429775,,718061,2014年01月01日至2014年03月31日,-1444977,-872183,,-1306719,-785691,-643208,-809945,8444620,9104030,659410,659410,1304460,78453,,,507946,-1444977,-1453153,,0.0,,,235752,,-138258,-86492
2014-08-11,2,2014,,,12546,224928,107086,612,-885496,-823919,-0.2,,103917,,,-74123.0,,366205.0,-366205,,797676,2014年第2季,-576199,-1461695,,-466550,-1273024,-171778,-300504,9674974,10859702,1184728,1184728,1357118,56107,,,503335,-576199,-472282,,0.0,,,266313,,-109649,-188671
2014-11-10,3,2014,,,-7167,2069667,84204,2377,813282,748923,0.52,,-19904,,,71526.0,,239544.0,-239544,,743942,2014年第3季,1133265,1946547,,1241690,1983816,-583695,1697056,10217600,10932932,715332,715332,1301404,58636,,,498826,1133265,1113361,,0.0,,,217271,,-108425,-37269
2015-03-23,4,2014,,,6578,3858987,396685,-119602,2233005,2349198,0.06,,157411,,,197522.0,,1170515.0,-1170515,,3048233,2014年度,-323792,1909213,,153261,2169520,-2497115,2330734,38785381,41570020,2784639,2784639,5162152,265146,,-385895.0,1848773,-323792,-166381,,-65602.0,,,754423,,-477053,-260307
2015-05-11,1,2015,0.0,0.0,17442,-65531,243375,2043,-610944,-625196,-0.51,-610944.0,-13353,0.0,0.0,,,221345.0,-221345,-3190.0,768418,2015年01月01日至2015年03月31日,-1336833,-1947777,0.0,-1204188,-1742937,-1093277,-256909,8811008,8960652,149644,149644,1244964,82978,0.0,,393568,-1336833,-1350186,0.0,,0.0,0.0,213408,0.0,-132645,-204840
2015-08-10,2,2015,,,15543,61317,165076,-2683,-410369,-399295,-0.3,-410369.0,68930,,,,16472.0,0.0,16472,-26617.0,740242,2015年第2季,-811422,-1221791,,-720513,-1115697,-776036,33544,9643370,10085646,442276,442276,1215629,68036,,,407351,-811422,-742492,,,0.0,,209321,,-90909,-106094
