date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-1024.0,-36592,17880,245157,246181,0.38,0.38,,35148,-138,64269,2013年01月01日至2013年03月31日,141930,387087,132526,354917,202935,-25857,2410106,2840391,430285,430285,227350,57045,,,0.37,0.37,106036,141930,177078,,,,7007,9404,32170
2013-08-12,2,2013,,2053.0,-38538,6851,133476,131423,-0.11,-0.11,,16812,-486,65720,2013年04月01日至2013年06月30日,-41489,91987,-37106,82635,14732,-39409,2525393,2787837,262444,262444,247712,57192,,,-0.11,-0.11,124800,-41489,-24677,,,,7236,-4383,9352
2013-11-13,3,2013,,400.0,-11744,16783,-101570,-101970,-0.02,-0.02,,30499,-813,76023,2013年07月01日至2013年09月30日,-7304,-108874,-6133,-98639,30238,-7043,3073230,3356625,283395,283395,253157,62303,,,-0.02,-0.02,114831,-7304,23195,,,,11269,-1171,-10235
2014-03-28,4,2013,,2912.0,-210725,64389,432148,428477,0.3,0.3,,98721,-1529,292442,2013年01月01日至2013年12月31日,99647,531795,104790,493924,377940,-179572,11380862,12794636,1413774,1413774,1035834,255921,,914.0,0.29,0.29,487471,99647,198368,,155.0,,31707,-5143,37871
2014-05-14,1,2014,,2493.0,-26502,6436,-6570,-9063,0.16,0.16,,15542,-320,74564,2014年01月01日至2014年03月31日,65853,59283,55547,53810,113851,-32456,2931909,3310361,378452,378452,264601,84062,,,0.16,0.16,105975,65853,81395,,,,12070,10306,5473
2014-08-13,2,2014,,0.0,36287,20293,-164055,-164055,0.53,0.53,,30663,-942,67473,2014年第2季,190716,26661,187494,38360,176489,44890,3272064,3722364,450300,450300,273811,112312,,,0.53,0.53,94026,190716,221379,,,,10748,3222,-11699
2014-11-12,3,2014,,11321.0,-38260,21606,155484,144163,0.66,0.66,,128042,-1706,92858,2014年第3季,240212,395696,233783,442108,397638,-29384,3985699,4681988,696289,696289,298651,8943,,,0.66,0.66,196850,240212,368254,,,,11024,6429,-46412
2015-03-27,4,2014,,13814.0,-73656,57324,299650,283505,1.95,1.95,,262369,-6111,335726,2014年度,724387,1024037,692107,1039489,1050954,-64198,14131697,16300819,2169122,2169122,1118168,267514,,2809.0,1.94,1.94,514928,724387,986756,,478.0,,41755,32280,-15452
2015-05-13,1,2015,,0.0,32175,15581,-92451,-92451,0.33,0.33,-92451.0,43732,-731,74538,2015年01月01日至2015年03月31日,121159,28708,115923,30939,125683,39208,3278752,3676840,398088,398088,272405,66337,,,0.32,0.32,131530,121159,164891,,,,7817,5236,-2231
2015-08-13,2,2015,,0.0,7655,24896,-139666,-139666,0.1,0.1,-139666.0,112232,-561,113742,2015年第2季,27692,-111974,33641,-94308,111650,28274,3514693,3924558,409865,409865,298215,71490,,,0.09,0.09,112983,27692,139924,,,0.0,3716,-5949,-17666
2015-11-11,3,2015,0.0,0.0,76117,16465,442695,442695,0.81,0.81,442695.0,110257,0,108069,2015年第3季,286340,729035,284536,708047,308845,87752,3901421,4530826,629405,629405,320560,72274,0.0,,0.8,0.8,140217,286340,396597,,,0.0,4830,1804,20988
2016-03-29,4,2015,-3947.0,0.0,159226,58295,-80478,-76531,2.35,2.35,-76531.0,383752,-1292,485696,2015年度,814213,733735,813323,733584,1003359,194606,14644292,16931922,2287630,2287630,1284271,291778,-4756.0,,2.32,2.32,506797,814213,1197965,-809.0,,,21623,890,151
2016-05-11,1,2016,,,9494,7636,-72489,-72489,0.58,0.58,-72489.0,55651,0,81603,2016年01月01日至2016年03月31日,167369,94880,175332,106386,212281,10739,2796007,3270311,474304,474304,262023,61705,,,0.58,0.58,118715,167369,223020,,,,6391,-7963,-11506
2016-08-11,2,2016,,,48783,18693,-215353,-215353,0.39,0.39,-215353.0,124829,0,82029,2016年第2季,100910,-114443,116198,-79144,165482,60257,2983014,3409268,426254,426254,260772,66312,,,0.38,0.38,112431,100910,225739,,,,7219,-15288,-35299
2016-11-08,3,2016,,,2392,15251,-303575,-303575,0.52,0.52,-303575.0,78255,0,160770,2016年第3季,129948,-173627,142341,-137744,193148,15055,3011741,3583412,571671,571671,378523,67247,,,0.51,0.51,150506,129948,208203,,,,2588,-12393,-35883
