date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,,23497.0,-6174,11652,67262,,43765,-0.35,,34,,,-863,,19514,2013年01月01日至2013年03月31日,-40874,26388,,-40862,26261,-42188,1348,418485,454631,36146,36146,78334,19340,,,-0.35,39480,-40874,-40840,,0.0,,,3267,,-12,127
2013-08-09,2,2013,,,0.0,15997,20411,27988,,27988,0.22,,1285,,,-5489,,27796,2013年04月01日至2013年06月30日,23100,51088,,25539,53489,-3354,27739,714059,813875,99816,99816,103170,25030,,,0.22,50344,23100,24385,,0.0,,,3180,,-2439,-2401
2013-11-12,3,2013,,,0.0,-27154,18479,-18330,,-18330,0.23,,4010,,,201,,28771,2013年07月01日至2013年09月30日,15727,-2603,,26460,8218,31378,-11641,661809,826927,165118,165118,133740,28892,,,0.23,76077,15727,19737,,0.0,,,3167,,-10733,-10821
2014-03-11,4,2013,,,23497.0,-195339,53370,112110,,84903,-1.42,,19582,,,-6417,,110436,2013年01月01日至2013年12月31日,-250764,-138654,,-162271,-50302,-68821,-162361,2364010,2735952,371942,371942,440763,108892,,3710.0,-1.42,221435,-250764,-231182,,0.0,,,13975,,-88493,-88352
2014-05-06,1,2014,,,0.0,28613,13348,9522,,9522,0.06,,2777,,,-299,,32644,2014年01月01日至2014年03月31日,3614,13136,,6390,15781,-29748,36139,589042,670396,81354,81354,111102,30412,,,0.05,48046,3614,6391,,0.0,,,5523,,-2776,-2645
2014-08-05,2,2014,,,0.0,-33726,10777,-34805,,-34805,-0.12,,6425,,,-291,,36092,2014年第2季,-18014,-52819,,-15326,-50016,15208,-26797,657132,789136,132004,132004,116796,32187,,,-0.12,48517,-18014,-11589,,0.0,,,3557,,-2688,-2803
2014-11-04,3,2014,,,-498.0,15890,11309,35906,,36404,0.01,,5494,,,-962,,40144,2014年第3季,915,36821,,962,35758,-16553,22962,721602,826624,105022,105022,121575,32445,,,0.01,48986,915,6409,,0.0,,,3275,,-47,1063
2015-03-10,4,2014,,,-551.0,15217,47369,111227,15976.0,108666,-0.34,,-10573,,,-2954,,162419,2014年度,-51760,59467,,-42958,63693,-105989,43656,2571560,2947217,375657,375657,481646,125741,,3112.0,,193486,-51760,-62333,,0.0,,,15976,,-8802,-4226
2015-04-28,1,2015,,,103.0,-17622,22033,-33148,,-33251,0.03,-33148.0,4584,,,-1261,,58825,2015年01月01日至2015年03月31日,3614,-29534,,4474,-27473,8819,-621,824885,961829,136944,136944,128125,23702,,,0.03,45598,3614,8198,,,0.0,,3771,,-860,-2061
2015-08-10,2,2015,,,,-24573,14008,-20358,,-20023,-0.12,-20358.0,10375,,,-1419,-335.0,46271,2015年第2季,-18465,-38823,,-15240,-35081,7513,-15603,810521,949658,139137,139137,131624,29676,,,,55677,-18465,-8090,,,0.0,,3619,,-3225,-3742
2015-11-03,3,2015,,,0.0,20391,12363,61045,,61045,0.01,61045.0,5764,,,-344,0.0,35222,2015年第3季,-3160,57885,,1630,59808,-26038,28642,683246,772209,88963,88963,115001,26223,,,,53556,-3160,2604,,,0.0,,3768,,-4790,-1923
2016-03-08,4,2015,-2182.0,-2182.0,-709.0,-90606,36170,-51556,13467.0,-48665,-1.07,-49374.0,15737,,,-6746,0.0,174990,2015年度,-148443,-199999,,-135982,-186690,-58057,-74649,2980465,3402379,421914,421914,479971,104023,,,,200958,-148443,-132706,,,0.0,,13467,,-12461,-13309
2016-05-03,1,2016,0.0,0.0,-49.0,-19781,5879,-36713,,-36664,-0.26,-36713.0,3930,0.0,0.0,-2667,,27238,2016年01月01日至2016年03月31日,-33468,-70181,0.0,-32393,-67691,-11644,-17894,670407,762144,91737,91737,103381,23478,0.0,,0.0,52665,-33468,-29538,0.0,,0.0,0.0,1325,0.0,-1075,-2490
2016-08-09,2,2016,,,0.0,-51485,5918,-56567,,-56567,-0.43,-56567.0,5706,,,-680,,28656,2016年第2季,-62566,-119133,,-52753,-107179,-9443,-47417,874564,969580,95016,95016,104459,25979,,,,49824,-62566,-56860,,,0.0,,1170,,-9813,-11954
2016-11-01,3,2016,,,0.0,-17427,7394,-87776,,-87776,0.16,-87776.0,3724,,,0,0.0,27424,2016年第3季,21432,-66344,,19708,-69087,36327,-11171,728547,869481,140934,140934,104607,23556,,,,53627,21432,25156,,,0.0,,1138,,1724,2743
