date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,8766,1830,7916,9537,0.7,6085,,15585,-1054,47435,2013年01月01日至2013年03月31日,5637,63843,71759,63843,71759.0,70888,8540,233661,400918,167257,167705,96817,16859,,,0.7,32523,63843,79428,,1621.0,,1002,,400918.0,0.0,0.0
2013-08-09,2,2013,,6425,1543,2514,3030,0.59,0,,16878,-1586,49946,2013年04月01日至2013年06月30日,-84,53480,55994,53480,,66324,4034,262083,431777,169694,169778,103454,18238,,,0.59,35270,53480,70358,,516.0,,2348,262083.0,431777.0,0.0,55994.0
2013-11-11,3,2013,,-7081,4406,-5277,-6359,0.56,0,,13982,-161,44821,2013年07月01日至2013年09月30日,-501,50753,45476,50753,45476.0,70594,-5859,265629,432934,167305,167806,97212,18628,,,0.55,33763,50753,64735,,-1082.0,,3023,,432934.0,0.0,0.0
2014-03-25,4,2013,,12834,9841,12455,9250,2.41,6085,,61230,-3632,193960,2013年01月01日至2013年12月31日,5430,219734,232189,219734,232189.0,271019,9945,1048360,1725652,677292,677947,406928,72818,,5757.0,2.4,140150,219734,280964,,2552.0,,9098,,1725652.0,,
2014-05-06,1,2014,,8006,2853,11578,13949,0.84,5430,,17524,-1615,49863,2014年01月01日至2014年03月31日,5549,76899,88477,76899,88477.0,87745,6678,259729,451608,191879,191760,104015,18977,,,0.84,35175,76899,94423,,2371.0,,2566,,451608.0,0.0,0.0
2014-08-08,2,2014,,-6966,2004,-11438,-13780,0.7,0,,13685,-2134,59852,2014年第2季,906,63622,52184,63622,52184.0,88206,-10899,272831,483379,210548,209642,121436,22791,,,0.7,38793,63622,77307,,-2342.0,,3803,,483379.0,0.0,0.0
2014-11-07,3,2014,,5306,1874,10523,12678,0.65,0,,17125,-4558,55860,2014年第3季,-958,58850,69373,58850,69373.0,78347,-2372,272235,460274,188039,188997,110650,21773,,,0.64,33017,58850,75975,,2155.0,,4994,,460274.0,0.0,0.0
2015-03-20,4,2014,,24671,12060,36250,39370,3.08,5430,,69083,-9038,216293,2014年度,4602,280284,316534,280284,316534.0,338246,11121,1074718,1857185,782467,783295,445049,85589,,4304.0,3.05,143167,280284,349367,,7424.0,,16572,,1857185.0,0.0,0.0
2015-05-08,1,2015,,-6954,2563,-6610,-7964,0.63,4602,-6610.0,14943,-1904,50587,2015年01月01日至2015年03月31日,3225,57433,50823,57433,50823.0,83634,-11258,258008,447296,189288,190665,107031,19130,,,0.63,37314,57433,72376,,,-1354.0,4963,258008.0,447296.0,0.0,0.0
2015-08-07,2,2015,,-5811,1467,-8253,-9943,0.81,0,-8253.0,21244,-2335,58458,2015年第2季,2790,73595,65342,73595,65342.0,106290,-11451,296905,519757,222852,220062,113772,17505,,,0.81,37809,73595,94839,,,-1690.0,4772,,519757.0,,
2015-11-06,3,2015,,29826,1307,37203,44823,1.0,0,37203.0,22618,-2457,63898,2015年第3季,-954,90865,128068,90865,128068.0,90038,23445,277432,482460,205028,205982,115944,20823,,,0.99,31223,90865,113483,,,7620.0,5231,,,0.0,0.0
2016-03-14,4,2015,-6002.0,144900,12146,16184,26730,3.7,4602,22186.0,76822,-74930,225125,2015年度,3871,336925,353109,336925,353109.0,351494,62253,1079595,1908821,829226,829957,478463,78000,-7231.0,,3.67,175338,336925,413747,-1229.0,,4544.0,19863,,,0.0,0.0
2016-05-06,1,2016,,-7544,5681,-12340,-14867,1.04,3871,-12340.0,20873,-233,52653,2016年01月01日至2016年03月31日,3007,94949,82609,94949,82609.0,122250,-6428,250148,483635,233487,234351,112101,19521,,,1.04,39927,94949,115822,,,-2527.0,4332,,483635.0,0.0,0.0
2016-08-08,2,2016,,532,5826,1829,2203,1.18,0,1829.0,26946,-1565,51726,2016年第2季,98,107386,109215,107386,109215.0,133365,967,263037,509750,246713,246615,113250,20255,,,1.17,41269,107386,134332,,,374.0,3826,,509750.0,0.0,0.0
2016-11-07,3,2016,,-18055,5586,-17702,-21328,0.89,0,-17702.0,17526,-1389,58879,2016年第3季,1293,80217,62515,80217,62515.0,115641,-17898,238248,468012,229764,228471,112830,17371,,,0.88,36580,80217,97743,,,-3626.0,4040,,468012.0,0.0,0.0
