date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,82496,-391,2213,-1564.0,90132,9200,0.1,0.1,,,4142,22714,2013年01月01日至2013年03月31日,,18277,108409,18277,108409,24773,-2354,2175544,2252473,76929,76929,52156,,,0.1,0.1,29442,18277,22419,,,4176,2175544,2252473,0,0
2013-08-06,2,2013,,-12701,3576,2590,-1275.0,-6475,7501,0.14,0.14,,,5816,22457,2013年04月01日至2013年06月30日,,25272,18797,25272,18797,28818,2270,2509211,2590115,80904,80904,52086,,,0.14,0.14,29629,25272,31088,,,3896,2509211,2590115,0,0
2013-10-25,3,2013,,83687,-23186,28404,665.0,80441,-3911,0.26,0.26,0.0,,9810,19803,2013年07月01日至2013年09月30日,0.0,47094,127535,47094,127535,56209,695,2417991,2523238,105247,105247,49038,,,0.26,0.26,29235,47094,56904,,,4523,2417991,2523238,0,0
2014-03-18,4,2013,,224416,-16927,36151,-3433.0,239231,20196,0.68,0.68,,,22193,93758,2013年01月01日至2013年12月31日,,124389,363620,124389,363620,144198,2384,9669892,10022368,352476,352476,208278,,-1948.0,0.68,0.68,114520,124389,146582,,,16840,9669892,10022368,0,0
2014-04-29,1,2014,,-41123,9940,5070,-1036.0,-36060,6099,0.17,0.17,,,6339,26170,2014年01月01日至2014年03月31日,,31414,-4646,31414,-4646,27003,10750,2300282,2380445,80163,80163,53160,,,0.17,0.17,26990,31414,37753,,,4260,2300282,2380445,0,0
2014-08-05,2,2014,,119053,-9403,2622,1593.0,111271,-9375,0.11,0.11,,,7929,27519,2014年第2季,,19800,131071,19800,131071,38929,-11200,2569525,2662430,92905,92905,53976,,,0.11,0.11,26457,19800,27729,,,4419,2569525,2662430,0,0
2014-10-29,3,2014,,16621,-19095,40659,-1478.0,23838,8695,0.47,0.47,,,9694,31574,2014年第3季,,85316,109154,85316,109154,78271,16739,2706937,2846156,139219,139219,60948,,,0.47,0.47,29374,85316,95010,,,4825,2706937,2846156,0,0
2015-03-13,4,2014,,74143,-6918,50682,-4648.0,97024,27343,0.94,0.94,,,32984,126596,2014年度,,171699,268723,171699,268723,177602,27081,10058582,10472666,414084,414084,236482,,186.0,0.94,0.94,109886,171699,204683,,,16683,10058582,10472666,0,0
2015-04-21,1,2015,,17136,-1446,2623,,11036,-7350,0.19,0.19,,11036.0,5948,32571,2015年01月01日至2015年03月31日,,33926,44962,33926,44962,42257,-2383,2197568,2300097,102529,102529,60272,,,0.19,0.19,27701,33926,39874,,-1250.0,3560,2197568,2300097,0,0
2015-08-11,2,2015,,-2005,6869,3141,,-5853,-4636,0.17,0.17,,-5853.0,9263,28648,2015年第2季,,30013,24160,30013,24160,32788,6488,2221697,2310080,88383,88383,55595,,,0.16,0.16,26947,30013,39276,,-788.0,3522,2221697,2310080,0,0
2015-11-10,3,2015,,-182209,26762,36860,,-172698,11460,0.57,0.57,,-172698.0,10655,31530,2015年第3季,,104046,-68652,104046,-68652,54212,60489,2168583,2283739,115156,115156,60944,,,0.57,0.57,29414,104046,114701,,1949.0,3133,2168583,2283739,0,0
2016-03-11,4,2015,-853.0,-176284,25021,55226,,-186255,-10986,1.11,1.11,,-185402.0,34403,130837,2015年度,,201974,15719,201974,15719,169577,66800,8669595,9077893,408298,408298,238721,-1389.0,,1.11,1.11,107884,201974,236377,-536.0,-1868.0,13447,8669595,9077893,0,0
2016-05-10,1,2016,,33021,-10776,1946,,27067,-7174,0.11,0.11,,27067.0,4811,34297,2016年01月01日至2016年03月31日,,19056,46123,19056,46123,35750,-11883,1949783,2045886,96103,96103,60353,,,0.11,0.11,26056,19056,23867,,-1220.0,3053,1949783,2045886,0,0
2016-08-09,2,2016,,54938,-702,9683,,45792,-11019,0.28,0.28,,45792.0,15845,29256,2016年第2季,,51063,96855,51063,96855,61146,5762,2020917,2138487,117570,117570,56424,,,0.28,0.28,27168,51063,66908,,-1873.0,3219,2020917,2138487,0,0
2016-11-08,3,2016,,48187,-17906,46348,,34215,-16834,0.47,0.47,,34215.0,5936,26708,2016年第3季,,85745,119960,85745,119960,66785,24896,2088465,2208348,119883,119883,53098,,,0.47,0.47,26390,85745,91681,,-2862.0,3546,2088465,2208348,0,0
