date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-24,1,2013,,1622,6896,5848,2550,928,0.16,,13819,-134.0,,,55800,2013年01月01日至2013年03月31日,32359,34909,32359,34909,33568,12610,490268,813803,323535,323535,289967,168553,,,0.16,65614,32359,46178,,,,813803,,
2013-08-01,2,2013,,-1410,476,5809,-1321,89,0.21,,17780,-224.0,,,59868,2013年04月01日至2013年06月30日,42186,40865,42186,40865,53905,6061,525523,893334,367811,367811,313906,178946,,,0.21,75092,42186,59966,,,,893334,0.0,0.0
2013-11-11,3,2013,,137,-4778,23459,66,-71,0.53,,16195,0.0,,,67767,2013年07月01日至2013年09月30日,90543,90609,90543,90609,88616,18122,561206,948681,387475,387475,298859,159820,,,0.52,71272,90543,106738,,,559.0,948681,0.0,0.0
2014-02-19,4,2013,,27133,-11,45538,26088,1084,1.22,,56596,-358.0,,,244114,2013年01月01日至2013年12月31日,221023,247111,221023,247111,233009,44610,2137568,3561112,1423544,1423544,1190535,661300,,-2565.0,1.2,285121,221023,277619,,-436.0,559.0,3561112,0.0,0.0
2014-04-25,1,2014,,-1853,-4095,5006,-1859,-6,0.65,,22052,0.0,,,52748,2014年01月01日至2014年03月31日,97898,96039,97898,96039,119039,911,451392,840711,389319,389319,270280,161855,,,0.63,55677,97898,119950,,,,840711,,
2014-08-01,2,2014,,-20990,-14522,4617,-21156,-166,0.73,,39737,0.0,,,57144,2014年第2季,111336,90180,111336,90180,161417,-10344,502729,928084,425355,425355,263938,151471,,,0.71,55323,111336,151073,,,439.0,928084,0.0,0.0
2014-11-07,3,2014,,-12905,-6427,7370,-12721,184,0.82,,31068,0.0,,,58390,2014年第3季,125958,113237,125958,113237,156250,776,515251,941480,426229,426229,269979,150703,,,0.8,60886,125958,157026,,,167.0,941480,0.0,0.0
2015-02-25,4,2014,,-42985,-52504,25597,-46898,241,2.4,,105853,0.0,,,220706,2014年度,368029,321131,368029,321131,501395,-27513,1870727,3440965,1570238,1570238,1068843,618503,,-5005.0,2.35,229634,368029,473882,,-851.0,606.0,3440965,0.0,0.0
2015-05-08,1,2015,,127,-1881,4877,50,-77,0.62,50.0,20518,,,,53039,2015年01月01日至2015年03月31日,96618,96668,96618,96668,114140,2996,411420,792555,381135,381135,266995,150713,,,0.61,63243,96618,117136,,,,792555,0.0,0.0
2015-08-10,2,2015,,13509,-27837,4855,13435,-74,0.23,13435.0,13665,0.0,,,55505,2015年第2季,36364,49799,36364,49799,73011,-22982,356968,693784,336816,336816,263805,152279,,,0.23,56021,36364,50029,,,0.0,693784,0.0,0.0
2015-11-06,3,2015,,-2921,3435,4847,-2676,245,0.74,-2676.0,23783,0.0,,,54483,2015年第3季,114115,111439,114115,111439,129616,8282,418727,810691,391964,391964,262348,149994,,,0.73,57871,114115,137898,,,0.0,810691,0.0,0.0
2016-02-25,4,2015,5569.0,12398,-32302,25784,17861,-115,2.2,12292.0,78821,0.0,9.0,9.0,218495,2015年度,338317,356178,338317,356178,423656,-6518,1580949,3084419,1503470,1503470,1079814,617799,6710.0,,2.14,243520,338317,417138,1141.0,,0.0,3084419,0.0,0.0
2016-05-12,1,2016,,-183,-2322,4667,-166,-28,0.49,-166.0,22632,-1706.0,45.0,45.0,54501,2016年01月01日至2016年03月31日,74783,74617,74783,74617,96778,637,354415,732787,378372,378372,281594,165442,,,0.48,61651,74783,97415,,,2.0,732787,0.0,0.0
2016-08-11,2,2016,,2266,-1957,7134,2390,-80,0.57,2390.0,21156,-2827.0,204.0,204.0,59526,2016年第2季,86748,89138,86748,89138,106024,1880,382921,763814,380893,380893,274869,154666,,,0.56,60677,86748,107904,,,470.0,763814,0.0,0.0
2016-11-10,3,2016,,-227,-8337,5220,-416,-122,0.87,-416.0,14092,-2647.0,-67.0,-67.0,60778,2016年第3季,133130,132714,133130,132714,152986,-5764,445321,874367,429046,429046,276060,156120,,,0.85,59162,133130,147222,,,0.0,874367,0.0,0.0
