date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,4632,-313645,293661,,812919,722992,-0.35,,,125016,,59469.0,58047,,1031874,2013年01月01日至2013年03月31日,-2879622,-2066703,-804303,-533921,-2043117,-711489,24013432,25395432,1382000,1382000,3425117,0.0,1211419,,,-0.35,1181824,-2879622,-2754606,,-25826.0,,,749552,208605,25762412,25395432,158375,-2075319,-1532782
2013-08-12,2,2013,,-22416,-2249588,2152155,653685.0,247065,359989,-0.28,1498470.0,,160343,,51373.0,106996,,1257577,2013年04月01日至2013年06月30日,-2022805,-1775740,-652181,-652328,-1069324,-793138,25680142,28688916,3008774,3008774,4078098,0.0,1440797,,,-0.28,1379724,-2022805,-1862462,,141881.0,,,802701,215119,29121142,28688916,217107,-1370624,-1123412
2013-11-11,3,2013,,-65870,598836,141258,141258.0,-588349,-571409,-0.06,0.0,,204078,,-17037.0,129062,,1342680,2013年07月01日至2013年09月30日,-269158,-857507,-136055,-322010,-145053,79973,24953580,29131746,4178166,4178166,4323219,0.0,1588135,,,-0.06,1392404,-269158,-65080,,-65967.0,,,789183,238406,29609994,29131746,239842,-133103,-535497
2014-03-18,4,2013,,-209532,-1572524,3493658,1995188.0,830492,884448,-0.7,1498470.0,,375377,,141010.0,80669,,5022250,2013年01月01日至2013年12月31日,-5319552,-4489060,-1611408,-1364192,-3766105,-1178070,100648704,112926870,12278166,12278166,16044271,,5666380,,93970.0,-0.7,5355641,-5319552,-4944175,,79404.0,,,3179873,812621,114501453,112926870,761962,-3708144,-3124868
2014-05-13,1,2014,,265714,-659995,692420,,700640,449512,0.3,,,42440,,75487.0,141425,,1374638,2014年01月01日至2014年03月31日,884571,1585211,685578,1040245,1557694,-630683,23842272,29466131,5623859,5623859,4066165,,1402300,,,0.3,1289227,884571,927011,,90073.0,,,804533,217028,29847469,29466131,164310,198993,544966
2014-08-12,2,2014,,760806,181430,500468,500468.0,210632,-519075,0.19,0.0,,349312,,-31273.0,182177,,1515080,2014年第2季,1182772,1393404,438498,662566,1501880,30204,22739641,28249760,5510119,5510119,4008239,,1246297,,,0.19,1246862,1182772,1532084,,-174.0,,,833871,226775,28652402,28249760,175867,744274,730838
2014-11-12,3,2014,,516066,-213997,1229516,1229516.0,951402,552463,0.05,0.0,,74020,,29928.0,133863,,1735524,2014年第3季,-1557706,-606304,111199,163725,-1748613,264927,24066079,26825888,2759809,2759809,4508422,,1403511,,,0.05,1369387,-1557706,-1483686,,147055.0,,,884455,410427,27488247,26825888,251932,-1668905,-770029
2015-03-24,4,2014,,839544,-1834973,3140050,3140050.0,2363644,1602931,0.16,0.0,,581885,,171493.0,622182,,5846189,2014年度,-2987049,-623405,363539,1288947,-733880,-1671284,96725204,112609278,15884074,15884074,16617954,,5490646,,24150.0,0.16,5281119,-2987049,-2405164,,274474.0,,,3598543,1128285,114650347,112609278,912784,-3350588,-1912352
2015-05-05,1,2015,,-125896,610525,621290,,-840624,-800105,-0.21,,-840624.0,189888,,,107352,-31908.0,1141424,2015年01月01日至2015年03月31日,-1782667,-2623291,-472850,-840572,-1884271,291492,23040451,25056066,2015615,2015615,3899886,,1378603,,,-0.21,1379859,-1782667,-1592779,,,-117285.0,,1047675,276300,25542979,25056066,210613,-1309817,-1782719
2015-08-11,2,2015,,-184805,1732875,604423,,-778708,-655872,-0.25,,-778708.0,366119,,,101511,-24151.0,1247048,2015年第2季,-1969416,-2748124,-573400,-924368,-2941715,1338418,21955379,22789484,834105,834105,3775820,,1217553,,,-0.25,1311219,-1969416,-1603297,,,-86120.0,,1100391,253606,23298000,22789484,254910,-1396016,-1823756
