date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,17101,15546,32965,32965,0.64,804,,8426,,-4994,,91167,2013年01月01日至2013年03月31日,868,56724,89689,56724,89689,40254,24896,687870,923735,235865,235801,195547,49872,,,54508,56724,65150,,,,2757,0.0,0.0
2013-08-13,2,2013,,-12180.0,19343,19298,-6868,5312,-1.51,0,,16305,,-4955,,64989,2013年04月01日至2013年06月30日,51,-134503,-141371,-134503,-141371,-147740,29542,167109,193214,26105,26054,173794,61469,,,47336,-134503,-118198,,0.0,,4144,0.0,0.0
2013-11-12,3,2013,,9052.0,4767,23531,-4084,-13136,-1.06,0,,5200,,-5259,,70733,2013年07月01日至2013年09月30日,378,-94070,-98154,-94070,-98154,-106230,17360,328689,411465,82776,82398,188628,40100,,,77795,-94070,-88870,,0.0,,5679,0.0,0.0
2014-03-25,4,2013,,-1417.0,-95237,82343,26401,27511,-5.57,804,,46420,,-26081,,295729,2013年01月01日至2013年12月31日,739,-496630,-470229,-496630,-470229,-392937,-57273,1439896,1799375,359479,359544,752481,199045,,307.0,257707,-496630,-450210,,0.0,,18298,0.0,0.0
2014-05-13,1,2014,,-5835.0,-55389,23138,771,6606,-0.17,739,,6544,,-4412,,61366,2014年01月01日至2014年03月31日,831,-15543,-14772,-15543,-14772,33712,-42711,725233,888293,163060,162968,129256,26573,,,41317,-15543,-8999,,,,6048,0.0,0.0
2014-08-12,2,2014,,1940.0,-13781,25029,-8562,-9988,-0.87,0,,0,-514.0,-4412,,38865,2014年第2季,-352,-77730,-86292,-77730,-86292,-77813,83,166261,195119,28858,29210,107023,29845,,,38313,-77730,-77730,,,,6753,0.0,0.0
2014-11-07,3,2014,,-2045.0,35907,26245,9152,11255,-0.2,0,,0,-58.0,-2969,,42086,2014年第3季,1195,-18241,-9089,-18241,-9089,-71107,52866,268697,311262,42565,41370,112477,30261,,,40130,-18241,-18241,,,,6317,0.0,0.0
2015-03-24,4,2014,,-10367.0,-20934,99975,4894,31469,-3.01,739,,57087,609.0,-12431,,190617,2014年度,1516,-267906,-263012,-267906,-263012,-252600,41781,1335375,1574853,239478,238701,491301,121316,,-11364.0,179368,-267906,-210819,,5453.0,,24829,0.0,0.0
2015-05-11,1,2015,,-1033.0,-2751,15938,-8212,-7214,-0.32,1516,-8212.0,107,,-1514,-1435.0,39379,2015年01月01日至2015年03月31日,1863,-28091,-36303,-28091,-36303,-37345,9361,313010,382521,69511,69164,106509,28115,,,39015,-28091,-27984,,,-1470.0,2312,0.0,0.0
2015-08-11,2,2015,,6711.0,-4582,10215,2381,-5497,-0.66,0,2381.0,-301,,-1220,280.0,29508,2015年第2季,108,-58970,-56589,-58970,-56589,-62910,3639,190998,213499,22501,22393,85303,24716,,,31079,-58970,-59271,,,-887.0,774,0.0,0.0
2015-11-10,3,2015,,-8374.0,49230,8123,-1134,8494,-0.31,0,-1134.0,6286,,-611,229.0,31695,2015年第3季,-1356,-27363,-28497,-27363,-28497,-77752,56675,161824,171362,9538,10894,88646,24434,,,32517,-27363,-21077,,,1483.0,67,,
2016-02-18,4,2015,183.0,43597.0,27539,38734,33287,-11823,-2.75,1516,33104.0,6094,,-4504,-819.0,138079,2015年度,536,-244667,-211380,-244667,-211380,-297263,58690,867637,960881,93244,94224,391487,117644,183.0,,135764,-244667,-238573,0.0,,-2149.0,3079,0.0,0.0
2016-04-25,1,2016,,-41034.0,58817,1613,-50039,-11445,0.1,536,-50039.0,47,,-867,595.0,24171,2016年01月01日至2016年03月31日,1285,9050,-40989,9050,-40989,-50465,59562,82621,100623,18002,17253,67718,23594,,,19953,9050,9097,,,-1845.0,1,0.0,0.0
2016-08-08,2,2016,,0.0,3742,1677,-2230,-2788,-0.34,0,-2230.0,-1,,-365,102.0,24550,2016年第2季,-334,-26575,-28805,-26575,-28805,-31630,5054,141263,178666,37403,37737,69367,22131,,,22686,-26575,-26576,,,-456.0,0,0.0,0.0
2016-11-11,3,2016,,0.0,-5201,1136,-3679,-3494,-0.68,0,-3679.0,-1,,-1289,-939.0,26273,2016年第3季,624,-42231,-45910,-42231,-45910,-36821,-5411,200113,233234,33121,32497,69318,20949,,,22096,-42231,-42232,,,-754.0,57,0.0,0.0
