date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,9438,31901,21537.0,31538,22100,-0.31,,715,,13456,2013年01月01日至2013年03月31日,-48764,-17226,-43072,-14823,-98425,50376,452137,410995,-41142,-41142,57283,3437,,,40390,-48764,-48049,,,3062,-5692.0,-2403.0
2013-08-14,2,2013,,-34845,-44861,,-28564,6281,-0.17,,1514,,16179,2013年04月01日至2013年06月30日,-25713,-54277,-23551,-52878,23238,-47437,513345,596585,83240,83240,60002,4915,,,38908,-25713,-24199,,,2576,-2162.0,-1399.0
2013-11-14,3,2013,,3985,14402,,-2897,-6882,-0.15,,3055,,22816,2013年07月01日至2013年09月30日,-21177,-24074,-20619,-22860,-29988,11866,547630,582569,34939,34939,64927,7954,,,34157,-21177,-18122,,,2536,-558.0,-1214.0
2014-03-27,4,2013,,17387,29905,,46216,29125,-0.55,,5346,,69275,2013年01月01日至2013年12月31日,-84329,-38113,-75963,-33143,-98257,19274,2033135,2171502,138367,138367,236624,20928,,-296.0,146421,-84329,-78983,,,10631,-8366.0,-4970.0
2014-05-14,1,2014,,-13129,-12503,626.0,-4197,8932,-0.11,,2263,1707.0,12829,2014年01月01日至2014年03月31日,-15595,-19792,-15595,-19792,-607,-12725,584465,631612,47147,47147,47754,2922,,,32003,-15595,-13332,,,2555,0.0,0.0
2014-08-13,2,2014,,-7973,6830,1861.0,-19561,-11588,-0.05,,1146,-867.0,17926,2014年第2季,-7388,-26949,-7388,-26949,-10675,4433,587040,631232,44192,44192,54867,4136,,,32805,-7388,-6242,,,3391,0.0,0.0
2014-11-12,3,2014,,730,18636,365.0,7683,6953,-0.02,,3281,812.0,20745,2014年第3季,-3211,4472,-3211,4472,-15711,15781,568963,610057,41094,41094,56805,4201,,,31859,-3211,70,,,4032,0.0,0.0
2015-03-27,4,2014,,9708,31465,2676.0,32778,29893,-0.08,,10755,6034.0,71455,2014年度,-11217,21561,-11217,21561,-26677,26215,2344105,2535812,191707,191707,218384,15197,,-1741.0,131732,-11217,-462,5082.0,,13960,0.0,0.0
2015-05-13,1,2015,,-33323,-59,1085.0,-41431,-8343,-0.09,-41431.0,566,-41.0,14257,2015年01月01日至2015年03月31日,-11886,-53317,-11886,-53317,-7875,-3445,524767,577148,52381,52381,60256,4653,,,41346,-11886,-11320,,-235.0,4430,,
2015-08-13,2,2015,,12894,5616,1196.0,7578,-6405,0.13,7578.0,2445,-264.0,14716,2015年第2季,17707,25285,17707,25285,18039,2113,572173,639728,67555,67555,49516,4662,,,30138,17707,20152,,-1089.0,4435,,
2015-11-12,3,2015,,-14978,-1395,1130.0,1527,19886,-0.11,1527.0,2575,1984.0,16606,2015年第3季,-15188,-13661,-15188,-13661,-9758,-2855,572128,617272,45144,45144,54902,5564,,,32732,-15188,-12613,,3381.0,4574,,
2016-03-25,4,2015,-1671.0,-8723,5659,4592.0,-16788,-6279,-0.18,-15117.0,5874,5507.0,60898,2015年度,-24627,-41415,-24627,-41415,-16570,-2183,2237139,2440545,203406,203406,219976,19675,-1671.0,,139403,-24627,-18753,,115.0,17941,,
2016-05-12,1,2016,,9708,2068,1005.0,2637,-8519,-0.12,2637.0,1321,384.0,9119,2016年01月01日至2016年03月31日,-17101,-14464,-17101,-14464,-14839,-941,450530,476936,26406,26406,41245,2661,,,29465,-17101,-15780,,-1448.0,4398,,
2016-08-11,2,2016,,1930,-9086,853.0,-5176,-8562,0.0,-5176.0,2162,0.0,10144,2016年第2季,666,-4510,666,-4510,15233,-12405,510868,564802,53934,53934,38701,2566,,,25991,666,2828,,-1456.0,4172,,
2016-11-11,3,2016,,8027,-8496,668.0,-10431,-20242,0.09,-10431.0,2645,0.0,10259,2016年第3季,12037,1606,12037,1606,26833,-12151,537849,606608,68759,68759,41926,2306,,,29361,12037,14682,,-1784.0,4323,,
