date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-19,1,2013,,-2655,19821,0.0,59215,59215,0.61,,19486,38286,2013年01月01日至2013年03月31日,69327,128542,69327,128542,73339,15474,952256,1283230,330974,330974,257635,126593,,,0.6,92756,69327,88813,,0.0,,1692,0.0,0.0
2013-08-07,2,2013,,-5220,21804,0.0,40063,40063,0.61,,39858,37540,2013年04月01日至2013年06月30日,69227,109290,69227,109290,93681,15404,1071048,1427415,356367,356367,262686,128696,,,0.6,96450,69227,109085,,0.0,,1180,0.0,0.0
2013-10-29,3,2013,,-3870,21552,,-21153,-21153,0.74,,35837,36430,2013年07月01日至2013年09月30日,84376,63223,84376,63223,104270,15943,1025427,1395358,369931,369931,265661,133546,,,0.74,95685,84376,120213,,,,1739,,
2014-02-25,4,2013,,-13835,88134,,115911,112727,2.09,,111864,148219,2013年01月01日至2013年12月31日,238938,354849,238938,354849,282948,67854,3904401,5258941,1354540,1354540,1071592,531699,,3835.0,2.08,391674,238938,350802,,651.0,,6445,,
2014-04-16,1,2014,,-10642,31261,0.0,32213,32213,0.2,,12722,31502,2014年01月01日至2014年03月31日,22499,54712,22499,54712,16254,18967,916033,1199404,283371,283371,267117,136797,,,0.2,98818,22499,35221,,0.0,,1652,0.0,0.0
2014-07-30,2,2014,,-5310,28116,0.0,-47919,-47919,0.28,,23214,31243,2014年第2季,31926,-15993,31926,-15993,35929,19211,940650,1257598,316948,316948,281019,153719,,,0.28,96057,31926,55140,,0.0,,3595,0.0,0.0
2014-10-29,3,2014,,3233,24094,,45541,45541,0.54,,17343,27508,2014年第3季,61210,106751,61210,106751,53498,25055,843854,1179971,336117,336117,282619,157552,,,0.54,97559,61210,78553,,,,2272,0.0,0.0
2015-01-30,4,2014,,-18511,107543,,137018,140771,1.69,,87308,126349,2014年度,192718,329736,192718,329736,201518,78508,3666431,5005603,1339172,1339172,1137654,627908,,-4522.0,1.68,383397,192718,280026,,-769.0,,10524,,
2015-04-24,1,2015,,3061,21693,0.0,-35559,-35559,0.16,-35559.0,892,27290,2015年01月01日至2015年03月31日,17699,-17860,17699,-17860,-4770,23361,779558,1050661,271103,271103,275873,156315,,,0.15,92268,17699,18591,,,,1393,0.0,0.0
2015-07-29,2,2015,,-5994,20079,0.0,-26626,-26626,0.31,-26626.0,-3563,33131,2015年第2季,35356,8730,35399,8775,19318,12475,803729,1108250,304521,304521,285203,154928,,,0.31,97144,35356,31793,,,0.0,1610,-43.0,-45.0
2015-10-29,3,2015,,10239,20721,,65957,65957,0.5,65957.0,24250,34433,2015年第3季,57316,123273,57508,123459,51821,29745,801854,1139348,337494,337494,285673,152356,,,0.5,98884,57316,81566,,,,1215,-192.0,-186.0
2016-02-16,4,2015,7548.0,4408,76879,,-34033,-41581,1.13,-41581.0,45876,127296,2015年度,128467,94434,128665,94627,98804,75539,3233836,4460489,1226653,1226653,1127849,616573,9094.0,,1.12,383980,128467,174343,1546.0,,,5748,-198.0,-193.0
2016-04-25,1,2016,,-4481,10333,0.0,-36541,-36541,-0.59,-36541.0,24971,34251,2016年01月01日至2016年03月31日,-67503,-104044,-67436,-103979,-46982,4450,727836,957034,229198,229198,276180,142965,,,-0.59,98964,-67503,-42532,,,,1402,-67.0,-65.0
2016-07-26,2,2016,,-910,9801,,-47426,-47426,-0.67,-47426.0,6000,42632,2016年第2季,-77839,-125265,-76550,-123977,-78428,6589,813177,996344,183167,183167,261595,129860,,,-0.67,89103,-77839,-71839,,,0.0,2302,-1289.0,-1288.0
2016-10-27,3,2016,,-11359,12035,,-81023,-81023,-0.25,-81023.0,7659,38546,2016年第3季,-29654,-110677,-28416,-109447,-20372,-1623,747779,991941,244162,244162,264534,127377,,,-0.25,98611,-29654,-21995,,,,2299,-1238.0,-1230.0
