date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,54430,-5260,40653,55836,1406,0.09,0.09,,2242,,,18593,96183,2013年01月01日至2013年03月31日,104106,159942,99478,155314,146104,-39756,1709977,2576417,866440,866440,720336,,,0.09,0.09,624153,104106,106348,93742,4628,4628
2013-08-12,2,2013,,-123857,-24640,34947,-123292,565,0.02,0.02,,-4307,,,35829,135169,2013年04月01日至2013年06月30日,11757,-111535,20480,-102812,52405,-44955,1947449,2751187,803738,803738,751333,,,0.02,0.02,616164,11757,7450,91091,-8723,-8723
2013-11-11,3,2013,,441605,-501318,58333,439318,-2287,-0.14,-0.14,,-8093,,,33223,65620,2013年07月01日至2013年09月30日,-183121,256197,-173276,266042,312553,-503767,1563086,2435178,872092,872092,559539,,,-0.14,-0.14,493919,-183121,-191214,94005,-9845,-9845
2014-03-25,4,2013,,410485,-574438,569194,404732,-859,1.3,1.3,,95400,,-513.0,94679,734911,2013年01月01日至2013年12月31日,1635472,2040204,1652753,2057023,2019543,-288671,12542510,17242007,4699497,4699497,2679954,,-4381.0,1.29,1.29,1945043,1635472,1730872,378106,-17281,-16819
2014-05-08,1,2014,,-211669,-8165,196507,-209769,1900,0.17,0.17,,29809,,,19898,54156,2014年01月01日至2014年03月31日,214275,4506,221963,12220,132629,111455,1662316,2526642,864326,864326,731697,,,0.17,0.17,677541,214275,244084,96785,-7688,-7714
2014-08-05,2,2014,,-63592,-36175,129800,-63866,-274,0.3,0.3,,56471,,,16174,97019,2014年第2季,443423,379557,451088,387196,487858,12036,2903571,4142792,1239221,1239221,751363,,,0.3,0.3,654344,443423,499894,97763,-7665,-7639
2014-11-04,3,2014,,-279642,4010,54636,-279368,274,0.2,0.2,,-9244,,,56976,99937,2014年第3季,312403,33035,318758,39586,260950,42209,2126208,3111259,985051,985051,724101,,,0.2,0.2,624164,312403,303159,73413,-6355,-6551
2015-03-20,4,2014,,-566304,-39614,384772,-567511,2549,1.51,1.51,,163467,,1341.0,82945,636575,2014年度,2379634,1812123,2398718,1831570,2465294,77807,14216886,19424465,5207579,5207579,2742285,,-5097.0,1.51,1.51,2105710,2379634,2543101,350296,-19084,-19447
2015-05-04,1,2015,,-122883,-48785,47295,-122883,0,0.12,0.12,-122883.0,32560,,,37250,80823,2015年01月01日至2015年03月31日,193847,70964,191647,68764,285000,-58593,1768594,2715986,947392,947392,662392,,,0.12,0.12,581569,193847,226407,94353,2200,2200
2015-08-03,2,2015,,-325427,93280,161878,-325726,-299,0.32,0.32,-325726.0,71528,,,31971,99915,2015年第2季,515173,189447,518789,193063,383021,203680,1916155,3015255,1099100,1099100,716079,,,0.32,0.32,616164,515173,586701,83449,-3616,-3616
2015-11-03,3,2015,,155576,45217,59835,155877,301,0.09,0.09,155877.0,81489,,,-51426,60665,2015年第3季,137456,293333,146050,301927,241763,-22818,1409000,2299092,890092,890092,648329,,,0.09,0.09,587664,137456,218945,76444,-8594,-8594
2016-03-23,4,2015,-14393.0,-27126,27599,366218,-41503,16,1.38,1.38,-27110.0,288092,-1484.0,,11610,669420,2015年度,2233568,2192065,2237800,2196297,2451399,70261,10933346,16108506,5175160,5175160,2723761,-12909.0,,1.36,1.36,2054341,2233568,2521660,335166,-4232,-4232
2016-05-06,1,2016,,-92666,28161,56909,-92669,-3,0.07,0.07,-92669.0,11886,,,19389,53614,2016年01月01日至2016年03月31日,104705,12036,111458,18789,83819,32772,1184131,1811908,627777,627777,543958,,,0.07,0.07,490344,104705,116591,71687,-6753,-6753
2016-08-02,2,2016,,-131742,-14789,92897,-131742,0,0.13,0.13,-131742.0,29485,,,22241,74314,2016年第2季,205531,73789,212584,80842,192350,42666,1454508,2297624,843116,843116,650766,,,0.13,0.13,576452,205531,235016,57683,-7053,-7053
2016-11-03,3,2016,,-19370,-47174,71592,-19416,-46,0.11,0.11,-19416.0,52931,,,28409,61903,2016年第3季,175288,155872,184742,165326,233670,-5451,1585056,2458143,873087,873087,639417,,,0.11,0.11,577514,175288,228219,58278,-9454,-9454
