date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,3430,251,4543,,,7865,4435,0.57,0.0,,16455,2013年01月01日至2013年03月31日,0.0,75940,83805,75940,83805,87794,4601,574676,870073,295397,295397,207603,38609,,,,168994,75940,92395,,,,193,723,874179,870073,3383,0,0.0
2013-08-02,2,2013,,-805,1372,5664,0.0,,1804,2609,0.57,,,16205,2013年04月01日至2013年06月30日,,76275,78079,76275,78079,85580,6900,626171,926307,300136,300136,214556,38007,,,0.56,176549,76275,92480,,0.0,,136,414,927349,926307,628,0,
2013-11-04,3,2013,,-682,58220,6955,,,-1772,-1090,0.86,,,15335,2013年07月01日至2013年09月30日,,113899,112127,113899,112127,64211,65023,610636,887916,277280,277280,213069,31369,,,0.85,181700,113899,129234,,0.0,,152,309,888719,887916,494,0,0.0
2014-03-20,4,2013,,2609,20372,20150,,0.0,11506,9336,2.01,,,74428,2013年01月01日至2013年12月31日,,266911,278417,266911,278417,301437,39902,2532987,3651486,1118499,1118499,817062,124072,,-530.0,1.97,692990,266911,341339,,-91.0,,620,1598,3657589,3651486,4505,0,0.0
2014-05-07,1,2014,,2215,283,5506,,,522,-1693,0.44,0.0,,10586,2014年01月01日至2014年03月31日,0.0,58043,58565,58043,58565,62968,5661,598902,861574,262672,262672,199704,23297,,,,176407,58043,68629,,,,128,0,862622,861574,1048,0,0.0
2014-08-11,2,2014,,-1646,-454,6397,0.0,,-4936,-3290,0.4,,,9041,2014年第2季,,53426,48490,53426,48490,56668,5799,683879,936098,252219,252219,195551,24384,,,0.39,171167,53426,62467,,0.0,,144,83,936181,936098,0,0,
2014-11-10,3,2014,,74949,-23415,11493,,,79042,4093,0.62,,,21034,2014年第3季,,82495,161537,82495,161537,115572,-12043,940043,1257366,317323,317323,201751,23289,,,0.62,178462,82495,103529,,0.0,,121,80,1257446,1257366,0,0,0.0
2015-03-16,4,2014,,40671,-22059,26858,,0.0,42397,4275,2.01,,,60117,2014年度,,267686,310083,267686,310083,323434,4369,3265107,4413234,1148127,1148127,824693,93884,,-3071.0,1.98,730809,267686,327803,,-522.0,,430,9489,4423812,4413234,1089,0,0.0
2015-05-04,1,2015,,18473,-117,4471,,,15937,-2536,0.49,,15937.0,9527,2015年01月01日至2015年03月31日,,64696,80633,64696,80633,69901,4322,803727,1061848,258121,258121,188220,23546,,,,164674,64696,74223,,,0.0,32,28,1061876,1061848,0,0,0.0
2015-08-10,2,2015,,3968,665,4129,0.0,,3276,-692,0.43,,3276.0,14317,2015年第2季,,57551,60827,57551,60827,67106,4762,807613,1076157,268544,268544,201438,22620,,,0.42,178818,57551,71868,,,0.0,32,0,1076200,1076157,43,0,
2015-11-09,3,2015,,-32520,2197,10654,,,-26171,6349,0.55,,-26171.0,18805,2015年第3季,,73456,47285,73456,47285,79436,12825,929949,1241407,311458,311458,232022,21406,,,0.55,210616,73456,92261,,,0.0,26,0,1241407,1241407,0,0,0.0
2016-02-26,4,2015,-2723.0,6024,4125,27649,,,3141,-160,2.02,,5864.0,61866,2015年度,,268194,271335,268194,271335,298382,31678,3288772,4402929,1114157,1114157,815775,103030,-3281.0,,1.98,712745,268194,330060,-558.0,,0.0,96,630,4403739,4402929,180,0,0.0
2016-05-09,1,2016,,-9356,421,3592,,,-12647,-3291,0.5,,-12647.0,10300,2016年01月01日至2016年03月31日,,65997,53350,65997,53350,72284,4013,721044,976177,255133,255133,182849,24643,,,,158206,65997,76297,,,0.0,0,1050,977240,976177,13,0,0.0
2016-08-08,2,2016,,-11505,3225,4880,0.0,,-15821,-4316,0.53,,-15821.0,17786,2016年第2季,,70697,54876,70697,54876,80378,8105,638418,909845,271427,271427,191049,14526,,,0.53,176523,70697,88483,,,0.0,0,32,909877,909845,0,0,
2016-11-07,3,2016,,-24303,7135,6971,,,-29666,-5363,0.72,,-29666.0,10963,2016年第3季,,96107,66441,96107,66441,93069,14001,823815,1095467,271652,271652,178583,20204,,,0.71,158379,96107,107070,,,0.0,105,51,1095945,1095467,427,0,0.0
