date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,2047,9341,3336,6336,4637,0.17,0.17,,3341,-2979,13523,2013年01月01日至2013年03月31日,13862,20198,13858,20194,7510,9693,24243,81111,56868,56868,49358,23127,,,0.17,0.17,12708,13862,17203,,348.0,,5,4,4
2013-08-12,2,2013,,0,156,4697,1178,1178,0.21,0.21,,4051,-502,12472,2013年04月01日至2013年06月30日,17848,19026,17851,19029,17557,4342,29720,94129,64409,64409,46852,22138,,,0.21,0.21,12242,17848,21899,,0.0,,9,-3,-3
2013-11-04,3,2013,,0,-5532,7436,-1850,-1850,0.24,0.24,,3074,-275,11569,2013年07月01日至2013年09月30日,20314,18464,20322,18472,21769,1619,28010,94627,66617,66617,44848,21422,,,0.24,0.24,11857,20314,23388,,0.0,,10,-8,-8
2014-03-07,4,2013,,2047,3474,21599,7492,5793,0.87,0.87,,14483,-1783,46520,2013年01月01日至2013年12月31日,71936,79428,71943,79435,63181,23238,104919,350236,245317,245317,182136,87709,,0.0,0.87,0.87,47907,71936,86419,,348.0,,52,-7,-7
2014-05-09,1,2014,,0,3862,6537,2076,2076,0.25,0.25,,3577,-1316,7739,2014年01月01日至2014年03月31日,20597,22673,20599,22675,15101,9073,22534,75882,53348,53348,38247,20512,,,0.25,0.25,9996,20597,24174,,0.0,,10,-2,-2
2014-08-08,2,2014,,2658,-6129,6208,162,-2044,0.25,0.25,,1853,-319,7672,2014年第2季,20919,21081,20918,21080,23023,-251,25084,86624,61540,61540,38517,21622,,,0.25,0.25,9223,20919,22772,,452.0,,11,1,1
2014-11-10,3,2014,,0,4714,6562,2268,2268,0.25,0.25,,6014,-888,8520,2014年第3季,20471,22739,20607,22875,16106,10379,24305,82305,58000,58000,41894,22369,,0.0,0.25,0.25,11005,20471,26485,,0.0,,9,-136,-136
2015-03-13,4,2014,,-1343,8447,27240,4192,6270,1.0,1.0,,13244,-3453,32952,2014年度,83189,87381,83190,87382,64258,32175,96696,322333,225637,225637,161379,86747,,-1160.0,0.99,0.99,41680,83189,96433,,-425.0,,59,-1,-1
2015-04-29,1,2015,,6229,-3749,6048,4883,-1236,0.1,0.1,4883.0,1570,-2852,7810,2015年01月01日至2015年03月31日,8659,13542,8659,13542,10792,-563,22260,71275,49015,49015,38223,19138,,,0.1,0.1,11275,8659,10229,,,110.0,10,0,0
2015-08-13,2,2015,,-3908,7111,6352,-5385,-1477,0.33,0.33,-5385.0,3034,-1647,8093,2015年第2季,27070,21685,27070,21685,18298,11806,28016,88114,60098,60098,41800,20640,,,0.32,0.32,13067,27070,30104,,,0.0,10,0,0
2015-11-13,3,2015,,-9259,15128,7312,-2587,5780,0.34,0.34,-2587.0,3731,0,8621,2015年第3季,28339,25752,28339,25752,9640,22430,26008,79241,53233,53233,43593,21369,,,0.34,0.34,13603,28339,32070,,,-892.0,10,0,0
2016-03-07,4,2015,-2704.0,-6002,17013,29263,-6201,1285,1.01,1.01,-3497.0,13691,-4499,33923,2015年度,84342,78141,84342,78141,56314,41719,104234,328897,224663,224663,168349,83277,-3258.0,,1.01,1.01,51149,84342,98033,-554.0,,-1220.0,58,0,0
2016-05-09,1,2016,,5897,-4648,5812,4236,-1455,0.22,0.22,4236.0,2106,0,8224,2016年01月01日至2016年03月31日,18187,22423,18187,22423,19138,1155,23968,80758,56790,56790,37652,18560,,,0.22,0.22,10868,18187,20293,,,206.0,9,0,0
2016-08-10,2,2016,,-3220,1662,5861,-3938,-1006,0.21,0.21,-3938.0,4051,0,8166,2016年第2季,17360,13422,17360,13422,13896,7515,24069,77744,53675,53675,39779,19913,,,0.21,0.21,11700,17360,21411,,,-288.0,8,0,0
2016-11-11,3,2016,,862,-8274,8724,-2545,-3204,0.16,0.16,-2545.0,1196,0,8462,2016年第3季,13234,10689,13235,10690,13989,441,23236,76450,53214,53214,39225,18937,,,0.16,0.16,11826,13234,14430,,,203.0,9,-1,-1
